...1,Well,Fluor,Target,Content,Sample,Cq,SQ
NA,A18,SYBR,NA,Std,NA,15.5131331931185,2640000
NA,A19,SYBR,NA,Std,NA,15.5407553433704,2640000
NA,A20,SYBR,NA,Std,NA,15.4384406393276,2640000
NA,A21,SYBR,NA,Std,NA,15.1434188307635,2640000
NA,A22,SYBR,NA,Std,NA,14.3463334519445,2640000
NA,C18,SYBR,NA,Std,NA,19.0171473338187,264000
NA,C19,SYBR,NA,Std,NA,19.1208537788775,264000
NA,C20,SYBR,NA,Std,NA,18.8002316931595,264000
NA,C21,SYBR,NA,Std,NA,18.6394202901864,264000
NA,C22,SYBR,NA,Std,NA,18.0932794810426,264000
NA,E18,SYBR,NA,Std,NA,23.0912650693882,26400
NA,E19,SYBR,NA,Std,NA,23.2302692252411,26400
NA,E20,SYBR,NA,Std,NA,23.1172443935748,26400
NA,E21,SYBR,NA,Std,NA,23.0845925506692,26400
NA,E22,SYBR,NA,Std,NA,22.8685932826663,26400
NA,G18,SYBR,NA,Std,NA,26.4884185584729,2640
NA,G19,SYBR,NA,Std,NA,26.6247427316991,2640
NA,G20,SYBR,NA,Std,NA,26.2566767768235,2640
NA,G21,SYBR,NA,Std,NA,26.0842306270749,2640
NA,G22,SYBR,NA,Std,NA,25.8923006988895,2640
NA,I18,SYBR,NA,Std,NA,29.9139238862266,264
NA,I19,SYBR,NA,Std,NA,29.6458250129402,264
NA,I20,SYBR,NA,Std,NA,29.792753325273,264
NA,I21,SYBR,NA,Std,NA,30.1361258000743,264
NA,I22,SYBR,NA,Std,NA,29.4053826709747,264
NA,K18,SYBR,NA,Std,NA,33.3408378732792,26.4
NA,K19,SYBR,NA,Std,NA,33.6743062820031,26.4
NA,K20,SYBR,NA,Std,NA,33.3910969897685,26.4
NA,K21,SYBR,NA,Std,NA,34.0901234790476,26.4
NA,K22,SYBR,NA,Std,NA,33.6927563853612,26.4
NA,M18,SYBR,NA,Std,NA,37.8188009936262,2.64
NA,M19,SYBR,NA,Std,NA,36.9457770554612,2.64
NA,M20,SYBR,NA,Std,NA,36.2299355903694,2.64
NA,M21,SYBR,NA,Std,NA,36.0833405704067,2.64
NA,M22,SYBR,NA,Std,NA,NA,2.64
NA,O18,SYBR,NA,Std,NA,NA,0.264
NA,O19,SYBR,NA,Std,NA,NA,0.264
NA,O20,SYBR,NA,Std,NA,NA,0.264
NA,O21,SYBR,NA,Std,NA,NA,0.264
NA,O22,SYBR,NA,Std,NA,37.2117516221801,0.264
