date,hf_copies_mL,copies_uL
2022-07-07,1.5,1.5
2022-07-07,1.5,1.5
2022-07-07,1.5,1.5
2022-07-14,3,1.5
2022-07-14,3,1.5
2022-07-14,3,1.5
2022-02-16,1.5,1.5
2022-02-16,1.5,1.5
2022-06-14,1.5,1.5
2022-06-14,1.5,1.5
2022-06-14,1.5,1.5
2022-07-08,1.5,1.5
2022-07-08,1.5,1.5
2022-07-08,1.5,1.5
2022-07-15,3,1.5
2022-07-15,3,1.5
2022-07-15,3,1.5
2022-03-09,1.5,1.5
2022-03-09,1.5,1.5
2022-08-09,5,1.5
2022-07-09,1.5,1.5
2022-07-09,1.5,1.5
2022-07-09,1.5,1.5
2022-07-16,5,1.5
2022-07-16,5,1.5
2022-04-20,1.5,1.5
2022-04-20,1.5,1.5
2022-09-13,3.3333333333333335,1.5
2022-09-13,3.3333333333333335,1.5
2022-09-13,3.3333333333333335,1.5
2022-07-11,1.5,1.5
2022-07-11,1.5,1.5
2022-07-11,1.5,1.5
2022-07-17,5,1.5
2022-07-17,5,1.5
2022-05-11,1.5,1.5
2022-10-18,2.5,1.5
2022-07-12,3,1.5
2022-07-12,3,1.5
2022-07-12,3,1.5
2022-07-18,5,1.5
2022-07-13,3,1.5
2022-07-13,3,1.5
2022-05-24,34837371.24605751,34837371.24605751
2022-12-14,56138567.584110044,33683140.55046602
2022-05-20,16016395.791931666,16016395.791931666
2022-10-18,16961794.328952834,10177076.5973717
2022-07-18,21918768.732839618,6575630.619851885
2022-10-18,4697513.221025419,2818507.9326152517
2022-05-11,2443139.085562191,2443139.085562191
2022-05-20,2048327.7960715475,2048327.7960715475
2022-05-11,1839232.3415578022,1839232.3415578022
2022-12-14,1399064.8233752758,839438.8940251655
2022-07-19,2369661.6526757213,710898.4958027164
2022-12-14,1134080.0998490453,680448.0599094271
2022-05-20,386797.8007521456,386797.8007521456
2022-07-19,1066766.5562126308,320029.96686378925
2022-04-20,218843.9325376962,218843.9325376962
2022-07-19,697777.6018740255,209333.28056220766
2022-07-18,480800.3489945296,144240.10469835886
2022-07-16,360957.52656922373,108287.25797076711
2022-11-15,236352.79360390472,70905.83808117142
2022-07-13,74130.57225783078,37065.28612891539
2022-07-17,78044.80811070607,23413.44243321182
2022-05-24,51.341968709333926,51.341968709333926
2022-11-15,90.02194286924616,27.006582860773847
2022-02-16,18.19498030092379,18.19498030092379
2022-11-15,45.79375311778412,13.738125935335235
2022-03-09,12.058327464452747,12.058327464452747
2022-05-24,10.473614042529974,10.473614042529974
2022-08-09,34.235305132301775,10.270591539690532
2022-08-09,31.525097964657697,9.457529389397308
