site,date,sample,cfu_mL,cfu_yel,cfu_gre
BO,2022-02-16,100µLA,110,100,10
BO,2022-02-16,100µLB,120,80,40
BO,2022-02-16,100µLC,140,120,20
BO,2022-03-09,10+90 µLA,0,0,0
BO,2022-03-09,10 +90 µlB,0,0,0
BO,2022-03-09,10+90  µlc,0,0,0
BO,2022-04-20,10+90 µLA,100,100,0
BO,2022-04-20,10 +90 µlB,200,0,200
BO,2022-04-20,10+90  µlc,100,0,100
BO,2022-05-11,50+50 µLA,140,40,100
BO,2022-05-11,50+50 µLA,100,60,40
BO,2022-05-11,50+50 µLA,200,160,40
BO,2022-05-20,100µLA,910,650,260
BO,2022-05-20,100µLB,90,30,60
BO,2022-05-20,100µLC,650,490,160
BO,2022-05-24,50+50 µLA,40,40,0
BO,2022-05-24,50+50 µLA,40,20,20
BO,2022-05-24,50+50 µLA,80,40,40
BO,2022-06-14,50+50 µLA,1020,800,220
BO,2022-06-14,50+50 µLA,880,660,220
BO,2022-06-14,50+50 µLA,340,220,120
BO,2022-07-07,50+50 µLA,500,260,240
BO,2022-07-07,50+50 µLA,700,520,180
BO,2022-07-07,50+50 µLA,660,540,120
BO,2022-07-08,100µLA,170,150,20
BO,2022-07-08,100µLB,270,210,60
BO,2022-07-08,100µLC,200,110,90
BO,2022-07-09,100µLA,150,110,40
BO,2022-07-09,100µLB,150,110,40
BO,2022-07-09,100µLC,180,150,30
BO,2022-07-11,100µLA,60,40,20
BO,2022-07-11,100µLB,30,20,10
BO,2022-07-11,100µLC,50,50,0
BO,2022-07-12,100µLA,100,90,10
BO,2022-07-12,100µLB,190,90,100
BO,2022-07-12,100µLC,100,90,10
BO,2022-07-13,50+50 µLA,120,120,0
BO,2022-07-13,50+50 µLA,120,100,20
BO,2022-07-13,50+50 µLA,40,40,0
BO,2022-07-14,50+50 µLA,400,360,40
BO,2022-07-14,50+50 µLA,360,340,20
BO,2022-07-14,50+50 µLA,320,280,40
BO,2022-07-15,100µLA,490,410,80
BO,2022-07-15,100µLB,410,300,110
BO,2022-07-15,100µLC,480,450,30
BO,2022-07-16,100µLA,840,780,60
BO,2022-07-16,100µLB,720,600,120
BO,2022-07-16,100µLC,770,600,170
BO,2022-07-17,100µLA,270,210,60
BO,2022-07-17,100µLB,560,430,130
BO,2022-07-17,100µLC,630,550,80
BO,2022-07-18,100µLA,400,360,40
BO,2022-07-18,100µLB,350,240,110
BO,2022-07-18,100µLC,270,150,120
BO,2022-07-19,100µLA,90,50,40
BO,2022-07-19,100µLB,160,130,30
BO,2022-07-19,100µLC,100,80,20
BO,2022-08-09,50+50 µLA,20,0,20
BO,2022-08-09,50+50 µLA,0,0,0
BO,2022-08-09,50+50 µLA,0,0,0
BO,2022-09-13,50+50 µLA,0,0,0
BO,2022-09-13,50+50 µLA,0,0,0
BO,2022-09-13,50+50 µLA,0,0,0
BO,2022-10-18,50+50 µLA,460,280,180
BO,2022-10-18,50+50 µLA,440,300,140
BO,2022-10-18,50+50 µLA,220,160,60
BO,2022-11-15,100µLA,50,10,40
BO,2022-11-15,100µLB,230,100,130
BO,2022-11-15,100µLC,180,80,100
BO,2022-12-14,100µLA,170,100,70
BO,2022-12-14,100µLB,30,10,20
BO,2022-12-14,100µLC,80,50,30
C2,2022-02-16,10 +90 µLA,0,0,0
C2,2022-02-16,10+90  µlB,0,0,0
C2,2022-02-16,10+90  µlc,0,0,0
C2,2022-03-09,10 +90 µLA,0,0,0
C2,2022-03-09,10+90  µlB,0,0,0
C2,2022-03-09,10+90  µlc,0,0,0
C2,2022-04-20,10 +90 µLA,100,0,100
C2,2022-04-20,10+90  µlB,100,0,100
C2,2022-04-20,10+90  µlc,100,0,100
C2,2022-05-11,10+90  µLA,0,0,0
C2,2022-05-11,10+90  µLA,0,0,0
C2,2022-05-11,10+90  µLA,100,0,100
C2,2022-05-20,100µLA,500,320,180
C2,2022-05-20,100µLB,700,390,310
C2,2022-05-20,100µLC,870,440,430
C2,2022-05-24,50+50 µLA,160,60,100
C2,2022-05-24,50+50 µLA,320,140,180
C2,2022-05-24,50+50 µLA,160,80,80
C2,2022-06-14,50+50 µLA,20,20,0
C2,2022-06-14,50+50 µLA,40,40,0
C2,2022-06-14,50+50 µLA,60,40,20
C2,2022-07-07,100µLA,280,240,40
C2,2022-07-07,100µLB,200,140,60
C2,2022-07-07,100µLC,440,350,90
C2,2022-07-08,50+50 µLA,320,260,60
C2,2022-07-08,50+50 µLA,200,100,100
C2,2022-07-08,50+50 µLA,160,120,40
C2,2022-07-09,100µLA,1030,810,220
C2,2022-07-09,100µLB,210,180,30
C2,2022-07-09,100µLC,550,470,80
C2,2022-07-11,50+50 µLA,20,20,0
C2,2022-07-11,50+50 µLA,0,0,0
C2,2022-07-11,50+50 µLA,20,0,20
C2,2022-07-12,50+50 µLA,140,140,0
C2,2022-07-12,50+50 µLA,220,200,20
C2,2022-07-12,50+50 µLA,320,180,140
C2,2022-07-13,50+50 µLA,40,0,40
C2,2022-07-13,50+50 µLA,80,40,40
C2,2022-07-13,50+50 µLA,20,20,0
C2,2022-07-14,100µLA,400,260,140
C2,2022-07-14,100µLB,100,60,40
C2,2022-07-14,100µLC,300,200,100
C2,2022-07-15,50+50 µLA,440,140,300
C2,2022-07-15,50+50 µLA,420,260,160
C2,2022-07-15,50+50 µLA,280,160,120
C2,2022-07-16,100µLA,830,360,470
C2,2022-07-16,100µLB,700,390,310
C2,2022-07-16,100µLC,920,400,520
C2,2022-07-17,50+50 µLA,420,220,200
C2,2022-07-17,50+50 µLA,360,240,120
C2,2022-07-17,50+50 µLA,440,320,120
C2,2022-07-18,50+50 µLA,520,220,300
C2,2022-07-18,50+50 µLA,340,260,80
C2,2022-07-18,50+50 µLA,380,300,80
C2,2022-07-19,100µLA,200,160,40
C2,2022-07-19,100µLB,120,80,40
C2,2022-07-19,100µLC,220,180,40
C2,2022-08-09,100µLA,130,90,40
C2,2022-08-09,100µLB,90,40,50
C2,2022-08-09,100µLC,50,30,20
C2,2022-09-13,50+50 µLA,0,0,0
C2,2022-09-13,50+50 µLA,40,0,40
C2,2022-09-13,50+50 µLA,20,0,20
C2,2022-10-18,100µLA,80,40,40
C2,2022-10-18,100µLB,60,40,20
C2,2022-10-18,100µLC,110,50,60
C2,2022-11-15,100µLA,20,10,10
C2,2022-11-15,100µLB,110,10,100
C2,2022-11-15,100µLC,90,30,60
C2,2022-12-14,100µLA,150,40,110
C2,2022-12-14,100µLB,90,60,30
C2,2022-12-14,100µLC,190,60,130
RD,2022-02-16,100µLA,30,30,0
RD,2022-02-16,100µLB,120,120,0
RD,2022-02-16,100µLC,50,50,0
RD,2022-03-09,10+90  µLA,0,0,0
RD,2022-03-09,10+90  µlB,0,0,0
RD,2022-03-09,10+90  µlc,0,0,0
RD,2022-04-20,10+90  µLA,500,400,100
RD,2022-04-20,10+90  µlB,600,300,300
RD,2022-04-20,10+90  µlc,600,500,100
RD,2022-05-11,100µLA,60,10,50
RD,2022-05-11,100µLB,90,10,80
RD,2022-05-11,100µLC,50,10,40
RD,2022-05-20,50+50 µLA,800,260,540
RD,2022-05-20,50+50 µLA,580,240,340
RD,2022-05-20,50+50 µLA,780,380,400
RD,2022-05-24,50+50 µLA,40,0,40
RD,2022-05-24,50+50 µLA,240,40,200
