date,site,copies_mL
2022-07-07,BO,36904646.06816616
2022-07-07,BO,35637286.86698697
2022-07-07,BO,38790184.09833601
2022-07-14,BO,9979659.054905808
2022-07-14,BO,9866381.936675314
2022-07-14,BO,9219645.910120554
2022-07-08,BO,13295719.65363714
2022-07-08,BO,14529540.798064927
2022-07-08,BO,14851440.798573311
2022-07-15,BO,5934089.152936876
2022-07-15,BO,5160586.155238218
2022-07-15,BO,5270224.970027918
2022-07-09,BO,10370590.253478875
2022-07-09,BO,10431868.961575072
2022-07-09,BO,12100655.397631872
2022-07-16,BO,62513564.76536838
2022-07-16,BO,62267130.135371864
2022-07-16,BO,65995037.5905437
2022-07-11,BO,4290961.73254878
2022-07-11,BO,4534742.088175027
2022-07-11,BO,5248950.792720062
2022-07-17,BO,19951043.57215244
2022-07-17,BO,19044446.52835744
2022-07-17,BO,18811700.772838924
2022-07-12,BO,4896102.116164722
2022-07-12,BO,6824884.192121388
2022-07-12,BO,6259451.480999567
2022-07-18,BO,32170572.146811817
2022-07-18,BO,24244040.544617437
2022-07-18,BO,21371367.708905336
2022-07-13,BO,10862674.493776066
2022-07-13,BO,17514661.411950853
2022-07-13,BO,3107463.226418983
2022-07-19,BO,36114088.81051953
2022-07-19,BO,29335769.79349232
2022-07-19,BO,27819026.97163409
2022-07-07,C2,2004557.3841289016
2022-07-07,C2,1774896.210971934
2022-07-07,C2,2083320.2551259745
2022-07-14,C2,971516.844905258
2022-07-14,C2,1017136.6206765271
2022-07-14,C2,1046428.1818341711
2022-07-08,C2,782916.8677511652
2022-07-08,C2,1033153.7382793649
2022-07-08,C2,1122000.6977914097
2022-07-15,C2,50599.66893253763
2022-07-15,C2,46552.6232828849
2022-07-15,C2,50075.356174672546
2022-07-09,C2,455931.61634801346
2022-07-09,C2,516373.4856395361
2022-07-09,C2,598217.9226860993
2022-07-16,C2,918137.8627318267
2022-07-16,C2,865887.074095662
2022-07-16,C2,1038989.2496811277
2022-07-11,C2,944183.3673421585
2022-07-11,C2,1174167.4477871992
2022-07-11,C2,1234192.001132977
2022-07-17,C2,1341923.324158805
2022-07-17,C2,1368223.683504748
2022-07-17,C2,1448731.6013448236
2022-07-12,C2,666062.709681486
2022-07-12,C2,782374.3500328638
2022-07-12,C2,917233.9109499924
2022-07-18,C2,82336.554812645
2022-07-18,C2,74314.7535848602
2022-07-18,C2,78123.23723926817
2022-07-13,C2,818565.3156848901
2022-07-13,C2,919386.7807117709
2022-07-13,C2,878980.6837067552
2022-07-19,C2,3571985.683205657
2022-07-19,C2,3726060.406939256
2022-07-19,C2,3732680.627600243
2022-07-07,RD,810204.990150081
2022-07-07,RD,856649.7454941035
2022-07-07,RD,895053.4348662861
2022-07-14,RD,251037.51604857823
2022-07-14,RD,220736.38230239885
2022-07-14,RD,266537.7258367895
2022-07-08,RD,57929.01269153233
2022-07-08,RD,72003.98536748569
2022-07-08,RD,95517.48530793938
2022-07-15,RD,1281683.9825216008
2022-07-15,RD,1340161.635821499
2022-07-15,RD,1384548.6023752522
2022-07-09,RD,169441.6278228427
2022-07-09,RD,145700.77183835872
2022-07-09,RD,182789.67007558164
2022-07-16,RD,2380601.641837479
2022-07-16,RD,1888839.095758492
2022-07-16,RD,1795571.8144638413
2022-07-11,RD,26373.20626276891
2022-07-11,RD,20495.91840501356
2022-07-11,RD,32224.40944566293
2022-07-17,RD,1396300.1433183355
2022-07-17,RD,1325991.837497795
2022-07-17,RD,1229986.01315496
2022-07-12,RD,228260.99516997518
2022-07-12,RD,178969.58893344685
2022-07-12,RD,214734.37339105934
2022-07-18,RD,1199285.900665744
2022-07-18,RD,913663.7373245518
2022-07-18,RD,1311490.5027892604
2022-07-13,RD,805941.818020897
2022-07-13,RD,914855.3698011297
2022-07-13,RD,726399.3118492225
2022-07-19,RD,1521011.4340094146
2022-07-19,RD,1830030.6959485963
2022-07-19,RD,1673026.3584427375
