date,site,copies_mL
2022-02-16,BO,2809956.0947897905
2022-02-16,BO,3333347.6226034365
2022-02-16,BO,4321479.406576472
2022-02-16,C2,51323.00214031721
2022-02-16,C2,51499.13071249635
2022-02-16,C2,59293.12913634074
2022-02-16,RD,372002.39338371874
2022-02-16,RD,438245.7785416958
2022-02-16,RD,361953.56387302344
2022-06-14,BO,29502486.439971652
2022-06-14,BO,17609951.70317904
2022-06-14,BO,16229240.705513032
2022-06-14,C2,616480.0326655445
2022-06-14,C2,758845.0846195006
2022-06-14,C2,805421.9345700025
2022-06-14,RD,1149495.2985057803
2022-06-14,RD,1011852.8588737244
2022-06-14,RD,1074255.6332713228
2022-03-09,BO,737394.2772904098
2022-03-09,BO,797052.6761343654
2022-03-09,BO,1015566.4508722791
2022-03-09,C2,137532.95014074087
2022-03-09,C2,144975.16757763713
2022-03-09,C2,162829.97927121475
2022-03-09,RD,181572.79751945293
2022-03-09,RD,225170.26354886068
2022-03-09,RD,189344.6337130874
2022-08-09,BO,32826682.726961408
2022-08-09,BO,39211772.8547164
2022-08-09,BO,48779002.20783176
2022-08-09,C2,4526557.402894604
2022-08-09,C2,4382188.567882939
2022-08-09,C2,4739772.08736819
2022-08-09,RD,1055928.9180678807
2022-08-09,RD,1030376.421292201
2022-08-09,RD,1206103.2456674331
2022-04-20,BO,2206404.5190829383
2022-04-20,BO,2433654.05126261
2022-04-20,BO,2785131.82978441
2022-04-20,C2,48297.321211565206
2022-04-20,C2,66050.93324505245
2022-04-20,C2,69749.76019376575
2022-04-20,RD,1117711.8952959243
2022-04-20,RD,1251321.827663191
2022-04-20,RD,1170888.9455562083
2022-09-13,BO,33018299.492933452
2022-09-13,BO,35080282.945639975
2022-09-13,BO,57583787.253993325
2022-09-13,C2,1628887.0946888418
2022-09-13,C2,1525624.9244974523
2022-09-13,C2,1370954.5599648624
2022-09-13,RD,502774.3705931064
2022-09-13,RD,395012.0964798962
2022-09-13,RD,410048.3891225869
2022-05-11,BO,14582872.45437454
2022-05-11,BO,22535334.50995536
2022-05-11,BO,27149726.929645386
2022-05-11,C2,77986.38235825623
2022-05-11,C2,52002.92031894588
2022-05-11,C2,83070.33516698012
2022-05-11,RD,139610.2696448665
2022-05-11,RD,123028.30628518508
2022-05-11,RD,136921.4485377929
2022-10-18,BO,20277241.774861354
2022-10-18,BO,20346832.903871614
2022-10-18,BO,23257432.72239835
2022-10-18,C2,1222056.0450399553
2022-10-18,C2,1256047.4781832832
2022-10-18,C2,1094118.6578387346
2022-10-18,RD,1310114.3677571882
2022-10-18,RD,1005637.9050958912
2022-10-18,RD,1198183.8259890974
2022-05-20,BO,3371824.466549535
2022-05-20,BO,2999732.820592829
2022-05-20,BO,5699335.543283041
2022-05-20,C2,188493.61481094194
2022-05-20,C2,280457.2372958845
2022-05-20,C2,349777.7884954271
2022-05-20,RD,863890.0456591973
2022-05-20,RD,749058.695297516
2022-05-20,RD,1153598.1880110393
2022-11-15,BO,1424601.7617046842
2022-11-15,BO,8450539.517182844
2022-11-15,BO,10864032.18172473
2022-11-15,C2,169798.35932184715
2022-11-15,C2,154215.83593659214
2022-11-15,C2,153419.915471508
2022-11-15,RD,2244939.3684902606
2022-11-15,RD,1367722.1215432454
2022-11-15,RD,1806047.6008263575
2022-05-24,BO,3045555.6833615885
2022-05-24,BO,20706435.525664262
2022-05-24,BO,12889185.842483323
2022-05-24,C2,263716.41461847624
2022-05-24,C2,485432.93736899784
2022-05-24,C2,512953.727760535
2022-05-24,RD,897553.3709172788
2022-05-24,RD,1261954.8991598347
2022-05-24,RD,1286104.3368521363
2022-12-14,BO,7228792.377793291
2022-12-14,BO,7046154.429170389
2022-12-14,BO,7112829.48073247
2022-12-14,C2,3573889.455814617
2022-12-14,C2,4613677.644767926
2022-12-14,C2,3814917.4427835937
2022-12-14,RD,10498.641285316591
2022-12-14,RD,10435.847644336905
2022-12-14,RD,10769.611913655122
NA,NT,26.692343857012595
NA,NT,21.301246581680555
NA,NT,20.582795632703444
