copies_mL,site,date,Type
12858.299818634776,RD,2022-04-20,Monthly
13397.85364305746,RD,2022-04-20,Monthly
14735.814909770905,RD,2022-04-20,Monthly
9188.527063664846,RD,2022-08-09,Monthly
9578.04154998567,RD,2022-08-09,Monthly
9474.433721629526,RD,2022-08-09,Monthly
2753.6761614492157,RD,2022-02-16,Monthly
2475.5600049284644,RD,2022-02-16,Monthly
2739.371168188043,RD,2022-02-16,Monthly
5594.103328970771,RD,2022-06-14,Monthly
5439.746419614086,RD,2022-06-14,Monthly
6119.493112211691,RD,2022-06-14,Monthly
213.42902222533155,RD,2022-03-09,Monthly
206.45919263115863,RD,2022-03-09,Monthly
210.23494178020036,RD,2022-03-09,Monthly
463.29947397992953,RD,2022-05-11,Monthly
496.71324873579397,RD,2022-05-11,Monthly
510.4089150629585,RD,2022-05-11,Monthly
7922.995194333658,RD,2022-10-18,Monthly
8431.535535800856,RD,2022-10-18,Monthly
8854.292019494522,RD,2022-10-18,Monthly
11682.14315708369,RD,2022-09-13,Monthly
8529.706810627064,RD,2022-09-13,Monthly
10932.113839586873,RD,2022-09-13,Monthly
2485.6256040069115,BO,2022-02-16,Monthly
2460.55661341154,BO,2022-02-16,Monthly
2765.736320095079,BO,2022-02-16,Monthly
1202.7684467380143,BO,2022-03-09,Monthly
1163.5619259492946,BO,2022-03-09,Monthly
1244.3036891184108,BO,2022-03-09,Monthly
6454.828696178707,BO,2022-04-20,Monthly
6307.593817607809,BO,2022-04-20,Monthly
7254.006640756127,BO,2022-04-20,Monthly
8395.847017394315,BO,2022-05-11,Monthly
4497.540958050183,BO,2022-05-11,Monthly
8536.89966769322,BO,2022-05-11,Monthly
1408.7444894306307,BO,2022-05-20,Monthly
1269.7591754097552,BO,2022-05-20,Monthly
1460.5589208519234,BO,2022-05-20,Monthly
1887.7266708004825,BO,2022-05-24,Monthly
2119.8052953263505,BO,2022-05-24,Monthly
2225.272355803378,BO,2022-05-24,Monthly
9507.58046094092,BO,2022-06-14,Monthly
8932.204010153197,BO,2022-06-14,Monthly
9082.966933171778,BO,2022-06-14,Monthly
1919.2812343832916,BO,2022-08-09,Monthly
2042.812204846831,BO,2022-08-09,Monthly
2025.2468769655193,BO,2022-08-09,Monthly
2739.067523148221,BO,2022-09-13,Monthly
2832.0623629243187,BO,2022-09-13,Monthly
2678.661072282517,BO,2022-09-13,Monthly
23128.433898497446,BO,2022-10-18,Monthly
20755.393049359613,BO,2022-10-18,Monthly
22417.174399554693,BO,2022-10-18,Monthly
2722.1691850311254,RD,2022-05-20,Monthly
2357.599304271865,RD,2022-05-20,Monthly
2391.5441073239426,RD,2022-05-20,Monthly
7821.781431423961,RD,2022-05-24,Monthly
8272.882873194574,RD,2022-05-24,Monthly
8375.586908037896,RD,2022-05-24,Monthly
37.6922045597136,C2,2022-02-16,Monthly
44.91206781538855,C2,2022-02-16,Monthly
39.45394882204692,C2,2022-02-16,Monthly
494.2868502259643,C2,2022-03-09,Monthly
490.68644370484213,C2,2022-03-09,Monthly
573.2143820134847,C2,2022-03-09,Monthly
117.73381590861077,C2,2022-04-20,Monthly
109.37757081970851,C2,2022-04-20,Monthly
115.55238534076308,C2,2022-04-20,Monthly
325.53990186212417,C2,2022-05-11,Monthly
331.5178724269491,C2,2022-05-11,Monthly
400.5605498663968,C2,2022-05-11,Monthly
784.9228370275656,C2,2022-05-20,Monthly
720.6072725577815,C2,2022-05-20,Monthly
927.6139988399588,C2,2022-05-20,Monthly
512.1857005705133,C2,2022-05-24,Monthly
625.7694286178534,C2,2022-05-24,Monthly
741.212751369585,C2,2022-05-24,Monthly
1791.1642985136086,C2,2022-06-14,Monthly
1666.309159123438,C2,2022-06-14,Monthly
1694.5884838263648,C2,2022-06-14,Monthly
4899.322789254172,C2,2022-08-09,Monthly
4676.992882748025,C2,2022-08-09,Monthly
5274.718436146343,C2,2022-08-09,Monthly
2508.1468167026646,C2,2022-09-13,Monthly
2455.474176331899,C2,2022-09-13,Monthly
2501.4455795004783,C2,2022-09-13,Monthly
3954.8552287050775,C2,2022-10-18,Monthly
4252.102625111568,C2,2022-10-18,Monthly
4468.488057589741,C2,2022-10-18,Monthly
6391.682342911808,BO,2022-11-15,Monthly
8901.486097413343,BO,2022-11-15,Monthly
15317.069022596073,BO,2022-11-15,Monthly
3019.2831519012375,BO,2022-12-14,Monthly
4537.866942569627,BO,2022-12-14,Monthly
8974.708380964377,BO,2022-12-14,Monthly
381.24325494736485,C2,2022-11-15,Monthly
573.8442579219778,C2,2022-11-15,Monthly
1094.8305474634735,C2,2022-11-15,Monthly
3472.1054907443795,C2,2022-12-14,Monthly
5166.5674881807845,C2,2022-12-14,Monthly
11429.413888827403,C2,2022-12-14,Monthly
3777.526038471906,RD,2022-11-15,Monthly
6257.226666648022,RD,2022-11-15,Monthly
12871.870848361672,RD,2022-11-15,Monthly
78.68679057153166,RD,2022-12-14,Monthly
97.45814394745915,RD,2022-12-14,Monthly
213.89862923753597,RD,2022-12-14,Monthly
