Sample,Cq,site,dilution,filter_amt,log_sq,sq,copies_uL_extract,copies_assay,concentration_factor,copies_mL
R7,43.7427069846489,RD,1,100,-1.3414234707649502,0.045559246135279535,0.045559246135279535,0.05467109536233544,1,0.045559246135279535
R9,43.6364111795458,RD,1,100,-1.312475811423149,0.04869946481893596,0.04869946481893596,0.05843935778272315,1,0.04869946481893596
R14,42.9495083903751,RD,1,100,-1.1254107816925656,0.07491852498852404,0.07491852498852404,0.08990222998622885,1,0.07491852498852404
R19,42.6696353654865,RD,1,100,-1.049192637659722,0.08929093329062243,0.08929093329062243,0.10714911994874692,1,0.08929093329062243
R7,41.399511622092,RD,1,100,-0.7032983720294116,0.1980166130802049,0.1980166130802049,0.23761993569624587,1,0.1980166130802049
R12,41.3150930303755,RD,1,100,-0.6803085594704521,0.20878122456699416,0.20878122456699413,0.25053746948039296,1,0.20878122456699413
R17,41.2490267785824,RD,1,100,-0.6623166608339861,0.21761224990231284,0.21761224990231282,0.2611346998827754,1,0.21761224990231282
R13,41.2161204952332,RD,1,100,-0.6533552546931368,0.22214919575502637,0.22214919575502637,0.26657903490603163,1,0.22214919575502637
R17,41.0898986283822,RD,1,100,-0.6189811079472225,0.24044673934079358,0.24044673934079358,0.2885360872089523,1,0.24044673934079358
R17,40.928682851931796,RD,1,100,-0.5750770293931907,0.2660253177538261,0.2660253177538261,0.3192303813045913,1,0.2660253177538261
R15,40.4550488507814,RD,1,100,-0.44609173496225546,0.35802080525524754,0.35802080525524754,0.42962496630629704,1,0.35802080525524754
R15,40.4226880646179,RD,1,100,-0.4372788846998641,0.3653600981775153,0.3653600981775153,0.43843211781301833,1,0.3653600981775153
R15,40.0313054387779,RD,1,100,-0.33069320228156285,0.4669891579667692,0.4669891579667692,0.560386989560123,1,0.4669891579667692
R12,39.8597264163274,RD,1,100,-0.2839668889780494,0.5200356430313018,0.5200356430313018,0.6240427716375622,1,0.5200356430313018
R14,39.700774894109,RD,1,100,-0.24067943739351924,0.5745403870235144,0.5745403870235144,0.6894484644282173,1,0.5745403870235144
R18,39.6669474877643,RD,1,100,-0.23146718076369735,0.5868577162433504,0.5868577162433504,0.7042292594920204,1,0.5868577162433504
R12,39.2276446280253,RD,1,100,-0.11183132571495163,0.7729807423932592,0.7729807423932592,0.927576890871911,1,0.7729807423932592
R7,38.9699135337512,RD,1,100,-0.0416431192132906,0.9085668368238357,0.9085668368238358,1.0902802041886028,1,0.9085668368238358
R14,38.9513754299528,RD,1,100,-0.03659461600021712,0.9191901969328626,0.9191901969328625,1.103028236319435,1,0.9191901969328625
R16,38.921655721766,RD,1,100,-0.02850101355283249,0.9364810343401586,0.9364810343401586,1.1237772412081903,1,0.9364810343401586
