Sample,copies_mL,site,day,copies_uL1
BO_5_11,3.54,BO,5_11,3.54
C2_12,3.54,C2,12,3.54
C2_8,3.54,C2,8,3.54
C2_6,3.54,C2,6,3.54
C2_12,3.54,C2,12,3.54
RD_5_20,3.54,RD,5_20,3.54
C2_12,3.54,C2,12,3.54
RD_11,3.54,RD,11,3.54
C2_4,3.54,C2,4,3.54
BO_6,3.54,BO,6,3.54
RD_8,3.54,RD,8,3.54
RD_5_20,3.54,RD,5_20,3.54
C2_9,3.54,C2,9,3.54
RD_12,3.54,RD,12,3.54
BO_10,5.9,BO,10,3.54
RD_11,3.54,RD,11,3.54
RD_5_20,3.54,RD,5_20,3.54
C2_2,3.54,C2,2,3.54
RD_11,3.54,RD,11,3.54
C2_3,3.54,C2,3,3.54
BO_5_24,3.54,BO,5_24,3.54
BO_9,7.866666666666667,BO,9,3.54
C2_5_20,3.54,C2,5_20,3.54
BO_12,5.9,BO,12,3.54
BO_5_11,3.54,BO,5_11,3.54
C2_5_24,3.54,C2,5_24,3.54
BO_2,3.54,BO,2,3.54
BO_10,5.9,BO,10,3.54
BO_8,11.8,BO,8,3.54
RD_8,3.54,RD,8,3.54
RD_8,3.54,RD,8,3.54
RD_5_11,3.54,RD,5_11,3.54
RD_4,3.54,RD,4,3.54
RD_5_11,3.54,RD,5_11,3.54
RD_5_11,3.54,RD,5_11,3.54
RD_4,3.54,RD,4,3.54
RD_4,3.54,RD,4,3.54
BO_11,53.06562334982923,BO,11,15.919687004948768
BO_11,78.4321055289426,BO,11,23.529631658682778
BO_11,87.19459660261337,BO,11,26.15837898078401
C2_11,32.331380776564785,C2,11,32.331380776564785
C2_11,37.07013804158885,C2,11,37.07013804158885
C2_11,41.07646011091067,C2,11,41.07646011091067
BO_2,3.54,BO,2,3.54
BO_2,3.54,BO,2,3.54
BO_6,3.54,BO,6,3.54
BO_6,3.54,BO,6,3.54
C2_2,3.54,C2,2,3.54
C2_2,3.54,C2,2,3.54
C2_6,3.54,C2,6,3.54
C2_6,3.54,C2,6,3.54
RD_ 2,3.54,RD, 2,3.54
RD_ 2,3.54,RD, 2,3.54
RD_ 2,3.54,RD, 2,3.54
RD_6,3.54,RD,6,3.54
RD_6,3.54,RD,6,3.54
RD_6,3.54,RD,6,3.54
BO_3,3.54,BO,3,3.54
BO_3,3.54,BO,3,3.54
BO_3,3.54,BO,3,3.54
BO_8,11.8,BO,8,3.54
BO_8,11.8,BO,8,3.54
C2_3,3.54,C2,3,3.54
C2_3,3.54,C2,3,3.54
C2_8,3.54,C2,8,3.54
C2_8,3.54,C2,8,3.54
RD_3,3.54,RD,3,3.54
RD_3,3.54,RD,3,3.54
RD_3,3.54,RD,3,3.54
BO_4,3.54,BO,4,3.54
BO_4,3.54,BO,4,3.54
BO_4,3.54,BO,4,3.54
BO_9,7.866666666666667,BO,9,3.54
BO_9,7.866666666666667,BO,9,3.54
C2_4,3.54,C2,4,3.54
C2_4,3.54,C2,4,3.54
C2_9,3.54,C2,9,3.54
C2_9,3.54,C2,9,3.54
RD_9,3.54,RD,9,3.54
RD_9,3.54,RD,9,3.54
RD_9,3.54,RD,9,3.54
BO_5_11,3.54,BO,5_11,3.54
BO_10,5.9,BO,10,3.54
C2_5_11,3.54,C2,5_11,3.54
C2_5_11,3.54,C2,5_11,3.54
C2_5_11,3.54,C2,5_11,3.54
C2_10,3.54,C2,10,3.54
C2_10,3.54,C2,10,3.54
C2_10,3.54,C2,10,3.54
RD_10,3.54,RD,10,3.54
RD_10,3.54,RD,10,3.54
RD_10,3.54,RD,10,3.54
BO_5_20,3.54,BO,5_20,3.54
BO_5_20,3.54,BO,5_20,3.54
BO_5_20,3.54,BO,5_20,3.54
C2_5_20,3.54,C2,5_20,3.54
C2_5_20,3.54,C2,5_20,3.54
BO_5_24,3.54,BO,5_24,3.54
BO_5_24,3.54,BO,5_24,3.54
BO_12,5.9,BO,12,3.54
BO_12,5.9,BO,12,3.54
C2_5_24,3.54,C2,5_24,3.54
C2_5_24,3.54,C2,5_24,3.54
RD_5_24,3.54,RD,5_24,3.54
RD_5_24,3.54,RD,5_24,3.54
RD_5_24,3.54,RD,5_24,3.54
RD_12,3.54,RD,12,3.54
RD_12,3.54,RD,12,3.54
