Sample,copies_mL,site,day,date
C27,5.7,C2,7,2022-07-07
C27,5.7,C2,7,2022-07-07
C27,5.7,C2,7,2022-07-07
C214,5.7,C2,14,2022-07-14
C214,5.7,C2,14,2022-07-14
C214,5.7,C2,14,2022-07-14
RD7,5.7,RD,7,2022-07-07
RD7,5.7,RD,7,2022-07-07
RD7,5.7,RD,7,2022-07-07
RD14,5.7,RD,14,2022-07-14
RD14,5.7,RD,14,2022-07-14
RD14,5.7,RD,14,2022-07-14
C28,5.7,C2,8,2022-07-08
C28,5.7,C2,8,2022-07-08
C28,5.7,C2,8,2022-07-08
C215,5.7,C2,15,2022-07-15
C215,101.94332520336043,C2,15,2022-07-15
C215,5.7,C2,15,2022-07-15
RD8,5.7,RD,8,2022-07-08
RD8,5.7,RD,8,2022-07-08
RD8,5.7,RD,8,2022-07-08
RD15,5.7,RD,15,2022-07-15
RD15,5.7,RD,15,2022-07-15
RD15,0.9005833322153628,RD,15,2022-07-15
C29,5.7,C2,9,2022-07-09
C29,5.7,C2,9,2022-07-09
C29,5.7,C2,9,2022-07-09
C216,5.7,C2,16,2022-07-16
C216,1.3483951860624785,C2,16,2022-07-16
C216,5.7,C2,16,2022-07-16
RD9,5.7,RD,9,2022-07-09
RD9,5.7,RD,9,2022-07-09
RD9,5.7,RD,9,2022-07-09
RD16,5.7,RD,16,2022-07-16
RD16,5.7,RD,16,2022-07-16
RD16,5.7,RD,16,2022-07-16
C211,5.7,C2,11,2022-07-11
C211,5.7,C2,11,2022-07-11
C211,5.7,C2,11,2022-07-11
C217,5.7,C2,17,2022-07-17
C217,1.1247160135206073,C2,17,2022-07-17
C217,5.7,C2,17,2022-07-17
RD11,5.7,RD,11,2022-07-11
RD11,5.7,RD,11,2022-07-11
RD11,5.7,RD,11,2022-07-11
RD17,87.77258884215338,RD,17,2022-07-17
RD17,5.7,RD,17,2022-07-17
RD17,5.7,RD,17,2022-07-17
C212,5.7,C2,12,2022-07-12
C212,5.7,C2,12,2022-07-12
C212,66.60622043727318,C2,12,2022-07-12
C218,5.7,C2,18,2022-07-18
C218,5.7,C2,18,2022-07-18
C218,0.2853069861652844,C2,18,2022-07-18
RD12,5.7,RD,12,2022-07-12
RD12,5.7,RD,12,2022-07-12
RD12,5.7,RD,12,2022-07-12
RD18,5.7,RD,18,2022-07-18
RD18,5.7,RD,18,2022-07-18
RD18,5.7,RD,18,2022-07-18
C213,5.7,C2,13,2022-07-13
C213,5.7,C2,13,2022-07-13
C213,5.7,C2,13,2022-07-13
C219,5.7,C2,19,2022-07-19
C219,5.7,C2,19,2022-07-19
C219,5.7,C2,19,2022-07-19
RD13,5.7,RD,13,2022-07-13
RD13,5.7,RD,13,2022-07-13
RD13,5.7,RD,13,2022-07-13
RD19,5.7,RD,19,2022-07-19
RD19,5.7,RD,19,2022-07-19
RD19,87.37289527412072,RD,19,2022-07-19
BO_7,5.7,BO,7,2022-07-07
BO_7,5.7,BO,7,2022-07-07
BO_7,5.7,BO,7,2022-07-07
BO_14,11.4,BO,14,2022-07-14
BO_14,11.4,BO,14,2022-07-14
BO_14,11.4,BO,14,2022-07-14
BO_8,2336.2481509556414,BO,8,2022-07-08
BO_8,1188.0967293938875,BO,8,2022-07-08
BO_8,5.7,BO,8,2022-07-08
BO_15,6250.860418051804,BO,15,2022-07-15
BO_15,11.4,BO,15,2022-07-15
BO_15,11.4,BO,15,2022-07-15
BO_9,5.7,BO,9,2022-07-09
BO_9,5.7,BO,9,2022-07-09
BO_9,2781.9680749661925,BO,9,2022-07-09
BO_16,19,BO,16,2022-07-16
BO_16,19,BO,16,2022-07-16
BO_16,14116.777554052696,BO,16,2022-07-16
BO_11,5.7,BO,11,2022-07-11
BO_11,5.7,BO,11,2022-07-11
BO_11,5.7,BO,11,2022-07-11
BO_17,19,BO,17,2022-07-17
BO_17,19,BO,17,2022-07-17
BO_17,30842.714531495374,BO,17,2022-07-17
BO_12,11.4,BO,12,2022-07-12
BO_12,11.4,BO,12,2022-07-12
BO_12,11.4,BO,12,2022-07-12
BO_18,19,BO,18,2022-07-18
BO_18,4663.014441023013,BO,18,2022-07-18
BO_18,19,BO,18,2022-07-18
BO_13,11.4,BO,13,2022-07-13
BO_13,11.4,BO,13,2022-07-13
BO_13,11.4,BO,13,2022-07-13
BO_19,19,BO,19,2022-07-19
BO_19,19,BO,19,2022-07-19
BO_19,19,BO,19,2022-07-19
BO_7,5.7,BO,7,2022-07-07
BO_7,5.7,BO,7,2022-07-07
BO_14,4365.5090356406845,BO,14,2022-07-14
BO_14,11.4,BO,14,2022-07-14
BO_8,5.7,BO,8,2022-07-08
BO_8,2475.2444109281787,BO,8,2022-07-08
BO_15,11.4,BO,15,2022-07-15
BO_15,11.4,BO,15,2022-07-15
BO_9,5.7,BO,9,2022-07-09
BO_9,5.7,BO,9,2022-07-09
BO_16,19,BO,16,2022-07-16
BO_16,8573.550621676855,BO,16,2022-07-16
BO_11,5.7,BO,11,2022-07-11
BO_11,5.7,BO,11,2022-07-11
BO_17,4080.6728913310812,BO,17,2022-07-17
BO_17,19,BO,17,2022-07-17
BO_12,11.4,BO,12,2022-07-12
BO_12,11.4,BO,12,2022-07-12
BO_18,19,BO,18,2022-07-18
BO_18,19,BO,18,2022-07-18
BO_13,11.4,BO,13,2022-07-13
BO_13,11.4,BO,13,2022-07-13
BO_19,19,BO,19,2022-07-19
BO_19,19,BO,19,2022-07-19
