Sample,copies_mL,site,day,copies_uL,date
BO_2,5.7,BO,2,5.7,2022-02-16
BO_2,11.598842706561763,BO,2,11.598842706561763,2022-02-16
BO_2,5.7,BO,2,5.7,2022-02-16
C2_2,5.7,C2,2,5.7,2022-02-16
C2_2,5.7,C2,2,5.7,2022-02-16
C2_2,5.7,C2,2,5.7,2022-02-16
RD_2,5.7,RD,2,5.7,2022-02-16
RD_2,5.7,RD,2,5.7,2022-02-16
RD_2,5.7,RD,2,5.7,2022-02-16
BO_6,52.888321492036575,BO,6,52.888321492036575,2022-06-14
BO_6,5.7,BO,6,5.7,2022-06-14
BO_6,55.794814647060974,BO,6,55.794814647060974,2022-06-14
C2_6,5.7,C2,6,5.7,2022-06-14
C2_6,5.7,C2,6,5.7,2022-06-14
C2_6,5.7,C2,6,5.7,2022-06-14
RD_6,5.7,RD,6,5.7,2022-06-14
RD_6,5.7,RD,6,5.7,2022-06-14
RD_6,5.7,RD,6,5.7,2022-06-14
BO_3,5.7,BO,3,5.7,2022-03-09
BO_3,5.7,BO,3,5.7,2022-03-09
BO_3,5.7,BO,3,5.7,2022-03-09
C2_3,5.7,C2,3,5.7,2022-03-09
C2_3,5.7,C2,3,5.7,2022-03-09
C2_3,5.7,C2,3,5.7,2022-03-09
RD_3,5.7,RD,3,5.7,2022-03-09
RD_3,5.7,RD,3,5.7,2022-03-09
RD_3,5.7,RD,3,5.7,2022-03-09
BO_8,19,BO,8,5.7,2022-08-09
BO_8,19,BO,8,5.7,2022-08-09
BO_8,19,BO,8,5.7,2022-08-09
C2_8,5.7,C2,8,5.7,2022-08-09
C2_8,5.7,C2,8,5.7,2022-08-09
C2_8,5.7,C2,8,5.7,2022-08-09
RD_8,5.7,RD,8,5.7,2022-08-09
RD_8,5.7,RD,8,5.7,2022-08-09
RD_8,5.7,RD,8,5.7,2022-08-09
BO_4,5.7,BO,4,5.7,2022-04-20
BO_4,5.7,BO,4,5.7,2022-04-20
BO_4,5.7,BO,4,5.7,2022-04-20
C2_4,5.7,C2,4,5.7,2022-04-20
C2_4,5.7,C2,4,5.7,2022-04-20
C2_4,5.7,C2,4,5.7,2022-04-20
RD_4,5.7,RD,4,5.7,2022-04-20
RD_4,5.7,RD,4,5.7,2022-04-20
RD_4,5.7,RD,4,5.7,2022-04-20
BO_9,12.666666666666668,BO,9,5.7,2022-09-13
BO_9,67.32794298797538,BO,9,30.29757434458892,2022-09-13
BO_9,12.666666666666668,BO,9,5.7,2022-09-13
C2_9,5.7,C2,9,5.7,2022-09-13
C2_9,5.7,C2,9,5.7,2022-09-13
C2_9,5.7,C2,9,5.7,2022-09-13
RD_9,5.7,RD,9,5.7,2022-09-13
RD_9,5.7,RD,9,5.7,2022-09-13
RD_9,5.7,RD,9,5.7,2022-09-13
BO_5_11,5.7,BO,5_11,5.7,2022-05-11
BO_5_11,5.7,BO,5_11,5.7,2022-05-11
BO_5_11,5.7,BO,5_11,5.7,2022-05-11
