SQ,Cq,Sample,Fluor,site,dilution,filter_amt,copies_uL_extract,copies_assay,concentration_factor,copies_mL
NA,NA,BO_7,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_7,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_7,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_14,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,BO_14,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,BO_14,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,C2_7,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_7,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_7,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_14,HEX,C2,1,100,0.336,0.4032,1,0.336
0.00780821341424319,42.6977979585456,C2_14,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_14,HEX,C2,1,100,0.336,0.4032,1,0.336
1.19327979282272,35.6527162196715,RD_7,HEX,RD,1,100,1.19327979282272,1.431935751387264,1,1.19327979282272
NA,NA,RD_7,HEX,RD,1,100,0.336,0.4032,1,0.336
0.605064672789518,36.604043381388,RD_7,HEX,RD,1,100,0.336,0.4032,1,0.336
0.153047476535515,38.5295814015139,RD_14,HEX,RD,1,100,0.336,0.4032,1,0.336
0.0171112250961479,41.5987790959342,RD_14,HEX,RD,1,100,0.336,0.4032,1,0.336
0.201389321069505,38.1450700620759,RD_14,HEX,RD,1,100,0.336,0.4032,1,0.336
3700000,14.8440142791999,NA,HEX,NA,NA,NA,NA,NA,NA,NA
3700000,15.0145744547486,NA,HEX,NA,NA,NA,NA,NA,NA,NA
3700000,14.5230982519201,NA,HEX,NA,NA,NA,NA,NA,NA,NA
NA,NA,BO_8,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_8,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_8,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_15,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,BO_15,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,BO_15,HEX,BO,10,50,0.336,0.4032,2,0.672
NA,NA,C2_8,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_8,HEX,C2,1,100,0.336,0.4032,1,0.336
0.00625477637949596,43.0085411596653,C2_8,HEX,C2,1,100,0.336,0.4032,1,0.336
0.00666647174484334,42.9192459120244,C2_15,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_15,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_15,HEX,C2,1,100,0.336,0.4032,1,0.336
0.866945779011588,36.1002538799846,RD_8,HEX,RD,1,100,0.866945779011588,1.0403349348139055,1,0.866945779011588
2.21372343312241,34.787056140513,RD_8,HEX,RD,1,100,2.21372343312241,2.656468119746892,1,2.21372343312241
2.88332072250495,34.4168681424651,RD_8,HEX,RD,1,100,2.88332072250495,3.45998486700594,1,2.88332072250495
2.19155748795313,34.8011531216562,RD_15,HEX,RD,1,100,2.19155748795313,2.6298689855437556,1,2.19155748795313
0.810834455324322,36.1939857418043,RD_15,HEX,RD,1,100,0.810834455324322,0.9730013463891863,1,0.810834455324322
1.37326398992069,35.4559235342754,RD_15,HEX,RD,1,100,1.37326398992069,1.647916787904828,1,1.37326398992069
370000,17.9312044716383,NA,HEX,NA,NA,NA,NA,NA,NA,NA
370000,17.9536118321248,NA,HEX,NA,NA,NA,NA,NA,NA,NA
370000,17.8597163559926,NA,HEX,NA,NA,NA,NA,NA,NA,NA
NA,NA,BO_9,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_9,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_9,HEX,BO,10,100,0.336,0.4032,1,0.336
NA,NA,BO_16,HEX,BO,10,30,0.336,0.4032,3.3333333333333335,1.12
NA,NA,BO_16,HEX,BO,10,30,0.336,0.4032,3.3333333333333335,1.12
NA,NA,BO_16,HEX,BO,10,30,0.336,0.4032,3.3333333333333335,1.12
NA,NA,C2_9,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_9,HEX,C2,1,100,0.336,0.4032,1,0.336
NA,NA,C2_9,HEX,C2,1,100,0.336,0.4032,1,0.336
0.140236338068742,38.6520390426198,C2_16,HEX,C2,1,100,0.336,0.4032,1,0.336
0.239901925208726,37.8999416583675,C2_16,HEX,C2,1,100,0.336,0.4032,1,0.336
