day,copies_mL,site,copies_uL,date
2,1.5,BO,1.5,2022-02-16
2,1.5,BO,1.5,2022-02-16
2,1.5,BO,1.5,2022-02-16
6,1.5,BO,1.5,2022-06-13
6,1.5,BO,1.5,2022-06-13
6,1.5,BO,1.5,2022-06-13
2,1.5,C2,1.5,2022-02-16
2,1.5,C2,1.5,2022-02-16
2,1.5,C2,1.5,2022-02-16
6,1.5,C2,1.5,2022-06-13
6,1.5,C2,1.5,2022-06-13
6,1.5,C2,1.5,2022-06-13
2,1.5,RD,1.5,2022-02-16
2,1.5,RD,1.5,2022-02-16
2,1.5,RD,1.5,2022-02-16
6,1.5,RD,1.5,2022-06-13
6,1.5,RD,1.5,2022-06-13
6,1.5,RD,1.5,2022-06-13
NA,NA,NA,609040.4580317747,NA
NA,NA,NA,606802.6473255199,NA
3,1.5,BO,1.5,2022-03-09
3,1.5,BO,1.5,2022-03-09
3,1.5,BO,1.5,2022-03-09
8,5,BO,1.5,2022-08-09
8,5,BO,1.5,2022-08-09
8,5,BO,1.5,2022-08-09
3,1.5,C2,1.5,2022-03-09
3,1.5,C2,1.5,2022-03-09
3,1.5,C2,1.5,2022-03-09
8,1.5,C2,1.5,2022-08-09
8,1.5,C2,1.5,2022-08-09
8,1.5,C2,1.5,2022-08-09
3,1.5,RD,1.5,2022-03-09
3,1.5,RD,1.5,2022-03-09
3,1.5,RD,1.5,2022-03-09
8,41.56168132029929,RD,41.56168132029929,2022-08-09
8,45.66413980945617,RD,45.66413980945617,2022-08-09
8,54.0701023976034,RD,54.0701023976034,2022-08-09
NA,NA,NA,629478.4252023472,NA
4,1.5,BO,1.5,2022-04-20
4,1.5,BO,1.5,2022-04-20
4,1.5,BO,1.5,2022-04-20
9,3.3333333333333335,BO,1.5,2022-09-13
9,3.3333333333333335,BO,1.5,2022-09-13
9,3.3333333333333335,BO,1.5,2022-09-13
4,1.5,C2,1.5,2022-04-20
4,1.5,C2,1.5,2022-04-20
4,1.5,C2,1.5,2022-04-20
9,1.5,C2,1.5,2022-09-13
9,1.5,C2,1.5,2022-09-13
9,1.5,C2,1.5,2022-09-13
4,1.5,RD,1.5,2022-04-20
4,1.5,RD,1.5,2022-04-20
4,1.5,RD,1.5,2022-04-20
9,1.5,RD,1.5,2022-09-13
9,1.5,RD,1.5,2022-09-13
9,1.5,RD,1.5,2022-09-13
511,1.5,BO,1.5,2022-05-11
511,1.5,BO,1.5,2022-05-11
511,1.5,BO,1.5,2022-05-11
10,2.5,BO,1.5,2022-10-18
10,2.5,BO,1.5,2022-10-18
10,2.5,BO,1.5,2022-10-18
511,1.5,C2,1.5,2022-05-11
511,1.5,C2,1.5,2022-05-11
511,1.5,C2,1.5,2022-05-11
10,1.5,C2,1.5,2022-10-18
10,1.5,C2,1.5,2022-10-18
10,18.466454026435983,C2,18.466454026435983,2022-10-18
511,1.5,RD,1.5,2022-05-11
511,1.5,RD,1.5,2022-05-11
511,1.5,RD,1.5,2022-05-11
10,1.5,RD,1.5,2022-10-18
10,1.5,RD,1.5,2022-10-18
10,1.5,RD,1.5,2022-10-18
520,1.5,BO,1.5,2022-05-20
520,1.5,BO,1.5,2022-05-20
520,1.5,BO,1.5,2022-05-20
11,5,BO,1.5,2022-11-15
11,5,BO,1.5,2022-11-15
11,5,BO,1.5,2022-11-15
520,1.5,C2,1.5,2022-05-20
520,1.5,C2,1.5,2022-05-20
520,1.5,C2,1.5,2022-05-20
11,1.5,C2,1.5,2022-11-15
11,1.5,C2,1.5,2022-11-15
11,1.5,C2,1.5,2022-11-15
520,1.5,RD,1.5,2022-05-20
520,1.5,RD,1.5,2022-05-20
520,1.5,RD,1.5,2022-05-20
11,1.5,RD,1.5,2022-11-15
11,1.5,RD,1.5,2022-11-15
11,1.5,RD,1.5,2022-11-15
524,1.5,BO,1.5,2022-05-24
524,1.5,BO,1.5,2022-05-24
524,1.5,BO,1.5,2022-05-24
12,2.5,BO,1.5,2022-12-14
12,2.5,BO,1.5,2022-12-14
12,2.5,BO,1.5,2022-12-14
524,1.5,C2,1.5,2022-05-24
524,1.5,C2,1.5,2022-05-24
524,1.5,C2,1.5,2022-05-24
12,1.5,C2,1.5,2022-12-14
12,1.5,C2,1.5,2022-12-14
12,1.5,C2,1.5,2022-12-14
524,1.5,RD,1.5,2022-05-24
524,1.5,RD,1.5,2022-05-24
524,1.5,RD,1.5,2022-05-24
12,1.5,RD,1.5,2022-12-14
12,1.5,RD,1.5,2022-12-14
12,1.5,RD,1.5,2022-12-14
NA,NA,NA,1.5,NA
NA,NA,NA,1.5,NA
NA,NA,NA,1.5,NA
