Sample,copies_mL,site,copies_uL,day,date
BO_7,15,BO,1.5,7,2022-07-07
BO_7,15,BO,1.5,7,2022-07-07
BO_7,54.05398355627959,BO,5.405398355627959,7,2022-07-07
BO_14,30,BO,1.5,14,2022-07-14
BO_14,30,BO,1.5,14,2022-07-14
BO_14,61.519878587107435,BO,3.0759939293553717,14,2022-07-14
C2_7,1.5,C2,1.5,7,2022-07-07
C2_7,1.5,C2,1.5,7,2022-07-07
C2_7,1.5,C2,1.5,7,2022-07-07
C2_14,1.5,C2,1.5,14,2022-07-14
C2_14,1.5,C2,1.5,14,2022-07-14
C2_14,1.5,C2,1.5,14,2022-07-14
RD_7,1.5,RD,1.5,7,2022-07-07
RD_7,1.5,RD,1.5,7,2022-07-07
RD_7,1.5,RD,1.5,7,2022-07-07
RD_14,1.5,RD,1.5,14,2022-07-14
RD_14,1.5,RD,1.5,14,2022-07-14
RD_14,1.5,RD,1.5,14,2022-07-14
NA,NA,NA,13207.605172866228,NA,NA
NA,NA,NA,13301.91009486669,NA,NA
NA,NA,NA,16465.279272784657,NA,NA
BO_8,44.87812819054423,BO,4.487812819054423,8,2022-07-08
BO_8,15,BO,1.5,8,2022-07-08
BO_8,15,BO,1.5,8,2022-07-08
BO_15,30,BO,1.5,15,2022-07-15
BO_15,30,BO,1.5,15,2022-07-15
BO_15,65.35519362459934,BO,3.267759681229967,15,2022-07-15
C2_8,1.5,C2,1.5,8,2022-07-08
C2_8,15.683556173066245,C2,15.683556173066245,8,2022-07-08
C2_8,1.5,C2,1.5,8,2022-07-08
C2_15,1.5,C2,1.5,15,2022-07-15
C2_15,1.5,C2,1.5,15,2022-07-15
C2_15,1.5,C2,1.5,15,2022-07-15
RD_8,1.5,RD,1.5,8,2022-07-08
RD_8,11.01504354786257,RD,11.01504354786257,8,2022-07-08
RD_8,1.5,RD,1.5,8,2022-07-08
RD_15,1.5,RD,1.5,15,2022-07-15
RD_15,3.2664922270744707,RD,3.2664922270744707,15,2022-07-15
RD_15,6.41632856924656,RD,6.41632856924656,15,2022-07-15
NA,NA,NA,1.5,NA,NA
NA,NA,NA,1.5,NA,NA
NA,NA,NA,1.5,NA,NA
BO_9,15,BO,1.5,9,2022-07-09
BO_9,15,BO,1.5,9,2022-07-09
BO_9,15,BO,1.5,9,2022-07-09
BO_16,317.68752751930185,BO,9.530625825579055,16,2022-07-16
BO_16,182.2413628276629,BO,5.467240884829886,16,2022-07-16
BO_16,119.21719679627317,BO,3.576515903888195,16,2022-07-16
C2_9,4.176627665427735,C2,4.176627665427735,9,2022-07-09
C2_9,1.5,C2,1.5,9,2022-07-09
C2_9,1.5,C2,1.5,9,2022-07-09
C2_16,8.058455902840263,C2,8.058455902840263,16,2022-07-16
C2_16,3.6720894180285244,C2,3.6720894180285244,16,2022-07-16
C2_16,1.5,C2,1.5,16,2022-07-16
RD_9,1.5,RD,1.5,9,2022-07-09
RD_9,7.90978558052711,RD,7.90978558052711,9,2022-07-09
RD_9,1.5,RD,1.5,9,2022-07-09
RD_16,1.5,RD,1.5,16,2022-07-16
RD_16,1.5,RD,1.5,16,2022-07-16
RD_16,4.544589706392738,RD,4.544589706392738,16,2022-07-16
BO_11,15,BO,1.5,11,2022-07-11
BO_11,15,BO,1.5,11,2022-07-11
BO_11,15,BO,1.5,11,2022-07-11
BO_17,50,BO,1.5,17,2022-07-17
BO_17,278.11333240359176,BO,8.343399972107752,17,2022-07-17
BO_17,118.63732396149352,BO,3.5591197188448054,17,2022-07-17
C2_11,5.803035380622278,C2,5.803035380622278,11,2022-07-11
C2_11,1.5,C2,1.5,11,2022-07-11
C2_11,6.920561235961588,C2,6.920561235961588,11,2022-07-11
C2_17,1.5,C2,1.5,17,2022-07-17
C2_17,6.38735091022716,C2,6.38735091022716,17,2022-07-17
C2_17,9.950364590754695,C2,9.950364590754695,17,2022-07-17
RD_11,1.5,RD,1.5,11,2022-07-11
RD_11,3.9450382529426045,RD,3.9450382529426045,11,2022-07-11
RD_11,1.5,RD,1.5,11,2022-07-11
RD_17,1.5,RD,1.5,17,2022-07-17
RD_17,1.5,RD,1.5,17,2022-07-17
RD_17,1.5,RD,1.5,17,2022-07-17
BO_12,30,BO,1.5,12,2022-07-12
BO_12,30,BO,1.5,12,2022-07-12
BO_12,30,BO,1.5,12,2022-07-12
BO_18,130.80069311098597,BO,3.924020793329579,18,2022-07-18
BO_18,134.48382242848632,BO,4.0345146728545895,18,2022-07-18
BO_18,172.86187333996588,BO,5.185856200198976,18,2022-07-18
C2_12,1.5,C2,1.5,12,2022-07-12
C2_12,1.5,C2,1.5,12,2022-07-12
C2_12,1.5,C2,1.5,12,2022-07-12
C2_18,1.5,C2,1.5,18,2022-07-18
C2_18,1.5,C2,1.5,18,2022-07-18
C2_18,7.0365459610074375,C2,7.0365459610074375,18,2022-07-18
RD_12,1.5,RD,1.5,12,2022-07-12
RD_12,1.5,RD,1.5,12,2022-07-12
RD_12,1.5,RD,1.5,12,2022-07-12
RD_18,1.5,RD,1.5,18,2022-07-18
RD_18,1.5,RD,1.5,18,2022-07-18
RD_18,1.5,RD,1.5,18,2022-07-18
BO_13,30,BO,1.5,13,2022-07-13
BO_13,30,BO,1.5,13,2022-07-13
BO_13,30,BO,1.5,13,2022-07-13
BO_19,50,BO,1.5,19,2022-07-19
BO_19,259.4159922054364,BO,7.782479766163091,19,2022-07-19
BO_19,50,BO,1.5,19,2022-07-19
C2_13,6.8370170447796195,C2,6.8370170447796195,13,2022-07-13
C2_13,1.5,C2,1.5,13,2022-07-13
C2_13,1.5,C2,1.5,13,2022-07-13
C2_19,1.5,C2,1.5,19,2022-07-19
C2_19,1.5,C2,1.5,19,2022-07-19
C2_19,1.5,C2,1.5,19,2022-07-19
RD_13,1.5,RD,1.5,13,2022-07-13
RD_13,4.009355029810228,RD,4.009355029810228,13,2022-07-13
RD_13,5.13677343829857,RD,5.13677343829857,13,2022-07-13
RD_19,7.657112731135579,RD,7.657112731135579,19,2022-07-19
RD_19,1.5,RD,1.5,19,2022-07-19
