Sample,copies_mL,site,copies_uL,day,date
BO_2,1.5,BO,1.5,2,2022-02-16
BO_2,1.5,BO,1.5,2,2022-02-16
BO_2,1.5,BO,1.5,2,2022-02-16
C2_2,1.5,C2,1.5,2,2022-02-16
C2_2,1.5,C2,1.5,2,2022-02-16
C2_2,1.5,C2,1.5,2,2022-02-16
RD_2,1.5,RD,1.5,2,2022-02-16
RD_2,1.5,RD,1.5,2,2022-02-16
RD_2,1.5,RD,1.5,2,2022-02-16
BO_6,1.5,BO,1.5,6,2022-06-14
BO_6,1.5,BO,1.5,6,2022-06-14
BO_6,1.5,BO,1.5,6,2022-06-14
C2_6,1.5,C2,1.5,6,2022-06-14
C2_6,1.5,C2,1.5,6,2022-06-14
C2_6,1.5,C2,1.5,6,2022-06-14
RD_6,1.5,RD,1.5,6,2022-06-14
RD_6,1.5,RD,1.5,6,2022-06-14
RD_6,1.5,RD,1.5,6,2022-06-14
BO_3,1.5,BO,1.5,3,2022-03-09
BO_3,1.5,BO,1.5,3,2022-03-09
BO_3,1.5,BO,1.5,3,2022-03-09
C2_3,1.5,C2,1.5,3,2022-03-09
C2_3,1.5,C2,1.5,3,2022-03-09
C2_3,1.5,C2,1.5,3,2022-03-09
RD_3,1.5,RD,1.5,3,2022-03-09
RD_3,1.5,RD,1.5,3,2022-03-09
RD_3,1.5,RD,1.5,3,2022-03-09
BO_8,5,BO,1.5,8,2022-08-09
BO_8,5,BO,1.5,8,2022-08-09
BO_8,5,BO,1.5,8,2022-08-09
C2_8,1.5,C2,1.5,8,2022-08-09
C2_8,1.5,C2,1.5,8,2022-08-09
C2_8,1.5,C2,1.5,8,2022-08-09
RD_8,3.6855854773796097,RD,3.6855854773796097,8,2022-08-09
RD_8,3.1214068648030566,RD,3.1214068648030566,8,2022-08-09
RD_8,1.5,RD,1.5,8,2022-08-09
BO_4,1.5,BO,1.5,4,2022-04-20
BO_4,1.5,BO,1.5,4,2022-04-20
BO_4,1.5,BO,1.5,4,2022-04-20
C2_4,1.5,C2,1.5,4,2022-04-20
C2_4,1.5,C2,1.5,4,2022-04-20
C2_4,1.5,C2,1.5,4,2022-04-20
RD_4,1.5,RD,1.5,4,2022-04-20
RD_4,1.5,RD,1.5,4,2022-04-20
RD_4,1.5,RD,1.5,4,2022-04-20
BO_9,3.3333333333333335,BO,1.5,9,2022-09-13
BO_9,3.3333333333333335,BO,1.5,9,2022-09-13
BO_9,3.3333333333333335,BO,1.5,9,2022-09-13
C2_9,1.5,C2,1.5,9,2022-09-13
C2_9,1.5,C2,1.5,9,2022-09-13
C2_9,1.5,C2,1.5,9,2022-09-13
RD_9,1.5,RD,1.5,9,2022-09-13
RD_9,1.5,RD,1.5,9,2022-09-13
RD_9,1.5,RD,1.5,9,2022-09-13
BO_5_11,1.5,BO,1.5,5_11,2022-05-11
BO_5_11,1.5,BO,1.5,5_11,2022-05-11
BO_5_11,1.5,BO,1.5,5_11,2022-05-11
C2_5_11,1.5,C2,1.5,5_11,2022-05-11
C2_5_11,1.5,C2,1.5,5_11,2022-05-11
C2_5_11,1.5,C2,1.5,5_11,2022-05-11
RD_5_11,1.5,RD,1.5,5_11,2022-05-11
RD_5_11,1.5,RD,1.5,5_11,2022-05-11
RD_5_11,1.5,RD,1.5,5_11,2022-05-11
BO_10,2.5,BO,1.5,10,2022-10-18
BO_10,2.5,BO,1.5,10,2022-10-18
BO_10,2.5,BO,1.5,10,2022-10-18
C2_10,1.5,C2,1.5,10,2022-10-18
C2_10,1.5,C2,1.5,10,2022-10-18
C2_10,1.5,C2,1.5,10,2022-10-18
RD_10,1.5,RD,1.5,10,2022-10-18
RD_10,1.5,RD,1.5,10,2022-10-18
RD_10,1.5,RD,1.5,10,2022-10-18
BO_5_20,1.5,BO,1.5,5_20,2022-05-20
BO_5_20,1.5,BO,1.5,5_20,2022-05-20
BO_5_20,1.5,BO,1.5,5_20,2022-05-20
C2_5_20,1.5,C2,1.5,5_20,2022-05-20
C2_5_20,1.5,C2,1.5,5_20,2022-05-20
C2_5_20,1.5,C2,1.5,5_20,2022-05-20
RD_5_20,1.5,RD,1.5,5_20,2022-05-20
RD_5_20,1.5,RD,1.5,5_20,2022-05-20
RD_5_20,1.5,RD,1.5,5_20,2022-05-20
BO_11,5,BO,1.5,11,2022-11-15
BO_11,5,BO,1.5,11,2022-11-15
BO_11,5,BO,1.5,11,2022-11-15
C2_11,1.5,C2,1.5,11,2022-11-15
C2_11,1.5,C2,1.5,11,2022-11-15
C2_11,1.5,C2,1.5,11,2022-11-15
RD_11,1.5,RD,1.5,11,2022-11-15
RD_11,1.5,RD,1.5,11,2022-11-15
RD_11,1.5,RD,1.5,11,2022-11-15
BO_5_24,1.5,BO,1.5,5_24,2022-05-24
BO_5_24,1.5,BO,1.5,5_24,2022-05-24
BO_5_24,1.5,BO,1.5,5_24,2022-05-24
C2_5_24,1.5,C2,1.5,5_24,2022-05-24
C2_5_24,1.5,C2,1.5,5_24,2022-05-24
C2_5_24,1.5,C2,1.5,5_24,2022-05-24
RD_5_24,1.5,RD,1.5,5_24,2022-05-24
RD_5_24,1.5,RD,1.5,5_24,2022-05-24
RD_5_24,1.5,RD,1.5,5_24,2022-05-24
BO_12,2.5,BO,1.5,12,2022-12-14
BO_12,2.5,BO,1.5,12,2022-12-14
BO_12,2.5,BO,1.5,12,2022-12-14
C2_12,1.5,C2,1.5,12,2022-12-14
C2_12,1.5,C2,1.5,12,2022-12-14
C2_12,1.5,C2,1.5,12,2022-12-14
RD_12,1.5,RD,1.5,12,2022-12-14
RD_12,1.5,RD,1.5,12,2022-12-14
RD_12,1.5,RD,1.5,12,2022-12-14
NTC,NA,NT,1.5,,NA
NTC,NA,NT,1.5,,NA
NTC,NA,NT,1.5,,NA
E3,NA,E3,3118.4217630059215,,NA
E3,NA,E3,3004.2896587296696,,NA
NA,NA,NA,3562.966105007136,NA,NA
