"","date","Dust","SUM","...1","Type","copies_mL","Temperature","Salinity","DO_mgL","pH","Chl_a","DOC","TDN","TOC","TN","Ammonium","NO2NO3","Nitrite","Orthophosphate","Silicate","DIN","DON","DIN_DIP","cfu_tot","cfu_gre","cfu_yel","hf_copies_mL","type","Vv","Vp","Va","Vc","tot_bacteria","tss","VAI"
"1",2022-02-16,0.02,0.07,1,"Monthly",2570.63951250451,19.9,23.88,7.81,8.02,27.33,2032.8,104.05,2510.15,143.9,7.598,62.269,2.381,12.157,61.281,69.867,34.183,5.74705930739492,123.333333333333,23.3333333333333,100,6.06499343364126,"Monthly",0.455,0.336,3.54166666666667,7.66628090218725,3488238.18252788,NA,0.000286589702721301
"2",2022-03-09,0.02,0.07,4,"Monthly",1203.54468726857,12.7,29.06,10.25,8.27,8.68,348.2,43.3,434.35,57.95,5.4415,7.1065,0.7305,2.253,47.282,12.548,30.752,5.57022759263142,0,0,0,4.01944248815091,"Monthly",0.455,0.336,3.54166666666667,5.7,849981.609303661,76.8,0.000550653274184886
"3",2022-04-20,0.01,0.04,7,"Monthly",6672.14305151421,24.1,31.58,6.43,8.04,21.53,294.25,27.65,500.75,64,3.673,0.3935,0.3395,0.7275,36.204,4.0665,23.5835,5.59084543774308,133.333333333333,100,33.3333333333333,72947.9775125654,"Monthly",0.455,0.336,3.54166666666667,5.7,2475040.60791463,216.4,0.0010483554449627
"4",2022-05-11,0.02,0.08,10,"Monthly",7143.42921437924,28.3,32.18,7.03,8.35,35.37,977.35,33.7,1189.45,82.9,0.5665,0.226,0.0395,1.2055,59.2085,0.7925,32.9075,0.65777215451353,146.666666666667,60,86.6666666666667,1427457.14237333,"Monthly",0.455,0.336,3.54166666666667,5.7,21422621.7725297,213,0.000129676016294075
"5",2022-05-20,0.02,0.1,13,"Monthly",1379.6875285641,26.5,22.38,7.36,8.41,15.28,872.1,143,1445.3,256.9,1.033,85.437,0.221,25.119,194.5035,86.47,56.53,3.44253428439166,550,160,390,6150507.12958512,"Monthly",0.455,0.336,3.54166666666667,34.4037122131012,4023608.08467978,546,0.000133349257359356
"6",2022-05-24,0.04,0.24,16,"Monthly",2077.6014406434,24.7,23.66,8.04,8.7,47.035,581.4,50.45,974.6,129.3,0.9495,0.168,0.023,3.6505,121.8255,1.1175,49.3325,0.306215263872987,53.3333333333333,20,33.3333333333333,11612477.6872134,"Monthly",0.455,0.336,3.54166666666667,93.4747619903548,12213702.825041,109.8,6.61516108079249e-05
"7",2022-06-14,0.15,0.64,19,"Monthly",9174.25046808863,27.8,30.41,6.43,8.32,29.235,742.75,78.9,1388.75,185.3,9.657,14.0575,0.646,5.605,110.1795,23.7145,55.1855,4.23122997841497,746.666666666667,186.666666666667,560,0,"Monthly",1.41762329313791,0.336,3.54166666666667,38.1277120463659,21113870.0907592,228.4,0.000168977267340715
"8",2022-07-18,0.13,0.32,67,"Daily",12553.5210897053,29,23.87,9.07,9.18,96.395,1198.95,98.3,2076.6,312.85,0.692,0.168,0.065,3.466,70.9175,0.86,97.44,0.248034251903476,340,90,250,7466523.02727805,"Daily",146.048796293146,11.2,11.8055555555556,1692.6028882046,25928651.0356222,242.5,0.000188283025658052
"9",2022-08-09,0.04,0.15,22,"Monthly",1995.78010539855,29.6,37.06,5.46,8.58,28.49,605.9,52.2,931.95,93.35,1.292,0.17,0.1605,4.948,75.25,1.462,50.738,0.295515029200935,6.66666666666667,6.66666666666667,0,21.9201343656532,"Monthly",1.51666666666667,1.12,11.8055555555556,19,40272463.0710412,47.0000000000004,1.92721440028606e-05
"10",2022-09-13,0.02,0.06,25,"Monthly",2749.93031945169,30.8,28.73,6.27,8.35,19.175,518.1,52,877.15,115.6,1.754,6.7815,0.186,4.9175,152.715,8.5355,43.4645,1.73580211247383,0,0,0,0,"Monthly",1.01111111111111,0.746666666666667,7.87037037037037,30.8870921071029,41894100.3720602,77.7500000000003,2.55266812500083e-05
"11",2022-10-18,0.01,0.06,28,"Monthly",22100.3337824706,18.8,32.65,6.82,8.35,16.67,455.25,105.35,968.55,184.5,19.275,35.546,1.187,10.4435,132.4615,54.821,50.529,5.25136556199493,373.333333333333,126.666666666667,246.666666666667,7219769.18332608,"Monthly",0.758333333333334,0.56,5.90277777777778,961.785464220867,21293812.9415817,268.999999999999,0.000403618378367334
"12",2022-11-15,0.02,0.13,31,"Monthly",10203.4124876404,15.7,31.16,8.61,8.31,29.405,398.15,65.6,578.4,94.65,2.6395,29.423,0.967,5.417,79.809,32.0625,33.5375,5.91888456738054,153.333333333333,90,63.3333333333333,78829.5364332973,"Monthly",1.51666666666667,1.12,72.8974418271284,19,6913034.96140873,114.25,0.000573987223751129
"13",2022-12-14,0.02,0.15,34,"Monthly",5510.61949181175,20.5,31.99,7.45,8.23,15.905,291.9,34.85,456.75,56.75,2.6765,7.414,0.5715,2.0865,55.7895,10.0905,24.7595,4.83658604329319,93.3333333333333,40,53.3333333333333,19557237.5024448,"Monthly",0.758333333333334,0.56,5.90277777777778,9.5,7129235.90377003,118.25,0.000300595845078835
