"","date","Dust","SUM","...1","Type","copies_mL","Temperature","Salinity","DO_mgL","pH","Chl_a","DOC","TDN","TOC","TN","Ammonium","NO2NO3","Nitrite","Orthophosphate","Silicate","DIN","DON","DIN_DIP","cfu_tot","cfu_gre","cfu_yel","hf_copies_mL","type","Vv","Vp","Va","Vc","tot_bacteria","tss","VAI"
"1",2022-02-16,0.02,0.07,2,"Monthly",40.686073732383,16.3,29.12,7.92,8.12,7.59,1717.05,29.15,2075.3,35.05,0.3825,0.189,0.13,0.1235,30.3075,0.5715,28.5785,4.66306216931217,0,0,0,NA,NA,0.458333333333333,0.333333333333333,2.51152166113749,5.7,54015.5618676943,NA,0.000292922288687714
"2",2022-03-09,0.02,0.07,5,"Monthly",519.39589198143,16,29.4,4.75,8.17,13.54,315.25,34.25,342.15,39.75,2.3265,1.5565,0.2545,0.299,4.6475,3.883,30.367,12.9868892070879,0,0,0,NA,NA,0.458333333333333,0.333333333333333,2.53350157381217,5.7,148423.173534507,27.7272727272729,0.00136088783520824
"3",2022-04-20,0.01,0.04,8,"Monthly",114.221257356361,25.1,32.46,4.4,8.04,8.1,345.7,38.2,415.05,49.05,2.2835,1.2265,0.285,0.398,61.411,3.51,34.69,8.83420049437662,100,100,0,NA,NA,0.458333333333333,0.333333333333333,2.39270046383598,5.7,61343.146088104,11.9411764705882,0.000724113135589912
"4",2022-05-11,0.02,0.08,11,"Monthly",352.539441385157,29.1,35.46,4.62,8.17,10.32,690.4,40.85,745.15,48,0.3505,0.262,0.1755,0.0595,27.7145,0.6125,40.2375,10.3867521367521,33.3333333333333,33.3333333333333,0,NA,NA,0.458333333333333,0.333333333333333,3.54166666666667,5.7,70997.020486037,40,0.00193104824274628
"5",2022-05-20,0.02,0.1,14,"Monthly",811.048036141769,28.5,36.76,4.57,8.25,11.475,692.05,47.35,737.5,60.9,0.386,0.2355,0.1755,0.057,32.4075,0.6215,46.7285,11.7708811005568,690,306.666666666667,383.333333333333,NA,NA,0.458333333333333,0.333333333333333,2.55821898393485,5.7,272886.688072061,63.6666666666668,0.00115581881930202
"6",2022-05-24,0.04,0.24,17,"Monthly",626.389293519317,27.4,36.68,4.28,8.21,10.95,607.95,58.9,NA,NA,1.8945,0.648,0.2105,0.2235,58.931,2.5425,56.3575,11.383007491687,213.333333333333,120,93.3333333333333,NA,NA,0.458333333333333,0.333333333333333,2.62287420063877,5.7,420678.167787313,13.5384615384614,0.00057905509489568
"7",2022-06-14,0.15,0.64,20,"Monthly",1717.3539804878,30.3,37.7,3.81,8.16,9.125,649.6,50.15,703.75,64.6,0.763,0.111,0.111,0.054,123.5685,0.874,49.276,16.6095238095238,40,6.66666666666667,33.3333333333333,NA,NA,0.458333333333333,0.333333333333333,2.37392004956572,5.7,726892.825156325,24.9999999999998,0.000918787279482613
"8",2022-07-18,0.13,0.32,68,"Daily",7196.14047517868,31.3,43.2,2.82,7.99,12.505,654.05,62.75,788.05,84.3,1.1975,0.166,0.1445,0.0235,149.239,1.3635,61.3865,62.7705882352941,413.333333333333,153.333333333333,260,NA,NA,2.77273106933002,0.130032112827116,5.09296825233786,3.89510232872176,78249.0840562306,51.8000000000001,0.0357639850668357
"9",2022-08-09,0.04,0.15,23,"Monthly",4950.34470271618,31,45.55,3.45,8.06,12.285,648.05,55.55,700.05,61.65,1.33,0.1425,0.1335,0.054,158.6455,1.4725,54.0775,28.1285714285714,90,36.6666666666667,53.3333333333333,NA,NA,0.458333333333333,0.333333333333333,2.3728315447196,5.7,4549483.16058655,27,0.000423154451418629
"10",2022-09-13,0.02,0.06,26,"Monthly",2488.35552417835,30.6,37.29,5.72,8.15,12.775,521.65,55.75,579.75,66.6,7.0085,1.4835,0.3165,0.404,120.466,8.492,47.258,21.0205740893913,20,20,0,NA,NA,0.458333333333333,0.333333333333333,2.44212340878736,5.7,1508466.0009217,20.9166666666666,0.00064150853540416
"11",2022-10-18,0.01,0.06,29,"Monthly",4225.14863713546,25.7,36.9,2.14,7.94,5.46,506.55,65.1,533.45,69.5,13.22,1.681,0.4135,0.9075,107.305,14.901,50.199,16.4201035997639,83.3333333333333,40,43.3333333333333,NA,NA,0.458333333333333,6.37770689770088,3.54166666666667,5.7,1190717.8682253,13.4166666666667,0.00137993508179648
"12",2022-11-15,0.02,0.13,32,"Monthly",683.306020110939,19.3,34.3,4.75,8.02,3.735,402.5,53.2,445.6,61.8,7.7155,3.5225,0.4415,0.8215,69.3015,11.238,41.962,13.6911237768108,73.3333333333333,56.6666666666667,16.6666666666667,NA,NA,0.458333333333333,0.333333333333333,36.8259929763548,5.7,159121.844781292,12.7857142857141,0.00166997887246261
"13",2022-12-14,0.02,0.15,35,"Monthly",6689.36228925086,22.4,32.8,4.35,8.1,12.145,346.95,33.15,391.5,38.5,2.1045,0.466,0.137,0.23,40.7415,2.5705,30.5795,11.5798997493734,143.333333333333,90,53.3333333333333,NA,NA,0.458333333333333,0.333333333333333,0.0548039453497355,5.7,4000805.32232669,40.7500000000001,0.00065022375708327
