row,column,cor,p
Total Vibrio,Temperature,-0.17637370085484386,0.5834615738573032
Total Vibrio,Salinity,-0.5314685314685315,0.07536233505348378
Temperature,Salinity,0.747824491624538,0.00516364866450747
Total Vibrio,Dissolved Oxygen (mg/L),0.11888111888111888,0.712884219214772
Temperature,Dissolved Oxygen (mg/L),-0.8077915499151849,0.0014813947090348556
Salinity,Dissolved Oxygen (mg/L),-0.8251748251748252,9.513628555555265e-4
Total Vibrio,pH,0.11888111888111888,0.712884219214772
Temperature,pH,-0.2821979213677502,0.37418039261841374
Salinity,pH,-0.3146853146853147,0.31913878550330477
Dissolved Oxygen (mg/L),pH,0.23776223776223776,0.4568008526399234
Total Vibrio,Chlorophyl a,0.3776223776223776,0.22620604493502672
Temperature,Chlorophyl a,-0.18342864888903762,0.5682408346581922
Salinity,Chlorophyl a,-0.5594405594405595,0.058589475388567624
Dissolved Oxygen (mg/L),Chlorophyl a,0.36363636363636365,0.24526500073077728
pH,Chlorophyl a,0.27972027972027974,0.37856866966230296
Total Vibrio,DOC,-0.1258741258741259,0.6966831093957659
Temperature,DOC,0.5185386805132409,0.08412390028371286
Salinity,DOC,0.5104895104895105,0.08991373630263921
Dissolved Oxygen (mg/L),DOC,-0.35664335664335667,0.25513775175895725
pH,DOC,0.16783216783216784,0.6020994277865379
Chlorophyl a,DOC,-0.16783216783216784,0.6020994277865379
Total Vibrio,TDN,0.22377622377622378,0.48445166145539886
Temperature,TDN,-0.4903188883764659,0.10558871538848247
Salinity,TDN,-0.7272727272727273,0.007355028857805035
Dissolved Oxygen (mg/L),TDN,0.8041958041958042,0.0016147689860699366
pH,TDN,0.1048951048951049,0.7456094809807079
Chlorophyl a,TDN,0.5804195804195804,0.047855976842060555
DOC,TDN,-0.3356643356643357,0.28612290291498743
Total Vibrio,TOC,0.5174825174825175,0.08486877113393487
Temperature,TOC,-0.5397035246158223,0.07012028699393458
Salinity,TOC,-0.7622377622377622,0.003950448972542819
Dissolved Oxygen (mg/L),TOC,0.6783216783216783,0.015317329053281759
pH,TOC,0.5454545454545454,0.06661188226688908
Chlorophyl a,TOC,0.7132867132867133,0.009201779777634922
DOC,TOC,-0.06993006993006994,0.8290236405313092
TDN,TOC,0.7482517482517482,0.0051240816987530025
Total Vibrio,TN,0.3986013986013986,0.19933549461780897
Temperature,TN,-0.6913849073509879,0.012760800891228552
Salinity,TN,-0.8041958041958042,0.0016147689860699366
Dissolved Oxygen (mg/L),TN,0.8251748251748252,9.513628555555265e-4
pH,TN,0.44755244755244755,0.1445863013033475
Chlorophyl a,TN,0.5384615384615384,0.07089431754922315
DOC,TN,-0.11188811188811189,0.7291949907510658
TDN,TN,0.8181818181818182,0.0011431050868040415
TOC,TN,0.9440559440559441,3.927261081004829e-6
Total Vibrio,Ammonium,0.25218952860180466,0.42908344267490994
Temperature,Ammonium,-0.14487994310709684,0.6532513601580692
Salinity,Ammonium,-0.23817899923503771,0.4559885528370966
Dissolved Oxygen (mg/L),Ammonium,0.26620005796857155,0.40297832764888986
pH,Ammonium,-0.4483369397365416,0.14379811749123728
Chlorophyl a,Ammonium,0.3502632341691731,0.2643443955263083
DOC,Ammonium,-0.24868689626011292,0.43573575611890636
TDN,Ammonium,0.48686589549515064,0.1084428219519149
TOC,Ammonium,0.24868689626011292,0.43573575611890636
TN,Ammonium,0.27670795499364675,0.38393960145349704
Total Vibrio,Nitrate+Nitrite,-0.04195804195804196,0.8969858708195542
Temperature,Nitrate+Nitrite,-0.663165115214213,0.018734875391236194
Salinity,Nitrate+Nitrite,-0.48951048951048953,0.10625237175934599
Dissolved Oxygen (mg/L),Nitrate+Nitrite,0.6013986013986014,0.03858845292201929
pH,Nitrate+Nitrite,-0.21678321678321677,0.49855598552418856
Chlorophyl a,Nitrate+Nitrite,0.2727272727272727,0.3910967709418962
DOC,Nitrate+Nitrite,-0.5664335664335665,0.05484211977540765
TDN,Nitrate+Nitrite,0.43356643356643354,0.15910576941219556
TOC,Nitrate+Nitrite,0.2517482517482518,0.42991878503288405
TN,Nitrate+Nitrite,0.35664335664335667,0.25513775175895725
Ammonium,Nitrate+Nitrite,0.09457107322567675,0.7700195826820102
Total Vibrio,Nitrite,-0.04895104895104895,0.8799185788786748
Temperature,Nitrite,-0.30689023948742833,0.3319166658812831
Salinity,Nitrite,-0.027972027972027972,0.9312343512018808
Dissolved Oxygen (mg/L),Nitrite,0.13286713286713286,0.6805975082860818
pH,Nitrite,-0.3916083916083916,0.20806346369535333
Chlorophyl a,Nitrite,0.16783216783216784,0.6020994277865379
DOC,Nitrite,-0.20279720279720279,0.5273023541661082
TDN,Nitrite,0.006993006993006993,0.9827917689028476
TOC,Nitrite,0.006993006993006993,0.9827917689028476
TN,Nitrite,0.027972027972027972,0.9312343512018808
Ammonium,Nitrite,0.06304738215045116,0.845663716050892
Nitrate+Nitrite,Nitrite,0.7972027972027972,0.0019003677255282625
Total Vibrio,Orthophosphate,0.20279720279720279,0.5273023541661082
Temperature,Orthophosphate,-0.10229674649580944,0.751733751358777
Salinity,Orthophosphate,-0.36363636363636365,0.24526500073077728
Dissolved Oxygen (mg/L),Orthophosphate,0.24475524475524477,0.4432619364501833
pH,Orthophosphate,0.06293706293706294,0.8459309212287789
Chlorophyl a,Orthophosphate,0.34265734265734266,0.2755674509567805
DOC,Orthophosphate,0.04195804195804196,0.8969858708195542
TDN,Orthophosphate,0.16083916083916083,0.6175234895401425
TOC,Orthophosphate,0.32167832167832167,0.3079098761806527
TN,Orthophosphate,0.2937062937062937,0.35414764123292164
Ammonium,Orthophosphate,-0.29422111670210543,0.35326505938428165
Nitrate+Nitrite,Orthophosphate,0.3706293706293706,0.2356210035126458
Nitrite,Orthophosphate,0.35664335664335667,0.25513775175895725
Total Vibrio,Silicate,-0.21678321678321677,0.49855598552418856
Temperature,Silicate,-0.25750560324807203,0.41908267148965317
Salinity,Silicate,-0.013986013986013986,0.9655902689187794
Dissolved Oxygen (mg/L),Silicate,0.32167832167832167,0.3079098761806527
pH,Silicate,-0.38461538461538464,0.21702022575997715
Chlorophyl a,Silicate,-0.11188811188811189,0.7291949907510658
DOC,Silicate,-0.4125874125874126,0.18256397857316675
TDN,Silicate,0.23076923076923078,0.4705319953815419
TOC,Silicate,-0.055944055944055944,0.8628980736949712
TN,Silicate,0.03496503496503497,0.9140933424107598
Ammonium,Silicate,0.3047290137271806,0.3355078216764542
Nitrate+Nitrite,Silicate,0.4755244755244755,0.1181759570130323
Nitrite,Silicate,0.43356643356643354,0.15910576941219556
Orthophosphate,Silicate,0.06993006993006994,0.8290236405313092
Total Vibrio,DIN,0.46153846153846156,0.13094806950717297
Temperature,DIN,-0.4515166741884003,0.14063176954786538
Salinity,DIN,-0.5944055944055944,0.041521494410318605
Dissolved Oxygen (mg/L),DIN,0.46853146853146854,0.12445479118883407
pH,DIN,-0.26573426573426573,0.40383308831471165
Chlorophyl a,DIN,0.6853146853146853,0.01390596881436279
DOC,DIN,-0.5734265734265734,0.05126558978649154
TDN,DIN,0.6013986013986014,0.03858845292201929
TOC,DIN,0.48951048951048953,0.10625237175934599
TN,DIN,0.44755244755244755,0.1445863013033475
Ammonium,DIN,0.6374790861878951,0.025754387074544915
Nitrate+Nitrite,DIN,0.6643356643356644,0.018452718028445503
Nitrite,DIN,0.5524475524475524,0.0625114832796152
Orthophosphate,DIN,0.1958041958041958,0.5419358857313175
Silicate,DIN,0.35664335664335667,0.25513775175895725
Total Vibrio,DON,-0.1958041958041958,0.5419358857313175
Temperature,DON,-0.007054948034193755,0.9826393659516734
Salinity,DON,-0.17482517482517482,0.5868236643627045
Dissolved Oxygen (mg/L),DON,0.4405594405594406,0.15173503571673042
pH,DON,-0.027972027972027972,0.9312343512018808
Chlorophyl a,DON,0.23076923076923078,0.4705319953815419
DOC,DON,0.2097902097902098,0.5128409431818262
TDN,DON,0.6713286713286714,0.016831456186893412
TOC,DON,0.34965034965034963,0.2652387868927899
TN,DON,0.45454545454545453,0.13765791634772961
Ammonium,DON,0.5113843218869928,0.089257172215194025
Nitrate+Nitrite,DON,-0.0979020979020979,0.7621216559962991
Nitrite,DON,-0.34265734265734266,0.2755674509567805
Orthophosphate,DON,-0.20279720279720279,0.5273023541661082
Silicate,DON,-0.013986013986013986,0.9655902689187794
DIN,DON,0.06293706293706294,0.8459309212287789
Total Vibrio,DIN:DIP,0.34265734265734266,0.2755674509567805
Temperature,DIN:DIP,-0.4656265702567878,0.1271259386556327
Salinity,DIN:DIP,-0.45454545454545453,0.13765791634772961
Dissolved Oxygen (mg/L),DIN:DIP,0.3776223776223776,0.22620604493502672
pH,DIN:DIP,-0.16783216783216784,0.6020994277865379
Chlorophyl a,DIN:DIP,0.40559440559440557,0.1908358740045002
DOC,DIN:DIP,-0.7062937062937062,0.010245193941127884
TDN,DIN:DIP,0.5734265734265734,0.05126558978649154
TOC,DIN:DIP,0.3706293706293706,0.2356210035126458
TN,DIN:DIP,0.36363636363636365,0.24526500073077728
Ammonium,DIN:DIP,0.6935212036549627,0.012374896241793998
Nitrate+Nitrite,DIN:DIP,0.4195804195804196,0.17451900813005938
Nitrite,DIN:DIP,0.2097902097902098,0.5128409431818262
Orthophosphate,DIN:DIP,-0.34965034965034963,0.2652387868927899
Silicate,DIN:DIP,0.36363636363636365,0.24526500073077728
DIN,DIN:DIP,0.7902097902097902,0.002223135409991084
DON,DIN:DIP,0.16083916083916083,0.6175234895401425
Total Vibrio,Total CFU,0.006993006993006993,0.9827917689028476
Temperature,Total CFU,-0.6384727970945347,0.02545201533585284
Salinity,Total CFU,-0.5524475524475524,0.0625114832796152
Dissolved Oxygen (mg/L),Total CFU,0.6013986013986014,0.03858845292201929
pH,Total CFU,-0.08391608391608392,0.7954145018538976
Chlorophyl a,Total CFU,0.03496503496503497,0.9140933424107598
DOC,Total CFU,-0.40559440559440557,0.1908358740045002
TDN,Total CFU,0.3776223776223776,0.22620604493502672
TOC,Total CFU,0.2097902097902098,0.5128409431818262
TN,Total CFU,0.3986013986013986,0.19933549461780897
Ammonium,Total CFU,0.4833632631534589,0.11138981647538282
Nitrate+Nitrite,Total CFU,0.2937062937062937,0.35414764123292164
Nitrite,Total CFU,-0.06993006993006994,0.8290236405313092
Orthophosphate,Total CFU,-0.1958041958041958,0.5419358857313175
Silicate,Total CFU,0.013986013986013986,0.9655902689187794
DIN,Total CFU,0.26573426573426573,0.40383308831471165
DON,Total CFU,0.3776223776223776,0.22620604493502672
DIN:DIP,Total CFU,0.36363636363636365,0.24526500073077728
Total Vibrio,HF183,0.3898998475920783,0.21023066184714256
Temperature,HF183,-0.3225497981288134,0.306526123730237
Salinity,HF183,-0.701819725665741,0.01095737916602113
Dissolved Oxygen (mg/L),HF183,0.6784257348102163,0.015295585495127106
pH,HF183,0.3665058567365536,0.2412800118143723
Chlorophyl a,HF183,0.5614557805325928,0.05749182876683778
DOC,HF183,-0.20274792074788073,0.5274048844928634
TDN,HF183,0.8265876768952061,9.158422607740135e-4
TOC,HF183,0.7642037012804735,0.0038034609520978258
TN,HF183,0.7486077073767904,0.005091292485349452
Ammonium,HF183,0.2577849670652873,0.4185603362988495
Nitrate+Nitrite,HF183,0.12476795122946506,0.6992383076186353
Nitrite,HF183,-0.25733389941077167,0.4194038712912993
Orthophosphate,HF183,0.3275158719773458,0.29870715021716054
Silicate,HF183,0.2105459176997223,0.5112886419546152
DIN,HF183,0.3898998475920783,0.21023066184714256
DON,HF183,0.4600818201586524,0.13232780371073738
DIN:DIP,HF183,0.3275158719773458,0.29870715021716054
Total CFU,HF183,0.0935759634220988,0.7723829395038897
Total Vibrio,Vv,0.4658501014450002,0.12691907673410685
Temperature,Vv,-0.6148563439179232,0.033364024010887894
Salinity,Vv,-0.8581449237144742,3.547590073491591e-4
Dissolved Oxygen (mg/L),Vv,0.7600712181471057,0.0041173803556808775
pH,Vv,0.010507897025075194,0.9741445288204629
Chlorophyl a,Vv,0.560421174670677,0.05805354965814091
DOC,Vv,-0.48686589549515064,0.1084428219519149
TDN,Vv,0.795097541564023,0.001993485774135273
TOC,Vv,0.6409817185295867,0.02470003826132139
TN,Vv,0.7145369977051131,0.00902392513944239
Ammonium,Vv,0.6666666666666666,0.017900123202763796
Nitrate+Nitrite,Vv,0.3677763958776318,0.2395278689958742
Nitrite,Vv,-0.024518426391842117,0.9397100223231516
Orthophosphate,Vv,0.1120842349341354,0.7287361038413871
Silicate,Vv,0.14360792600936098,0.6561292074448724
DIN,Vv,0.7075317330217297,0.010054355455185515
DON,Vv,0.4378290427114664,0.15458641247553007
DIN:DIP,Vv,0.6374790861878951,0.025754387074544915
Total CFU,Vv,0.6725054096048124,0.016569290713166707
HF183,Vv,0.679614913172121,0.01504870709038375
Total Vibrio,Vc,0.49473988760486526,0.10200808396231276
Temperature,Vc,-0.6672660434438399,0.017760015944947583
Salinity,Vc,-0.6912323252351663,0.012788700217859494
Dissolved Oxygen (mg/L),Vc,0.6596531834731537,0.019600372359515728
pH,Vc,0.18947485057207605,0.5553252966401301
Chlorophyl a,Vc,0.4280728105517274,0.165052806369413
DOC,Vc,-0.1263165670480507,0.6956619043380248
