row,column,cor,p
Total Vibrio,Temperature,0.07144497649540142,0.8253695092405586
Total Vibrio,Salinity,0.38461538461538464,0.21702022575997715
Temperature,Salinity,0.5751320607879815,0.050418798314405766
Total Vibrio,Dissolved Oxygen,-0.23076923076923078,0.4705319953815419
Temperature,Dissolved Oxygen,-0.4858258401687297,0.10931242262657204
Salinity,Dissolved Oxygen,-0.3006993006993007,0.34225952894002454
Total Vibrio,pH,-0.2697026903102633,0.39658003314726264
Temperature,pH,-0.0017892552200680198,0.99559677352741
Salinity,pH,-0.15061319069274443,0.6403345250750128
Dissolved Oxygen,pH,0.29772374904379717,0.34729146092788765
Total Vibrio,Chlorophyll a,0.24475524475524477,0.4432619364501833
Temperature,Chlorophyll a,0.6501492861081529,0.022088911774804876
Salinity,Chlorophyll a,0.6153846153846154,0.03316990109010587
Dissolved Oxygen,Chlorophyll a,-0.04895104895104895,0.8799185788786748
pH,Chlorophyll a,0.1120842349341354,0.7287361038413871
Total Vibrio,DOC,-0.6013986013986014,0.03858845292201929
Temperature,DOC,-0.0035722488247700713,0.9912090684829398
Salinity,DOC,-0.15384615384615385,0.6330906812462618
Dissolved Oxygen,DOC,0.46153846153846156,0.13094806950717297
pH,DOC,0.34676060182748136,0.2694793884630331
Chlorophyll a,DOC,0.1048951048951049,0.7456094809807079
Total Vibrio,TDN,0.5174825174825175,0.08486877113393487
Temperature,TDN,0.2607741642082152,0.4129915534519055
Salinity,TDN,0.1258741258741259,0.6966831093957659
Dissolved Oxygen,TDN,-0.45454545454545453,0.13765791634772961
pH,TDN,-0.05954474980875943,0.8541546246233473
Chlorophyll a,TDN,0.2867132867132867,0.36625146058358227
DOC,TDN,-0.4965034965034965,0.10060263183225482
Total Vibrio,TOC,0.2867132867132867,0.36625146058358227
Temperature,TOC,0.06787272767063135,0.8339911626717846
Salinity,TOC,-0.027972027972027972,0.9312343512018808
Dissolved Oxygen,TOC,0.23076923076923078,0.4705319953815419
pH,TOC,0.4308237780280829,0.16205750617523718
Chlorophyll a,TOC,0.34965034965034963,0.2652387868927899
DOC,TOC,0.32167832167832167,0.3079098761806527
TDN,TOC,0.055944055944055944,0.8628980736949712
Total Vibrio,TN,0.017513161708458656,0.9569188239005484
Temperature,TN,0.32385519483231157,0.30445987189776424
Salinity,TN,0.045534220441992505,0.8882523316528932
