row,column,cor,p
Total Vibrio,Temperature,-0.7240873929099331,0.007748709308522006
Total Vibrio,Salinity,0.1888111888111888,0.5567370561768314
Temperature,Salinity,-0.017574936721114882,0.9567669865377797
Total Vibrio,Dissolved Oxygen,-0.010526380587337559,0.9740990620508823
Temperature,Dissolved Oxygen,-0.38977132930151953,0.2103942330060642
Salinity,Dissolved Oxygen,-0.357896939969477,0.25335112911615587
Total Vibrio,pH,-0.5104895104895105,0.08991373630263921
Temperature,pH,0.43585843068364905,0.15666541890738928
Salinity,pH,-0.4825174825174825,0.11210929146889193
Dissolved Oxygen,pH,0.38596728820237713,0.21527082976658152
Total Vibrio,Chlorophyll a,0.8391608391608392,6.428259886277488e-4
Temperature,Chlorophyll a,-0.4920982281912167,0.10413769749015911
Salinity,Chlorophyll a,0.24475524475524477,0.4432619364501833
Dissolved Oxygen,Chlorophyll a,-0.11228139293160062,0.7282748777285675
pH,Chlorophyll a,-0.34965034965034963,0.2652387868927899
Total Vibrio,DOC,-0.4755244755244755,0.1181759570130323
Temperature,DOC,0.5377930636661153,0.07131334651413912
Salinity,DOC,0,1
Dissolved Oxygen,DOC,-0.12982536057716323,0.6875797523837794
pH,DOC,0.42657342657342656,0.1666999876249451
Chlorophyll a,DOC,-0.40559440559440557,0.1908358740045002
Total Vibrio,TDN,-0.04195804195804196,0.8969858708195542
Temperature,TDN,-0.23550415206293943,0.4612138857334305
Salinity,TDN,0.14685314685314685,0.6487957097846664
Dissolved Oxygen,TDN,0.20351002468852614,0.5258202992202408
pH,TDN,-0.2867132867132867,0.36625146058358227
Chlorophyll a,TDN,-0.02097902097902098,0.9484022252365223
DOC,TDN,0.06993006993006994,0.8290236405313092
Total Vibrio,TOC,0.16083916083916083,0.6175234895401425
Temperature,TOC,-0.19332430393226369,0.5471657965713579
Salinity,TOC,0.15384615384615385,0.6330906812462618
Dissolved Oxygen,TOC,0.21052761174675116,0.5113262198542037
pH,TOC,0.1258741258741259,0.6966831093957659
Chlorophyll a,TOC,-0.027972027972027972,0.9312343512018808
DOC,TOC,0.6433566433566433,0.024003191200713703
TDN,TOC,0.0979020979020979,0.7621216559962991
Total Vibrio,TN,0.23467636689334598,0.4628366435492133
Temperature,TN,-0.41725610777500183,0.1771678469269764
Salinity,TN,0.21015794050150385,0.5120853289937533
Dissolved Oxygen,TN,0.37961394302315005,0.22356664400069381
pH,TN,-0.31173427841056406,0.32394394124995163
Chlorophyll a,TN,0.15411582303443616,0.6324877788515912
DOC,TN,-0.4728553661283837,0.12054731608984581
TDN,TN,0.704029100680038,0.010601234739609833
TOC,TN,-0.17863424942627829,0.5785671838739677
Total Vibrio,Ammonium,0.8951048951048951,8.366586429087164e-5
Temperature,Ammonium,-0.7240873929099331,0.007748709308522006
Salinity,Ammonium,-0.0979020979020979,0.7621216559962991
Dissolved Oxygen,Ammonium,0.3017562435036767,0.3404816268576307
pH,Ammonium,-0.2727272727272727,0.3910967709418962
Chlorophyll a,Ammonium,0.7062937062937062,0.010245193941127884
DOC,Ammonium,-0.4195804195804196,0.17451900813005938
TDN,Ammonium,-0.13286713286713286,0.6805975082860818
TOC,Ammonium,0.23776223776223776,0.4568008526399234
TN,Ammonium,0.14360792600936098,0.6561292074448724
Total Vibrio,Nitrate+Nitrite,0.3146853146853147,0.31913878550330477
Temperature,Nitrate+Nitrite,-0.2671390381609462,0.40125800804306966
Salinity,Nitrate+Nitrite,-0.055944055944055944,0.8628980736949712
Dissolved Oxygen,Nitrate+Nitrite,0.1438605346936133,0.6555573554233827
pH,Nitrate+Nitrite,0.26573426573426573,0.40383308831471165
Chlorophyll a,Nitrate+Nitrite,0.3776223776223776,0.22620604493502672
DOC,Nitrate+Nitrite,0.16083916083916083,0.6175234895401425
TDN,Nitrate+Nitrite,0.055944055944055944,0.8628980736949712
TOC,Nitrate+Nitrite,0.46853146853146854,0.12445479118883407
TN,Nitrate+Nitrite,0.14711055835105272,0.6482152290826797
Ammonium,Nitrate+Nitrite,0.32167832167832167,0.3079098761806527
Total Vibrio,Nitrite,0.1258741258741259,0.6966831093957659
Temperature,Nitrite,-0.03866486078645274,0.9050376047951212
Salinity,Nitrite,-0.2097902097902098,0.5128409431818262
Dissolved Oxygen,Nitrite,0.06666707705313787,0.8369048494563922
pH,Nitrite,0.42657342657342656,0.1666999876249451
Chlorophyll a,Nitrite,0.13286713286713286,0.6805975082860818
DOC,Nitrite,0.36363636363636365,0.24526500073077728
TDN,Nitrite,0.1258741258741259,0.6966831093957659
TOC,Nitrite,0.46853146853146854,0.12445479118883407
TN,Nitrite,0.0560421174670677,0.8626597626252805
