hr_cst,date,dust,copies_mL,site,sum_7
1,2022-07-06,0.03,NA,NA,NA
7,2022-07-06,0.03,NA,NA,NA
13,2022-07-06,0.03,NA,NA,NA
19,2022-07-06,0.03,NA,NA,NA
1,2022-07-07,0.02,25462.31608,BO,0.1
7,2022-07-07,0.02,25462.31608,BO,0.1
13,2022-07-07,0.02,25462.31608,BO,0.1
19,2022-07-07,0.02,25462.31608,BO,0.1
1,2022-07-07,0.02,21657.56478,C2,0.1
7,2022-07-07,0.02,21657.56478,C2,0.1
13,2022-07-07,0.02,21657.56478,C2,0.1
19,2022-07-07,0.02,21657.56478,C2,0.1
1,2022-07-07,0.02,441.8336661,RD,0.1
7,2022-07-07,0.02,441.8336661,RD,0.1
13,2022-07-07,0.02,441.8336661,RD,0.1
19,2022-07-07,0.02,441.8336661,RD,0.1
1,2022-07-08,0.03,33586.34572,BO,0.1
7,2022-07-08,0.03,33586.34572,BO,0.1
13,2022-07-08,0.03,33586.34572,BO,0.1
19,2022-07-08,0.03,33586.34572,BO,0.1
1,2022-07-08,0.03,14290.41007,C2,0.1
7,2022-07-08,0.03,14290.41007,C2,0.1
13,2022-07-08,0.03,14290.41007,C2,0.1
19,2022-07-08,0.03,14290.41007,C2,0.1
1,2022-07-08,0.03,2669.763843,RD,0.1
7,2022-07-08,0.03,2669.763843,RD,0.1
13,2022-07-08,0.03,2669.763843,RD,0.1
19,2022-07-08,0.03,2669.763843,RD,0.1
1,2022-07-09,0.03,29092.82512,BO,0.13
7,2022-07-09,0.04,29092.82512,BO,0.13
13,2022-07-09,0.03,29092.82512,BO,0.13
19,2022-07-09,0.02,29092.82512,BO,0.13
1,2022-07-09,0.03,4353.798363,C2,0.13
7,2022-07-09,0.04,4353.798363,C2,0.13
13,2022-07-09,0.03,4353.798363,C2,0.13
19,2022-07-09,0.02,4353.798363,C2,0.13
1,2022-07-09,0.03,3243.352621,RD,0.13
7,2022-07-09,0.04,3243.352621,RD,0.13
13,2022-07-09,0.03,3243.352621,RD,0.13
19,2022-07-09,0.02,3243.352621,RD,0.13
1,2022-07-10,0.02,NA,NA,0.09
7,2022-07-10,0.02,NA,NA,0.09
13,2022-07-10,0.03,NA,NA,0.09
19,2022-07-10,0.02,NA,NA,0.09
1,2022-07-11,0.02,45874.78059,BO,0.09
7,2022-07-11,0.02,45874.78059,BO,0.09
13,2022-07-11,0.02,45874.78059,BO,0.09
19,2022-07-11,0.02,45874.78059,BO,0.09
