site,date,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
BO,2022-02-16,19.9,23.88,7.81,8.02,27.33,2032.8000000000002,104.05,2510.15,143.89999999999998,7.598000000000001,62.269,2.381,12.157,61.281,69.867,34.18299999999999,5.747059307394917
C2,2022-02-16,16.3,29.12,7.92,8.12,7.59,1717.0500000000002,29.15,2075.3,35.05,0.3825,0.189,0.13,0.1235,30.307499999999997,0.5715,28.5785,4.66306216931217
RD,2022-02-16,15.6,29.45,8.56,8.06,3.4,205.25,14.35,229.85000000000002,21.2,0.7725,0.1755,0.047,0.311,7.829000000000001,0.948,13.402000000000001,3.0618380240048966
BO,2022-03-09,12.7,29.06,10.25,8.27,8.68,348.20000000000005,43.3,434.35,57.95,5.4415,7.1065000000000005,0.7304999999999999,2.253,47.282,12.548,30.751999999999995,5.570227592631415
C2,2022-03-09,16,29.4,4.75,8.17,13.54,315.25,34.25,342.15,39.75,2.3265000000000002,1.5565,0.2545,0.299,4.6475,3.883,30.366999999999997,12.986889207087884
RD,2022-03-09,13.5,28.66,9.61,8.15,15.145,199.85000000000002,15.8,233.4,24.3,0.3175,0.2355,0.1825,0.34850000000000003,2.958,0.5529999999999999,15.247,1.6122058823529413
BO,2022-04-20,24.1,31.58,6.43,8.04,21.53,294.25,27.65,500.75,64,3.673,0.3935,0.3395,0.7275,36.204,4.0665,23.5835,5.590845437743081
C2,2022-04-20,25.1,32.46,4.4,8.04,8.1,345.7,38.2,415.05,49.05,2.2835,1.2265000000000001,0.28500000000000003,0.398,61.411,3.51,34.69,8.834200494376624
RD,2022-04-20,23.5,30.94,6.75,8.12,10.879999999999999,129.05,16.15,187.7,25.25,1.0535,0.136,0.136,0.2955,1.9449999999999998,1.1895,14.9605,4.049010989010989
BO,2022-05-11,28.3,32.18,7.03,8.35,35.370000000000005,977.3499999999999,33.7,1189.45,82.9,0.5665,0.226,0.0395,1.2055,59.2085,0.7925,32.9075,0.6577721545135302
C2,2022-05-11,29.1,35.46,4.62,8.17,10.32,690.4,40.85,745.15,48,0.3505,0.262,0.1755,0.0595,27.7145,0.6125,40.2375,10.386752136752136
RD,2022-05-11,27,30.88,6.27,8.11,3.0949999999999998,303.85,11.8,381.75,14.8,0.244,0.11699999999999999,0.1015,0.096,2.268,0.361,11.439,3.9050072812815055
BO,2022-05-20,26.5,22.38,7.36,8.41,15.280000000000001,872.0999999999999,143,1445.3,256.9,1.033,85.437,0.221,25.119,194.5035,86.47,56.53,3.442534284391658
C2,2022-05-20,28.5,36.76,4.57,8.25,11.475,692.05,47.35,737.5,60.900000000000006,0.386,0.23550000000000001,0.1755,0.056999999999999995,32.4075,0.6214999999999999,46.7285,11.770881100556831
RD,2022-05-20,24.9,33.74,6.46,8.05,61.699999999999996,182.9,9.8,209.8,21.95,0.692,0.135,0.0885,0.22,1.2805,0.827,8.972999999999999,3.79275873655914
BO,2022-05-24,24.7,23.66,8.04,8.7,47.035,581.4,50.45,974.6,129.3,0.9495,0.16799999999999998,0.023,3.6505,121.8255,1.1175,49.332499999999996,0.3062152638729869
C2,2022-05-24,27.4,36.68,4.28,8.21,10.95,607.95,58.9,NA,NA,1.8944999999999999,0.648,0.2105,0.2235,58.931,2.5425,56.3575,11.383007491687032
RD,2022-05-24,25.3,32.62,6.55,8.12,14.695,126.05,15.35,210.7,34.4,0.823,0.1535,0.050499999999999996,0.1405,0.6645000000000001,0.9764999999999999,14.3735,7.007961783439491
BO,2022-06-14,27.8,30.41,6.43,8.32,29.235,742.75,78.9,1388.75,185.3,9.657,14.057500000000001,0.646,5.605,110.1795,23.7145,55.1855,4.231229978414975
C2,2022-06-14,30.3,37.7,3.81,8.16,9.125,649.5999999999999,50.15,703.75,64.6,0.763,0.11099999999999999,0.11099999999999999,0.054,123.5685,0.874,49.275999999999996,16.609523809523807
RD,2022-06-14,27.5,34.65,5.88,8.12,14.58,150.4,9.55,258.5,19.65,0.3885,0.1465,0.0315,0.21000000000000002,8.296,0.5349999999999999,9.015,2.5421266438686283
BO,2022-06-28,29,38.48,4.77,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RD,2022-06-28,28.9,36.58,6.15,8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO,2022-07-05,28.9,32.12,8.33,8.79,56.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RD,2022-07-05,29.1,36.74,5.94,8.05,5.4350000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO,2022-07-07,28.9,29.86,7.52,8.49,23.884999999999998,665.2,58.2,1106.6,162.3,0.524,0.20400000000000001,0.0965,2.926,90.3135,0.728,57.47200000000001,0.24886355565025925
C2,2022-07-07,30.6,39.54,4.03,7.82,5.21,635.95,60.05,767,70.94999999999999,0.33799999999999997,0.176,0.052000000000000005,0.028,152.1725,0.514,59.536,20.612368024132728
RD,2022-07-07,29.3,35.51,5.87,7.87,2.8200000000000003,144.95,17,161.35,23.85,0.2945,0.14500000000000002,0.108,0.364,13.7675,0.4395,16.5605,1.2116612633854014
BO,2022-07-08,28.9,31.81,7.44,8.83,20.015,1062.4499999999998,61,1314.0500000000002,179.75,0.47550000000000003,0.178,0.1395,2.896,69.09,0.6535,60.3465,0.2259784311891761
C2,2022-07-08,30.7,41.13,4.06,8.05,7.285,840.5999999999999,51.8,921.6,68.44999999999999,0.34650000000000003,0.16549999999999998,0.115,0.07,149.264,0.512,51.288,7.389402859545837
