date,site,Rep,Level,Salinity,DO_mgL,pH,Temperature,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
2022-02-16,BO,A,Surface,23.88,7.81,8.02,19.9,27.58,2406.9,103.8,2509,141.7,7.61,62.4,2.381,12.157,61.232,70.01,33.78999999999999,5.758822077815251
2022-02-16,BO,B,Surface,NA,NA,NA,NA,27.08,1658.7,104.3,2511.3,146.1,7.586,62.138,2.381,12.157,61.33,69.724,34.57599999999999,5.735296536974583
2022-02-16,C2,A,Surface,29.12,7.92,8.12,16.3,7.78,1968.2,29.5,2182.2,34,0.375,0.19,0.126,0.112,30.386,0.565,28.935,5.044642857142857
2022-02-16,C2,B,Surface,NA,NA,NA,NA,7.4,1465.9,28.8,1968.4,36.1,0.39,0.188,0.134,0.135,30.229,0.5780000000000001,28.222,4.281481481481482
2022-02-16,RD,A,Surface,29.45,8.56,8.06,15.6,3.55,198.4,14.5,227.4,22,0.772,0.158,0.051,0.329,7.91,0.93,13.57,2.8267477203647418
2022-02-16,RD,B,Surface,NA,NA,NA,NA,3.25,212.1,14.2,232.3,20.4,0.773,0.193,0.043,0.293,7.748,0.966,13.234,3.2969283276450514
2022-03-09,BO,A,Surface,29.06,10.25,8.27,12.7,8.64,367.6,44.3,432.5,57.9,5.454,7.11,0.745,2.228,47.293,12.564,31.735999999999997,5.639138240574506
2022-03-09,BO,B,Surface,NA,NA,NA,NA,8.72,328.8,42.3,436.2,58,5.429,7.103,0.716,2.278,47.271,12.532,29.767999999999997,5.501316944688323
2022-03-09,C2,A,Surface,29.4,4.75,8.17,16,13.81,303.4,34.7,337,41.8,2.35,1.564,0.254,0.302,4.657,3.914,30.786,12.960264900662253
2022-03-09,C2,B,Surface,NA,NA,NA,NA,13.27,327.1,33.8,347.3,37.7,2.303,1.549,0.255,0.296,4.638,3.852,29.947999999999997,13.013513513513514
2022-03-09,RD,A,Surface,28.66,9.61,8.15,13.5,13.9,192.9,18.5,212,29.1,0.369,0.267,0.189,0.425,3.095,0.636,17.864,1.4964705882352942
2022-03-09,RD,B,Surface,NA,NA,NA,NA,16.39,206.8,13.1,254.8,19.5,0.266,0.204,0.176,0.272,2.821,0.47,12.629999999999999,1.727941176470588
2022-04-20,BO,A,Surface,31.58,6.43,8.04,24.1,21.96,334.8,29.3,464.9,58.5,3.622,0.444,0.351,0.717,36.318,4.066,25.234,5.670850767085077
2022-04-20,BO,B,Surface,NA,NA,NA,NA,21.1,253.7,26,536.6,69.5,3.724,0.343,0.328,0.738,36.09,4.067,21.933,5.5108401084010845
2022-04-20,C2,A,Surface,32.46,4.4,8.04,25.1,8.03,334.5,36.8,412.5,49.3,2.311,1.226,0.306,0.383,61.356,3.537,33.263,9.234986945169712
2022-04-20,C2,B,Surface,NA,NA,NA,NA,8.17,356.9,39.6,417.6,48.8,2.256,1.227,0.264,0.413,61.466,3.4829999999999997,36.117000000000004,8.433414043583534
2022-04-20,RD,A,Surface,30.94,6.75,8.12,23.5,10.58,132.6,16.3,197.5,27,1.098,0.141,0.141,0.325,2.073,1.239,15.061,3.8123076923076926
2022-04-20,RD,B,Surface,NA,NA,NA,NA,11.18,125.5,16,177.9,23.5,1.009,0.131,0.131,0.266,1.817,1.14,14.86,4.285714285714285
2022-05-11,BO,A,Surface,32.18,7.03,8.35,28.3,34.74,976.4,33.5,1217.7,82.4,0.572,0.223,0.037,1.236,59.233,0.7949999999999999,32.705,0.6432038834951456
2022-05-11,BO,B,Surface,NA,NA,NA,NA,36,978.3,33.9,1161.2,83.4,0.561,0.229,0.042,1.175,59.184,0.79,33.11,0.6723404255319149
2022-05-11,C2,A,Surface,35.46,4.62,8.17,29.1,10.14,701.5,43,765,51.6,0.353,0.262,0.187,0.054,27.666,0.615,42.385,11.38888888888889
2022-05-11,C2,B,Surface,NA,NA,NA,NA,10.5,679.3,38.7,725.3,44.4,0.348,0.262,0.164,0.065,27.763,0.61,38.09,9.384615384615383
2022-05-11,RD,A,Surface,30.88,6.27,8.11,27,2.87,298.1,10.9,334.6,13.7,0.24,0.109,0.099,0.113,2.199,0.349,10.551,3.0884955752212386
2022-05-11,RD,B,Surface,NA,NA,NA,NA,3.32,309.6,12.7,428.9,15.9,0.248,0.125,0.104,0.079,2.337,0.373,12.327,4.7215189873417724
2022-05-20,BO,A,Surface,22.38,7.36,8.41,26.5,14.72,846.4,138.9,1461.8,255.9,1.024,85.145,0.223,25.23,194.208,86.169,52.73100000000001,3.415338882282996
2022-05-20,BO,B,Surface,NA,NA,NA,NA,15.84,897.8,147.1,1428.8,257.9,1.042,85.729,0.219,25.008,194.799,86.771,60.32899999999999,3.46972968650032
2022-05-20,C2,A,Surface,36.76,4.57,8.25,28.5,11.59,668.9,46.6,720.5,60.7,0.384,0.201,0.132,0.071,32.51,0.585,46.015,8.23943661971831
2022-05-20,C2,B,Surface,NA,NA,NA,NA,11.36,715.2,48.1,754.5,61.1,0.388,0.27,0.219,0.043,32.305,0.658,47.442,15.302325581395351
2022-05-20,RD,A,Surface,33.74,6.46,8.05,24.9,58.83,188,10.2,202.8,20.7,0.736,0.139,0.118,0.248,1.365,0.875,9.325,3.528225806451613
2022-05-20,RD,B,Surface,NA,NA,NA,NA,64.57,177.8,9.4,216.8,23.2,0.648,0.131,0.059,0.192,1.196,0.779,8.621,4.057291666666667
2022-05-24,BO,A,Surface,23.66,8.04,8.7,24.7,42.53,577.8,48.4,982.6,134,0.954,0.185,0.019,3.613,121.856,1.139,47.260999999999996,0.315250484362026
2022-05-24,BO,B,Surface,NA,NA,NA,NA,51.54,585,52.5,966.6,124.6,0.945,0.151,0.027,3.688,121.795,1.0959999999999999,51.404,0.2971800433839479
2022-05-24,C2,A,Surface,36.68,4.28,8.21,27.4,11.69,569.3,52,NA,NA,1.892,0.648,0.213,0.229,58.88,2.54,49.46,11.091703056768559
2022-05-24,C2,B,Surface,NA,NA,NA,NA,10.21,646.6,65.8,NA,NA,1.897,0.648,0.208,0.218,58.982,2.545,63.254999999999995,11.674311926605505
2022-05-24,RD,A,Surface,32.62,6.55,8.12,25.3,14.89,127,15,220.1,37.9,0.857,0.166,0.073,0.157,0.546,1.023,13.977,6.51592356687898
2022-05-24,RD,B,Surface,NA,NA,NA,NA,14.5,125.1,15.7,201.3,30.9,0.789,0.141,0.028,0.124,0.783,0.93,14.77,7.500000000000001
2022-06-14,BO,A,Surface,30.41,6.43,8.32,27.8,29.27,726.8,80,1432.4,190.1,9.667,14.041,0.652,5.559,110.182,23.708,56.292,4.264795826587515
2022-06-14,BO,B,Surface,NA,NA,NA,NA,29.2,758.7,77.8,1345.1,180.5,9.647,14.074,0.64,5.651,110.177,23.721,54.07899999999999,4.197664130242435
2022-06-14,C2,A,Surface,37.7,3.81,8.16,30.3,7.89,667.4,51,715.7,62.9,0.768,0.118,0.118,0.063,123.952,0.886,50.114,14.063492063492063
2022-06-14,C2,B,Surface,NA,NA,NA,NA,10.36,631.8,49.3,691.8,66.3,0.758,0.104,0.104,0.045,123.185,0.862,48.437999999999995,19.155555555555555
2022-06-14,RD,A,Surface,34.65,5.88,8.12,27.5,15.13,176.1,10.1,325.5,19.4,0.455,0.149,0.031,0.233,8.46,0.604,9.496,2.592274678111588
2022-06-14,RD,B,Surface,NA,NA,NA,NA,14.03,124.7,9,191.5,19.9,0.322,0.144,0.032,0.187,8.132,0.46599999999999997,8.534,2.491978609625668
2022-06-28,BO,A,Surface,38.48,4.77,8.33,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-28,BO,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-28,RD,A,Surface,36.58,6.15,8.03,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-28,RD,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,BO,A,Surface,32.12,8.33,8.79,28.9,56.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,BO,B,Surface,NA,NA,NA,NA,57.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,RD,A,Surface,36.74,5.94,8.05,29.1,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,RD,B,Surface,NA,NA,NA,NA,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-07,BO,A,Surface,29.86,7.52,8.49,28.9,25.94,637.8,53.2,1060.4,160.6,0.525,0.207,0.09,2.888,109.687,0.732,52.468,0.25346260387811637
2022-07-07,BO,B,Surface,NA,NA,NA,NA,21.83,692.6,63.2,1152.8,164,0.523,0.201,0.103,2.964,70.94,0.724,62.476000000000006,0.24426450742240216
2022-07-07,C2,A,Surface,39.54,4.03,7.82,30.6,5.34,639.5,61.1,801.1,72.6,0.379,0.201,0.009,0.039,152.24,0.5800000000000001,60.52,14.871794871794874
2022-07-07,C2,B,Surface,NA,NA,NA,NA,5.08,632.4,59,732.9,69.3,0.297,0.151,0.095,0.017,152.105,0.44799999999999995,58.552,26.352941176470583
2022-07-07,RD,A,Surface,35.51,5.87,7.87,29.3,3.58,143.3,16.1,148.2,26,0.333,0.134,0.091,0.351,14.042,0.467,15.633000000000001,1.3304843304843306
2022-07-07,RD,B,Surface,NA,NA,NA,NA,2.06,146.6,17.9,174.5,21.7,0.256,0.156,0.125,0.377,13.493,0.41200000000000003,17.488,1.0928381962864722
2022-07-08,BO,A,Surface,31.81,7.44,8.83,28.9,16.03,1065.3,61.9,1312.9,184.8,0.515,0.17,0.112,2.836,73.311,0.685,61.214999999999996,0.24153737658674193
2022-07-08,BO,B,Surface,NA,NA,NA,NA,24,1059.6,60.1,1315.2,174.7,0.436,0.186,0.167,2.956,64.869,0.622,59.478,0.2104194857916103
2022-07-08,C2,A,Surface,41.13,4.06,8.05,30.7,6.6,825.4,50,913.7,69.8,0.39,0.18,0.117,0.082,148.794,0.5700000000000001,49.43,6.951219512195123
2022-07-08,C2,B,Surface,NA,NA,NA,NA,7.97,855.8,53.6,929.5,67.1,0.303,0.151,0.113,0.058,149.734,0.45399999999999996,53.146,7.827586206896551
2022-07-08,RD,A,Surface,36.74,5.93,8.03,29.5,2.01,173.9,11.1,494.2,17.3,0.372,0.148,0.068,0.456,10.629,0.52,10.58,1.1403508771929824
2022-07-08,RD,B,Surface,NA,NA,NA,NA,3.43,434.8,13.4,525,17.5,0.257,0.135,0.072,0.446,10.85,0.392,13.008000000000001,0.8789237668161435
2022-07-09,BO,A,Surface,32.16,6.89,9.76,28.8,21.42,831.5,54,1442.8,179.7,0.39,0.169,0.154,3.395,91.662,0.559,53.441,0.16465390279823272
2022-07-09,BO,B,Surface,NA,NA,NA,NA,26.78,828.7,56.5,1435.9,181.7,0.437,0.173,0.149,3.45,81.218,0.61,55.89,0.17681159420289855
2022-07-09,C2,A,Surface,39.99,3.46,7.84,30.8,6.95,709.7,52.4,755.1,68,0.885,0.153,0.09,0.323,148.069,1.038,51.362,3.2136222910216716
2022-07-09,C2,B,Surface,NA,NA,NA,NA,3.85,748.8,54.4,756.4,72.4,0.883,0.146,0.044,0.296,148.507,1.029,53.370999999999995,3.4763513513513513
2022-07-09,RD,A,Surface,35.48,6.03,8.04,29.3,4.32,293.9,10.8,314.1,15.7,1.269,0.185,0.137,0.424,11.189,1.454,9.346,3.4292452830188678
2022-07-09,RD,B,Surface,NA,NA,NA,NA,3.34,247.8,11.4,297.9,17.4,1.136,0.14,0.038,0.382,10.09,1.2759999999999998,10.124,3.340314136125654
2022-07-11,BO,A,Surface,41.11,5.32,8.45,29.6,22.28,800.9,55.7,1097.5,122.5,0.622,0.167,0.166,2.139,107.719,0.789,54.911,0.36886395511921466
2022-07-11,BO,B,Surface,NA,NA,NA,NA,20.25,791.1,54.5,1128.9,132.6,0.61,0.173,0.165,2.182,107.427,0.7829999999999999,53.717,0.3588450962419798
2022-07-11,C2,A,Surface,41.87,4.3,8.08,31.1,5.51,712.6,53.5,755,76.5,0.615,0.161,0.123,0.051,140.084,0.776,52.724,15.215686274509805
2022-07-11,C2,B,Surface,NA,NA,NA,NA,7.53,651,54.4,712.7,73.4,0.932,0.163,0.066,0.03,140.68,1.095,53.305,36.5
2022-07-11,RD,A,Surface,36.7,5.93,8.11,29.6,2.87,166.1,10.8,220.5,18.2,0.44,0.155,0.117,0.34,9.293,0.595,10.205,1.7499999999999998
2022-07-11,RD,B,Surface,NA,NA,NA,NA,4.07,144.9,8.1,174.4,16.6,0.407,0.178,0.129,0.353,9.234,0.585,7.515,1.6572237960339944
2022-07-12,BO,A,Surface,36.01,6.17,7.96,29.5,47.82,785.4,64.2,1307.6,167,0.819,1.083,0.378,2.951,96.746,1.902,62.298,0.6445272788885124
2022-07-12,BO,B,Surface,NA,NA,NA,NA,31.73,771,63.3,1252.5,162.4,0.869,1.101,0.346,3.023,96.755,1.97,61.33,0.6516705259675818
2022-07-12,C2,A,Surface,40.64,2.7,7.66,31,6.59,644.5,60.6,733.8,77.5,0.82,0.126,0.105,0.038,140.361,0.946,59.654,24.894736842105264
2022-07-12,C2,B,Surface,NA,NA,NA,NA,7.73,657.4,60.1,719.6,74.7,0.777,0.129,0.098,0.005,139.808,0.906,59.194,181.2
2022-07-12,RD,A,Surface,35.35,5.83,7.89,29.6,3.85,131.1,10.1,144.1,21.8,1.017,0.161,0.087,0.448,5.907,1.178,8.922,2.6294642857142856
2022-07-12,RD,B,Surface,NA,NA,NA,NA,3.59,120.6,10.9,131.3,17.8,0.709,0.147,0.081,0.404,5.292,0.856,10.044,2.1188118811881185
2022-07-13,BO,A,Surface,34.62,5.6,8.92,30,27.96,718.4,67.7,1359.2,177.3,0.493,0.153,0.119,1.009,75.691,0.646,67.054,0.6402378592666007
2022-07-13,BO,B,Surface,NA,NA,NA,NA,28.26,711.8,69.4,1385.3,179.9,0.625,0.181,0.002,1.048,75.894,0.806,68.59400000000001,0.7690839694656488
2022-07-13,C2,A,Surface,42.2,2.29,8.17,31.3,8,653.4,62.5,810.9,93,1.679,0.192,0.029,0.079,142.958,1.871,60.629,23.68354430379747
2022-07-13,C2,B,Surface,NA,NA,NA,NA,8.85,635.3,61,755,87.9,1.677,0.27,0.031,0.061,142.918,1.947,59.053,31.91803278688525
2022-07-13,RD,A,Surface,36.44,6.1,8.22,28.5,5.82,147.8,17,202.7,28.5,1.199,0.273,0.165,0.567,0.126,1.472,15.528,2.596119929453263
2022-07-13,RD,B,Surface,NA,NA,NA,NA,4.44,133.9,16,206.3,28.7,1.116,0.316,0.287,0.549,0.791,1.4320000000000002,14.568,2.6083788706739526
2022-07-14,BO,A,Surface,30.65,5.18,8.52,29.2,38.06,704.9,56,1379.4,173.7,1.004,0.125,0.066,1.625,65.923,1.129,54.871,0.6947692307692308
2022-07-14,BO,B,Surface,NA,NA,NA,NA,37.69,700.1,57.5,1318.3,166.9,1.109,0.128,0.071,1.692,67.304,1.237,56.263,0.7310874704491727
2022-07-14,C2,A,Surface,42.31,2.11,7.75,31.5,7.36,658.7,54.8,746.2,72.5,2.739,0.203,0.057,0.147,144.568,2.9419999999999997,51.858,20.01360544217687
2022-07-14,C2,B,Surface,NA,NA,NA,NA,7,650.1,57.6,781.5,73.3,2.765,0.205,0.044,0.131,144.004,2.97,54.63,22.67175572519084
2022-07-14,RD,A,Surface,36.41,6.46,7.79,27.8,4.79,98.2,16.3,147.4,41.4,1.926,0.125,0.076,0.352,0.042,2.051,14.249,5.826704545454546
2022-07-14,RD,B,Surface,NA,NA,NA,NA,4.4,100.6,9.7,205.2,15.7,1.819,0.137,0.028,0.317,0.259,1.956,7.744,6.170347003154574
