Date,Site,Rep,Level,Conductivity,Salinity,DO_mgL,DO_perc,pH,Temperature,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
2022-07-07,Blind Oso,A,Surface,49668,29.86,7.52,116.2,8.49,28.9,0.5,0.1,25.94,637.8,53.2,1060.4,160.6,0.525,0.207,0.09,2.888,109.687,0.732,52.468,0.25346260387811637
2022-07-07,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,21.83,692.6,63.2,1152.8,164,0.523,0.201,0.103,2.964,70.94,0.724,62.476000000000006,0.24426450742240216
2022-07-07,Canals,A,Surface,65782,39.54,4.03,67.1,7.82,30.6,1.3,1.2,5.34,639.5,61.1,801.1,72.6,0.379,0.201,0.009,0.039,152.24,0.5800000000000001,60.52,14.871794871794874
2022-07-07,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,5.08,632.4,59,732.9,69.3,0.297,0.151,0.095,0.017,152.105,0.44799999999999995,58.552,26.352941176470583
2022-07-07,Gulf,A,Surface,58374,35.51,5.87,93.4,7.87,29.3,0.5,0.3,3.58,143.3,16.1,148.2,26,0.333,0.134,0.091,0.351,14.042,0.467,15.633000000000001,1.3304843304843306
2022-07-07,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,2.06,146.6,17.9,174.5,21.7,0.256,0.156,0.125,0.377,13.493,0.41200000000000003,17.488,1.0928381962864722
2022-07-08,Blind Oso,A,Surface,52576,31.81,7.44,115.1,8.83,28.9,0.5,0.2,16.03,1065.3,61.9,1312.9,184.8,0.515,0.17,0.112,2.836,73.311,0.685,61.214999999999996,0.24153737658674193
2022-07-08,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,24,1059.6,60.1,1315.2,174.7,0.436,0.186,0.167,2.956,64.869,0.622,59.478,0.2104194857916103
2022-07-08,Canals,A,Surface,68150,41.13,4.06,66.4,8.05,30.7,1.3,NA,6.6,825.4,50,913.7,69.8,0.39,0.18,0.117,0.082,148.794,0.5700000000000001,49.43,6.951219512195123
2022-07-08,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,7.97,855.8,53.6,929.5,67.1,0.303,0.151,0.113,0.058,149.734,0.45399999999999996,53.146,7.827586206896551
2022-07-08,Gulf,A,Surface,60242,36.74,5.93,95.3,8.03,29.5,0.7,0.6,2.01,173.9,11.1,494.2,17.3,0.372,0.148,0.068,0.456,10.629,0.52,10.58,1.1403508771929824
2022-07-08,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,3.43,434.8,13.4,525,17.5,0.257,0.135,0.072,0.446,10.85,0.392,13.008000000000001,0.8789237668161435
2022-07-09,Blind Oso,A,Surface,52953,32.16,6.89,107.6,9.76,28.8,0.5,1.5,21.42,831.5,54,1442.8,179.7,0.39,0.169,0.154,3.395,91.662,0.559,53.441,0.16465390279823272
2022-07-09,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,26.78,828.7,56.5,1435.9,181.7,0.437,0.173,0.149,3.45,81.218,0.61,55.89,0.17681159420289855
2022-07-09,Canals,A,Surface,66587,39.99,3.46,57.9,7.84,30.8,1.45,1.3,6.95,709.7,52.4,755.1,68,0.885,0.153,0.09,0.323,148.069,1.038,51.362,3.2136222910216716
2022-07-09,Canals,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,3.85,748.8,54.4,756.4,72.4,0.883,0.146,0.044,0.296,148.507,1.029,53.370999999999995,3.4763513513513513
2022-07-09,Gulf,A,Surface,58350,35.48,6.03,95.5,8.04,29.3,0.9,0.8,4.32,293.9,10.8,314.1,15.7,1.269,0.185,0.137,0.424,11.189,1.454,9.346,3.4292452830188678
2022-07-09,Gulf,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,3.34,247.8,11.4,297.9,17.4,1.136,0.14,0.038,0.382,10.09,1.2759999999999998,10.124,3.340314136125654
2022-07-11,Blind Oso,A,Surface,65945,41.11,5.32,89.5,8.45,29.6,0.5,0.2,22.28,800.9,55.7,1097.5,122.5,0.622,0.167,0.166,2.139,107.719,0.789,54.911,0.36886395511921466
2022-07-11,Blind Oso,B,Surface,NA,NA,NA,NA,NA,NA,NA,NA,20.25,791.1,54.5,1128.9,132.6,0.61,0.173,0.165,2.182,107.427,0.7829999999999999,53.717,0.3588450962419798
