date,time,site
2022-02-16,12:47,BO
2022-02-16,12:47,BO
2022-02-16,10:51,C2
2022-02-16,10:51,C2
2022-02-16,9:58,PCS
2022-02-16,9:58,PCS
2022-03-09,12:40,BO
2022-03-09,12:40,BO
2022-03-09,12:40,BO
2022-03-09,12:40,BO
2022-03-09,12:40,BO
2022-03-09,12:40,BO
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:46,C2
2022-03-09,10:17,RD6
2022-03-09,10:17,RD6
2022-03-09,10:17,RD6
2022-03-09,10:17,RD6
2022-04-20,12:40,BO
2022-04-20,12:40,BO
2022-04-20,12:40,BO
2022-04-20,12:40,BO
2022-04-20,12:40,BO
2022-04-20,12:40,BO
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:50,C2
2022-04-20,10:02,RD6
2022-04-20,10:02,RD6
2022-04-20,10:02,RD6
2022-04-20,10:02,RD6
2022-05-11,12:08,BO
2022-05-11,12:08,BO
2022-05-11,12:08,BO
2022-05-11,12:08,BO
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,10:29,C2
2022-05-11,9:51,RD6
2022-05-11,9:51,RD6
2022-05-11,9:51,RD6
2022-05-11,9:51,RD6
2022-05-20,10:42,BO
2022-05-20,10:42,BO
2022-05-20,10:42,BO
2022-05-20,10:42,BO
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,9:22,C2
2022-05-20,8:48,RD6
2022-05-20,8:48,RD6
2022-05-20,8:48,RD6
2022-05-20,8:48,RD6
2022-05-24,12:14,BO
2022-05-24,12:14,BO
2022-05-24,12:14,BO
2022-05-24,12:14,BO
2022-05-24,12:14,BO
2022-05-24,12:14,BO
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,10:20,C2
2022-05-24,9:41,RD6
2022-05-24,10:41,RD6
2022-05-24,11:41,RD6
2022-05-24,12:41,RD6
2022-06-14,10:56,BO
2022-06-14,10:56,BO
2022-06-14,10:56,BO
2022-06-14,10:56,BO
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,9:29,C2
2022-06-14,8:41,RD6
2022-06-14,8:41,RD6
2022-06-28,8:41,RD6
2022-06-28,8:41,RD6
2022-06-28,10:09,BO
2022-06-28,10:09,BO
2022-06-28,10:09,BO
2022-06-28,10:09,BO
2022-06-28,10:09,RD6
2022-06-28,10:09,RD6
2022-06-28,10:09,RD6
2022-06-28,10:09,RD6
2022-07-05,8:53,BO
2022-07-05,8:53,BO
2022-07-05,8:53,BO
2022-07-05,8:53,BO
2022-07-05,10:33,RD6
2022-07-05,10:33,RD6
2022-07-05,10:33,RD6
2022-07-05,10:33,RD6
2022-07-07,10:27,BO
2022-07-07,10:27,BO
2022-07-07,10:27,BO
2022-07-07,10:27,BO
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,9:22,C2
2022-07-07,8:43,RD6
2022-07-07,8:43,RD6
2022-07-07,8:43,RD6
2022-07-07,8:43,RD6
2022-07-08,10:24,BO
2022-07-08,10:24,BO
2022-07-08,10:24,BO
2022-07-08,10:24,BO
2022-07-08,9:08,C2
2022-07-08,9:08,C2
2022-07-08,9:08,C2
2022-07-08,9:08,C2
2022-07-08,9:08,C2
2022-07-08,9:08,C2
2022-07-08,8:35,RD6
2022-07-08,8:35,RD6
2022-07-08,8:35,RD6
2022-07-08,8:35,RD6
2022-07-09,9:56,BO
2022-07-09,9:56,BO
2022-07-09,9:56,BO
2022-07-09,9:56,BO
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,8:37,C2
2022-07-09,7:53,RD6
2022-07-09,7:53,RD6
2022-07-09,7:53,RD6
2022-07-09,7:53,RD6
2022-07-11,10:25,BO
2022-07-11,10:25,BO
2022-07-11,10:25,BO
2022-07-11,10:25,BO
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:51,C2
2022-07-11,8:09,RD6
2022-07-11,8:09,RD6
2022-07-11,8:09,RD6
2022-07-11,8:09,RD6
2022-07-11,8:09,RD6
2022-07-11,8:09,RD6
2022-07-12,10:28,BO
2022-07-12,10:28,BO
2022-07-12,10:28,BO
2022-07-12,10:28,BO
2022-07-12,8:40,C2
2022-07-12,8:40,C2
2022-07-12,8:40,C2
2022-07-12,8:40,C2
2022-07-12,8:40,C2
2022-07-12,8:40,C2
2022-07-12,9:15,RD6
2022-07-12,9:15,RD6
2022-07-12,9:15,RD6
2022-07-12,9:15,RD6
2022-07-13,9:48,BO
2022-07-13,9:48,BO
2022-07-13,9:48,BO
2022-07-13,9:48,BO
2022-07-13,8:16,C2
2022-07-13,8:16,C2
2022-07-13,8:16,C2
2022-07-13,8:16,C2
2022-07-13,8:16,C2
2022-07-13,8:16,C2
2022-07-13,7:45,RD6
2022-07-13,7:45,RD6
2022-07-13,7:45,RD6
2022-07-13,7:45,RD6
2022-07-14,9:27,BO
2022-07-14,9:27,BO
2022-07-14,9:27,BO
2022-07-14,9:27,BO
2022-07-14,8:22,C2
2022-07-14,8:22,C2
2022-07-14,8:22,C2
2022-07-14,8:22,C2
2022-07-14,8:22,C2
2022-07-14,8:22,C2
2022-07-14,7:52,RD6
2022-07-14,7:52,RD6
2022-07-14,7:52,RD6
2022-07-14,7:52,RD6
2022-07-15,10:15,BO
2022-07-15,10:15,BO
2022-07-15,10:15,BO
2022-07-15,10:15,BO
2022-07-15,8:44,C2
2022-07-15,8:44,C2
2022-07-15,8:44,C2
2022-07-15,8:44,C2
2022-07-15,8:44,C2
2022-07-15,8:44,C2
2022-07-15,8:08,RD6
2022-07-15,8:08,RD6
2022-07-15,8:08,RD6
2022-07-15,8:08,RD6
2022-07-16,10:00,BO
2022-07-16,10:00,BO
2022-07-16,10:00,BO
2022-07-16,10:00,BO
2022-07-16,8:53,C2
2022-07-16,8:53,C2
2022-07-16,8:53,C2
2022-07-16,8:53,C2
2022-07-16,8:53,C2
2022-07-16,8:53,C2
2022-07-16,8:17,RD6
2022-07-16,8:17,RD6
2022-07-16,8:17,RD6
2022-07-16,8:17,RD6
2022-07-17,10:03,BO
2022-07-17,10:03,BO
2022-07-17,10:03,BO
2022-07-17,10:03,BO
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,8:30,C2
2022-07-17,7:54,RD6
2022-07-17,7:54,RD6
2022-07-17,7:54,RD6
2022-07-17,7:54,RD6
2022-07-18,9:57,BO
2022-07-18,9:57,BO
2022-07-18,9:57,BO
2022-07-18,9:57,BO
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:44,C2
2022-07-18,8:02,RD6
2022-07-18,8:02,RD6
2022-07-18,8:02,RD6
2022-07-18,8:02,RD6
2022-07-19,9:42,BO
2022-07-19,9:42,BO
2022-07-19,9:42,BO
2022-07-19,9:42,BO
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,8:30,C2
2022-07-19,7:54,RD6
2022-07-19,7:54,RD6
2022-07-19,7:54,RD6
2022-07-19,7:54,RD6
2022-08-09,11:00,BO
2022-08-09,11:00,BO
2022-08-09,11:00,BO
2022-08-09,11:00,BO
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:37,C2
2022-08-09,9:08,RD6
2022-08-09,9:08,RD6
2022-08-09,9:08,RD6
2022-08-09,9:08,RD6
2022-09-13,10:31,BO
2022-09-13,10:31,BO
2022-09-13,10:31,BO
2022-09-13,10:31,BO
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,11:30,C2
2022-09-13,12:57,RD6
2022-09-13,12:57,RD6
2022-09-13,12:57,RD6
2022-09-13,12:57,RD6
2022-10-18,10:00,BO
2022-10-18,10:00,BO
2022-10-18,10:00,BO
2022-10-18,10:00,BO
2022-10-18,10:00,BO
2022-10-18,10:00,BO
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,11:00,C2
2022-10-18,12:30,RD6
2022-10-18,12:30,RD6
2022-10-18,12:30,RD6
2022-10-18,12:30,RD6
2022-11-15,9:53,BO
2022-11-15,9:53,BO
