Site,Date,Temperature,Salinity,Conductivity,DO_mgL,DO_perc,pH,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
Blind Oso,2022-07-07,28.9,29.86,49668,7.52,116.2,8.49,0.5,0.1,23.884999999999998,665.2,58.2,1106.6,162.3,0.524,0.20400000000000001,0.0965,2.926,90.3135,0.728,57.47200000000001,0.24886355565025925
Canals,2022-07-07,30.6,39.54,65782,4.03,67.1,7.82,1.3,1.2,5.21,635.95,60.05,767,70.94999999999999,0.33799999999999997,0.176,0.052000000000000005,0.028,152.1725,0.514,59.536,20.612368024132728
Gulf,2022-07-07,29.3,35.51,58374,5.87,93.4,7.87,0.5,0.3,2.8200000000000003,144.95,17,161.35,23.85,0.2945,0.14500000000000002,0.108,0.364,13.7675,0.4395,16.560499999999998,1.2116612633854014
Blind Oso,2022-07-08,28.9,31.81,52576,7.44,115.1,8.83,0.5,0.2,20.015,1062.4499999999998,61,1314.0500000000002,179.75,0.47550000000000003,0.178,0.1395,2.896,69.09,0.6535,60.346500000000006,0.2259784311891761
Canals,2022-07-08,30.7,41.13,68150,4.06,66.4,8.05,1.3,NA,7.285,840.5999999999999,51.8,921.6,68.44999999999999,0.34650000000000003,0.16549999999999998,0.115,0.07,149.264,0.512,51.288,7.389402859545837
Gulf,2022-07-08,29.5,36.74,60242,5.93,95.3,8.03,0.7,0.6,2.7199999999999998,304.35,12.25,509.6,17.4,0.3145,0.14150000000000001,0.07,0.451,10.7395,0.456,11.794,1.009637322004563
Blind Oso,2022-07-09,28.8,32.16,52953,6.89,107.6,9.76,0.5,1.5,24.1,830.1,55.25,1439.35,180.7,0.4135,0.17099999999999999,0.1515,3.4225000000000003,86.44,0.5845,54.6655,0.17073274850056563
Canals,2022-07-09,30.8,39.99,66587,3.46,57.9,7.84,1.45,1.3,5.4,729.25,53.4,755.75,70.2,0.884,0.1495,0.067,0.3095,148.288,1.0335,52.3665,3.3449868211865112
Gulf,2022-07-09,29.3,35.48,58350,6.03,95.5,8.04,0.9,0.8,3.83,270.85,11.100000000000001,306,16.549999999999997,1.2025,0.1625,0.08750000000000001,0.403,10.6395,1.3649999999999998,9.735,3.3847797095722614
Blind Oso,2022-07-11,29.6,41.11,65945,5.32,89.5,8.45,0.5,0.2,21.265,796,55.1,1113.2,127.55,0.616,0.16999999999999998,0.1655,2.1605,107.57300000000001,0.786,54.314,0.36385452568059723
