date,site,hr_cst,sal,temp,orthop,nn,amm,chl,secchi
2022-02-16,Blind Oso,00,23.88,19.9,12.16,62.27,7.6,27.33,0.1
2022-03-09,Blind Oso,00,29.06,12.7,2.25,7.11,5.44,8.68,0.4
2022-04-20,Blind Oso,01,31.58,24.1,0.73,0.39,3.67,21.53,0.2
2022-05-11,Blind Oso,01,32.18,28.3,1.21,0.23,0.57,35.37,0.2
2022-06-14,Blind Oso,01,30.41,27.8,5.61,14.06,9.66,29.24,0.1
2022-07-18,Blind Oso,01,23.87,29,3.47,0.17,0.69,96.4,0.2
2022-08-09,Blind Oso,01,37.06,29.6,4.95,0.17,1.29,28.49,0.3
2022-09-13,Blind Oso,01,28.73,30.8,4.92,6.78,1.75,19.18,0.3
2022-10-18,Blind Oso,01,32.65,18.8,10.44,35.55,19.28,16.67,0.1
2022-11-15,Blind Oso,00,31.16,15.7,5.42,29.42,2.64,29.41,0.2
2022-12-14,Blind Oso,00,31.99,20.5,2.09,7.41,2.68,15.91,0.2
