date,day,time,mllw,tide
2022-07-07,Thu,2:46 AM,0.64,L
2022-07-07,Thu,9:06 AM,1.05,H
2022-07-07,Thu,4:42 PM,0.27,L
2022-07-08,Fri,12:04 AM,1.07,H
2022-07-08,Fri,4:55 AM,0.96,L
2022-07-08,Fri,8:48 AM,1.04,H
2022-07-08,Fri,5:10 PM,-0.04,L
2022-07-09,Sat,1:57 AM,1.34,H
2022-07-09,Sat,5:49 PM,-0.36,L
2022-07-10,Sun,3:25 AM,1.62,H
2022-07-10,Sun,6:37 PM,-0.63,L
2022-07-11,Mon,4:21 AM,1.83,H
2022-07-11,Mon,7:32 PM,-0.84,L
2022-07-12,Tue,5:18 AM,1.95,H
2022-07-12,Tue,8:28 PM,-0.96,L
2022-07-13,Wed,6:17 AM,1.97,H
2022-07-13,Wed,9:23 PM,-0.97,L
2022-07-14,Thu,7:07 AM,1.89,H
2022-07-14,Thu,10:19 PM,-0.86,L
2022-07-15,Fri,7:45 AM,1.73,H
2022-07-15,Fri,11:20 PM,-0.64,L
2022-07-16,Sat,8:06 AM,1.53,H
2022-07-17,Sun,12:23 AM,-0.35,L
2022-07-17,Sun,8:13 AM,1.33,H
2022-07-17,Sun,2:15 PM,1.01,L
2022-07-17,Sun,5:11 PM,1.1,H
2022-07-18,Mon,1:20 AM,0.01,L
2022-07-18,Mon,8:17 AM,1.16,H
2022-07-18,Mon,2:35 PM,0.73,L
2022-07-18,Mon,7:11 PM,0.99,H
2022-07-19,Tue,2:13 AM,0.39,L
2022-07-19,Tue,8:21 AM,1.06,H
2022-07-19,Tue,3:09 PM,0.45,L
2022-07-19,Tue,9:57 PM,0.98,H
