date,site,tss
2022-03-09,BO,76.79999999999998
2022-03-09,C2,27.727272727272904
2022-03-09,RD,97.19999999999996
2022-04-20,BO,216.40000000000015
2022-04-20,C2,11.941176470588227
2022-04-20,RD,59.66666666666676
2022-05-11,BO,212.99999999999966
2022-05-11,C2,40.00000000000003
2022-05-11,RD,53.687499999999915
2022-05-20,BO,545.9999999999999
2022-05-20,C2,63.66666666666681
2022-05-20,RD,113.80000000000013
2022-05-24,BO,109.80000000000034
2022-05-24,C2,13.538461538461412
2022-05-24,RD,47.399999999999885
2022-06-14,BO,228.40000000000015
2022-06-14,C2,24.999999999999837
2022-06-14,RD,50.16666666666669
2022-07-07,BO,196.80000000000007
2022-07-07,C2,35.72727272727263
2022-07-07,RD,43.00000000000004
2022-07-08,BO,188.0000000000008
2022-07-08,C2,58.100000000000264
2022-07-08,RD,64.53333333333319
2022-07-09,BO,226.33333333333283
2022-07-09,C2,16.999999999999943
2022-07-09,RD,27.117647058823415
2022-07-11,BO,195.59999999999977
2022-07-11,C2,47.8461538461537
2022-07-11,RD,74.58333333333326
2022-07-12,BO,346.3636363636366
2022-07-12,C2,37.666666666666714
2022-07-12,RD,110.08333333333343
2022-07-13,BO,161.49999999999997
2022-07-13,C2,25.700000000000056
2022-07-13,RD,65.19999999999992
2022-07-14,BO,219.50000000000026
2022-07-14,C2,17.900000000000027
2022-07-14,RD,46.69999999999996
2022-07-15,BO,291.5000000000012
2022-07-15,C2,87.99999999999969
2022-07-15,RD,84.50000000000003
2022-07-16,BO,256.0000000000007
2022-07-16,C2,49.181818181818215
2022-07-16,RD,104.62499999999986
2022-07-17,BO,399.9999999999992
2022-07-17,C2,96.87499999999987
2022-07-17,RD,123.14285714285722
2022-07-18,BO,242.49999999999994
2022-07-18,C2,51.80000000000007
2022-07-18,RD,90.625
2022-07-19,BO,196.49999999999946
2022-07-19,C2,89.62500000000011
2022-07-19,RD,124.57142857142881
2022-08-09,BO,47.00000000000038
2022-08-09,C2,26.999999999999986
2022-08-09,RD,38.79999999999973
2022-09-13,BO,77.75000000000031
2022-09-13,C2,20.916666666666583
2022-09-13,RD,22.06249999999993
2022-10-18,BO,268.9999999999992
2022-10-18,C2,13.41666666666667
2022-10-18,RD,64.50000000000023
2022-11-15,BO,114.25000000000018
2022-11-15,C2,12.785714285714146
2022-11-15,RD,106.16666666666683
2022-12-14,BO,118.2500000000003
2022-12-14,C2,40.75000000000014
2022-12-14,RD,83.49999999999969
