date,hf_copies_mL
2022-07-07,0
2022-07-07,0
2022-07-07,0
2022-07-14,0
2022-07-14,0
2022-07-14,0
2022-02-16,0
2022-02-16,0
2022-06-14,0
2022-06-14,0
2022-06-14,0
2022-07-08,0
2022-07-08,0
2022-07-08,0
2022-07-15,0
2022-07-15,0
2022-07-15,0
2022-03-09,0
2022-03-09,0
2022-08-09,0
2022-07-09,0
2022-07-09,0
2022-07-09,0
2022-07-16,0
2022-07-16,0
2022-04-20,0
2022-04-20,0
2022-09-13,0
2022-09-13,0
2022-09-13,0
2022-07-11,0
2022-07-11,0
2022-07-11,0
2022-07-17,0
2022-07-17,0
2022-05-11,0
2022-10-18,0
2022-07-12,0
2022-07-12,0
2022-07-12,0
2022-07-18,0
2022-07-13,0
2022-07-13,0
2022-05-24,34837371.24605751
2022-12-14,56138567.584110044
2022-05-20,16016395.791931666
2022-10-18,16961794.328952834
2022-07-18,21918768.732839618
2022-10-18,4697513.221025419
2022-05-11,2443139.085562191
2022-05-20,2048327.7960715475
2022-05-11,1839232.3415578022
2022-12-14,1399064.8233752758
2022-07-19,2369661.6526757213
2022-12-14,1134080.0998490453
2022-05-20,386797.8007521456
2022-07-19,1066766.5562126308
2022-04-20,218843.9325376962
2022-07-19,697777.6018740255
2022-07-18,480800.3489945296
2022-07-16,360957.52656922373
2022-11-15,236352.79360390472
2022-07-13,74130.57225783078
2022-07-17,78044.80811070607
2022-05-24,51.341968709333926
2022-11-15,90.02194286924616
2022-02-16,18.19498030092379
2022-11-15,45.79375311778412
2022-03-09,12.058327464452747
2022-05-24,10.473614042529974
2022-08-09,34.235305132301775
2022-08-09,31.525097964657697
