date,site,copies_mL
2022-07-07,BO,147618584.27266464
2022-07-07,BO,142549147.46794787
2022-07-07,BO,155160736.39334404
2022-07-14,BO,39918636.21962323
2022-07-14,BO,39465527.746701255
2022-07-14,BO,36878583.64048222
2022-07-08,BO,53182878.61454856
2022-07-08,BO,58118163.19225971
2022-07-08,BO,59405763.194293246
2022-07-15,BO,23736356.611747503
2022-07-15,BO,20642344.62095287
2022-07-15,BO,21080899.880111672
2022-07-09,BO,41482361.0139155
2022-07-09,BO,41727475.84630029
2022-07-09,BO,48402621.59052749
2022-07-16,BO,250054259.06147352
2022-07-16,BO,249068520.54148746
2022-07-16,BO,263980150.3621748
2022-07-11,BO,17163846.93019512
2022-07-11,BO,18138968.352700107
2022-07-11,BO,20995803.170880247
2022-07-17,BO,79804174.28860976
2022-07-17,BO,76177786.11342975
2022-07-17,BO,75246803.0913557
2022-07-12,BO,19584408.464658886
2022-07-12,BO,27299536.768485554
2022-07-12,BO,25037805.923998266
2022-07-18,BO,128682288.58724727
2022-07-18,BO,96976162.17846975
2022-07-18,BO,85485470.83562134
2022-07-13,BO,43450697.975104265
2022-07-13,BO,70058645.64780341
2022-07-13,BO,12429852.905675933
2022-07-19,BO,144456355.24207813
2022-07-19,BO,117343079.17396928
2022-07-19,BO,111276107.88653636
2022-07-07,C2,8018229.536515607
2022-07-07,C2,7099584.843887736
2022-07-07,C2,8333281.020503898
2022-07-14,C2,3886067.3796210317
2022-07-14,C2,4068546.4827061086
2022-07-14,C2,4185712.727336684
2022-07-08,C2,3131667.4710046607
2022-07-08,C2,4132614.953117459
2022-07-08,C2,4488002.791165639
2022-07-15,C2,202398.6757301505
2022-07-15,C2,186210.4931315396
2022-07-15,C2,200301.42469869019
2022-07-09,C2,1823726.4653920538
2022-07-09,C2,2065493.9425581445
2022-07-09,C2,2392871.690744397
2022-07-16,C2,3672551.450927307
2022-07-16,C2,3463548.296382648
2022-07-16,C2,4155956.9987245114
2022-07-11,C2,3776733.469368634
2022-07-11,C2,4696669.791148797
2022-07-11,C2,4936768.004531908
2022-07-17,C2,5367693.29663522
2022-07-17,C2,5472894.734018992
2022-07-17,C2,5794926.405379294
2022-07-12,C2,2664250.838725944
2022-07-12,C2,3129497.400131455
2022-07-12,C2,3668935.6437999695
2022-07-18,C2,329346.21925058
2022-07-18,C2,297259.0143394408
2022-07-18,C2,312492.9489570727
2022-07-13,C2,3274261.2627395606
2022-07-13,C2,3677547.122847083
2022-07-13,C2,3515922.7348270207
2022-07-19,C2,14287942.73282263
2022-07-19,C2,14904241.627757024
2022-07-19,C2,14930722.510400971
2022-07-07,RD,3240819.960600324
2022-07-07,RD,3426598.981976414
2022-07-07,RD,3580213.7394651445
2022-07-14,RD,1004150.0641943129
2022-07-14,RD,882945.5292095954
2022-07-14,RD,1066150.903347158
2022-07-08,RD,231716.0507661293
2022-07-08,RD,288015.94146994274
2022-07-08,RD,382069.9412317575
2022-07-15,RD,5126735.930086403
2022-07-15,RD,5360646.543285996
2022-07-15,RD,5538194.409501009
2022-07-09,RD,677766.5112913708
2022-07-09,RD,582803.0873534349
2022-07-09,RD,731158.6803023266
2022-07-16,RD,9522406.567349916
2022-07-16,RD,7555356.383033968
2022-07-16,RD,7182287.257855365
2022-07-11,RD,105492.82505107563
2022-07-11,RD,81983.67362005424
2022-07-11,RD,128897.63778265171
2022-07-17,RD,5585200.573273342
2022-07-17,RD,5303967.34999118
2022-07-17,RD,4919944.05261984
2022-07-12,RD,913043.9806799007
2022-07-12,RD,715878.3557337874
2022-07-12,RD,858937.4935642374
2022-07-18,RD,4797143.602662976
2022-07-18,RD,3654654.949298207
2022-07-18,RD,5245962.011157041
2022-07-13,RD,3223767.272083588
2022-07-13,RD,3659421.4792045187
2022-07-13,RD,2905597.24739689
2022-07-19,RD,6084045.7360376585
2022-07-19,RD,7320122.783794385
2022-07-19,RD,6692105.43377095
