site,date,LOD,point_shape
Gulf,2022-07-07,3,1
Gulf,2022-07-09,3,1
Gulf,2022-07-14,3,1
Gulf,2022-07-19,3,1
Gulf,2022-07-12,3,1
Gulf,2022-07-17,3,1
Gulf,2022-07-13,3,1
Gulf,2022-07-15,3,1
Gulf,2022-07-18,3,1
Gulf,2022-07-16,3,1
Gulf,2022-07-08,3,1
Gulf,2022-07-11,3,1
Blind Oso,2022-07-07,3,1
Blind Oso,2022-07-14,3,1
Canals,2022-07-07,3,1
Canals,2022-07-14,2,16
Blind Oso,2022-07-08,3,1
Blind Oso,2022-07-15,3,1
Canals,2022-07-08,3,1
Canals,2022-07-15,3,1
Blind Oso,2022-07-09,3,1
Blind Oso,2022-07-16,3,1
Canals,2022-07-09,2,16
Canals,2022-07-16,3,1
Blind Oso,2022-07-11,3,1
Blind Oso,2022-07-17,3,1
Canals,2022-07-11,2,16
Canals,2022-07-17,3,1
Blind Oso,2022-07-12,3,1
Blind Oso,2022-07-18,3,1
Canals,2022-07-12,3,1
Canals,2022-07-18,2,16
Blind Oso,2022-07-13,3,1
Blind Oso,2022-07-19,3,1
Canals,2022-07-13,3,1
Canals,2022-07-19,3,1
