copies_assay,Sample,lod
0.05467109536233544,R7,bad
0.05843935778272315,R9,bad
0.08990222998622885,R14,bad
0.10714911994874692,R19,bad
0.23761993569624587,R7,bad
0.25053746948039296,R12,bad
0.2611346998827754,R17,bad
0.26657903490603163,R13,bad
0.2885360872089523,R17,bad
0.3192303813045913,R17,bad
0.42962496630629704,R15,bad
0.43843211781301833,R15,bad
0.560386989560123,R15,bad
0.6240427716375622,R12,bad
0.6894484644282173,R14,bad
0.7042292594920204,R18,bad
0.927576890871911,R12,bad
1.0902802041886028,R7,bad
1.103028236319435,R14,bad
1.1237772412081903,R16,bad
1.2586668432709265,R16,bad
1.327073759458136,R16,bad
1.943844948150383,R19,bad
2.665754661981555,R13,bad
2.9414128466771214,R13,bad
4.25,R8,bad
4.25,R8,bad
4.25,R8,bad
4.25,R9,bad
4.25,R9,bad
4.25,R11,bad
4.25,R11,bad
4.25,R11,bad
4.25,R18,bad
4.25,R18,bad
4.25,R19,bad
4.25,B7,bad
4.25,B7,bad
0.10037020788404276,B7,bad
1.1701704500463308,B14,bad
4.25,B14,bad
4.25,B14,bad
4.25,C7,bad
0.024959314319888404,C7,bad
4.25,C7,bad
4.25,C14,bad
4.25,C14,bad
10.177461877111813,C14,good
4.25,B8,bad
0.5642675008953739,B8,bad
4.25,B8,bad
4.25,B15,bad
4.25,B15,bad
4.25,B15,bad
4.25,C8,bad
4.25,C8,bad
4.25,C8,bad
4.25,C15,bad
4.25,C15,bad
4.25,C15,bad
4.25,B9,bad
4.25,B9,bad
4.25,B9,bad
4.25,B16,bad
4.25,B16,bad
0.04610711262916137,B16,bad
11.621702782899623,C9,good
4.25,C9,bad
4.25,C9,bad
1.5841761275386583,C16,bad
4.25,C16,bad
1.1114975746548899,C16,bad
4.25,B11,bad
4.25,B11,bad
4.25,B11,bad
4.25,B17,bad
4.25,B17,bad
4.25,B17,bad
1.6549441994155687,C11,bad
50.25489371369837,C11,good
4.25,C11,bad
4.25,C17,bad
0.6148757507462578,C17,bad
1.1700806958095482,C17,bad
4.25,B12,bad
4.25,B12,bad
4.25,B12,bad
4.25,B18,bad
4.25,B18,bad
4.25,B18,bad
0.9943696372413442,C12,bad
4.25,C12,bad
4.25,C12,bad
4.25,C18,bad
4.25,C18,bad
9.834685708416293,C18,good
4.25,B13,bad
4.25,B13,bad
4.25,B13,bad
4.25,B19,bad
4.25,B19,bad
1.0980552560625945,B19,bad
0.9276524087759126,C13,bad
4.25,C13,bad
4.25,C13,bad
0.2664464071941238,C19,bad
1.5120154524334612,C19,bad
0.35051649282434194,C19,bad
