site,date,LOD,point_shape,per_pos
Blind Oso,2022-07-07,5,1,0
Blind Oso,2022-07-14,4,16,0.2
Blind Oso,2022-07-08,2,16,0.6
Blind Oso,2022-07-15,4,16,0.2
Blind Oso,2022-07-09,4,16,0.2
Blind Oso,2022-07-16,3,16,0.4
Blind Oso,2022-07-11,5,1,0
Blind Oso,2022-07-17,3,16,0.4
Blind Oso,2022-07-12,5,1,0
Blind Oso,2022-07-18,4,16,0.2
Blind Oso,2022-07-13,5,1,0
Blind Oso,2022-07-19,5,1,0
Canals,2022-07-07,3,1,0.4
Canals,2022-07-14,3,1,0.4
Gulf,2022-07-07,3,1,0.4
Gulf,2022-07-14,3,1,0.4
Canals,2022-07-08,3,1,0.4
Canals,2022-07-15,2,16,0.6
Gulf,2022-07-08,3,1,0.4
Gulf,2022-07-15,3,1,0.4
Canals,2022-07-09,3,1,0.4
Canals,2022-07-16,3,1,0.4
Gulf,2022-07-09,3,1,0.4
Gulf,2022-07-16,3,1,0.4
Canals,2022-07-11,3,1,0.4
Canals,2022-07-17,3,1,0.4
Gulf,2022-07-11,3,1,0.4
Gulf,2022-07-17,2,16,0.6
Canals,2022-07-12,2,16,0.6
Canals,2022-07-18,3,1,0.4
Gulf,2022-07-12,3,1,0.4
Gulf,2022-07-18,3,1,0.4
Canals,2022-07-13,3,1,0.4
Canals,2022-07-19,3,1,0.4
Gulf,2022-07-13,3,1,0.4
Gulf,2022-07-19,2,16,0.6
