copies_assay,Sample,lod
8.55,BO7,bad
8.55,BO7,bad
8.55,BO7,bad
8.55,BO14,bad
8.55,BO14,bad
8.55,BO14,bad
3504.372226433462,BO8,good
1782.1450940908312,BO8,good
8.55,BO8,bad
4688.145313538853,BO15,good
8.55,BO15,bad
8.55,BO15,bad
8.55,BO9,bad
8.55,BO9,bad
4172.9521124492885,BO9,good
8.55,BO16,bad
8.55,BO16,bad
6352.549899323713,BO16,good
8.55,BO11,bad
8.55,BO11,bad
8.55,BO11,bad
8.55,BO17,bad
8.55,BO17,bad
13879.221539172919,BO17,good
8.55,BO12,bad
8.55,BO12,bad
8.55,BO12,bad
8.55,BO18,bad
2098.356498460356,BO18,good
8.55,BO18,bad
8.55,BO13,bad
8.55,BO13,bad
8.55,BO13,bad
8.55,BO19,bad
8.55,BO19,bad
8.55,BO19,bad
8.55,BO7,bad
8.55,BO7,bad
3274.1317767305136,BO14,good
8.55,BO14,bad
8.55,BO8,bad
3712.866616392268,BO8,good
8.55,BO15,bad
8.55,BO15,bad
8.55,BO9,bad
8.55,BO9,bad
8.55,BO16,bad
3858.0977797545847,BO16,good
8.55,BO11,bad
8.55,BO11,bad
1836.3028010989865,BO17,good
8.55,BO17,bad
8.55,BO12,bad
8.55,BO12,bad
8.55,BO18,bad
8.55,BO18,bad
8.55,BO13,bad
8.55,BO13,bad
8.55,BO19,bad
8.55,BO19,bad
8.55,C27,bad
8.55,C27,bad
8.55,C27,bad
8.55,C214,bad
8.55,C214,bad
8.55,C214,bad
8.55,RD7,bad
8.55,RD7,bad
8.55,RD7,bad
8.55,RD14,bad
8.55,RD14,bad
8.55,RD14,bad
8.55,C28,bad
8.55,C28,bad
8.55,C28,bad
8.55,C215,bad
152.91498780504065,C215,good
8.55,C215,bad
8.55,RD8,bad
8.55,RD8,bad
8.55,RD8,bad
8.55,RD15,bad
8.55,RD15,bad
1.3508749983230441,RD15,bad
8.55,C29,bad
8.55,C29,bad
8.55,C29,bad
8.55,C216,bad
2.022592779093718,C216,bad
8.55,C216,bad
8.55,RD9,bad
8.55,RD9,bad
8.55,RD9,bad
8.55,RD16,bad
8.55,RD16,bad
8.55,RD16,bad
8.55,C211,bad
8.55,C211,bad
8.55,C211,bad
8.55,C217,bad
1.6870740202809111,C217,bad
8.55,C217,bad
8.55,RD11,bad
8.55,RD11,bad
8.55,RD11,bad
131.65888326323008,RD17,good
8.55,RD17,bad
8.55,RD17,bad
8.55,C212,bad
8.55,C212,bad
99.90933065590977,C212,good
8.55,C218,bad
8.55,C218,bad
0.4279604792479266,C218,bad
8.55,RD12,bad
8.55,RD12,bad
8.55,RD12,bad
8.55,RD18,bad
8.55,RD18,bad
8.55,RD18,bad
8.55,C213,bad
8.55,C213,bad
8.55,C213,bad
8.55,C219,bad
8.55,C219,bad
8.55,C219,bad
8.55,RD13,bad
8.55,RD13,bad
8.55,RD13,bad
8.55,RD19,bad
8.55,RD19,bad
131.0593429111811,RD19,good
