site,date,LOD,point_shape,per_pos
Blind Oso,2022-07-07,2,16,0.33
Blind Oso,2022-07-14,1,16,0.66
Canals,2022-07-07,3,1,0
Canals,2022-07-14,1,16,0.66
Gulf,2022-07-07,3,1,0
Gulf,2022-07-14,1,16,0.66
Blind Oso,2022-07-08,2,16,0.33
Blind Oso,2022-07-15,1,16,0.66
Canals,2022-07-08,0,16,1
Canals,2022-07-15,1,16,0.66
Gulf,2022-07-08,0,16,1
Gulf,2022-07-15,0,16,1
Blind Oso,2022-07-09,3,1,0
Blind Oso,2022-07-16,0,16,1
Canals,2022-07-09,1,16,0.66
Canals,2022-07-16,0,16,1
Gulf,2022-07-09,2,16,0.33
Gulf,2022-07-16,1,16,0.66
Blind Oso,2022-07-11,3,1,0
Blind Oso,2022-07-17,0,16,1
Canals,2022-07-11,0,16,1
Canals,2022-07-17,0,16,1
Gulf,2022-07-11,1,16,0.66
Gulf,2022-07-17,1,16,0.66
Blind Oso,2022-07-12,2,16,0.33
Blind Oso,2022-07-18,0,16,1
Canals,2022-07-12,1,16,0.66
Canals,2022-07-18,2,16,0.33
Gulf,2022-07-12,2,16,0.33
Gulf,2022-07-18,3,1,0
Blind Oso,2022-07-13,3,1,0
Blind Oso,2022-07-19,1,16,0.66
Canals,2022-07-13,2,16,0.33
Canals,2022-07-19,3,1,0
Gulf,2022-07-13,1,16,0.66
Gulf,2022-07-19,1,16,0.66
