copies_assay,Sample,lod
0.55,BO_7,bad
0.55,BO_7,bad
64.86478026753551,BO_7,good
34.48385598557494,BO_14,good
0.55,BO_14,bad
36.91192715226446,BO_14,good
0.55,C2_7,bad
0.55,C2_7,bad
0.55,C2_7,bad
3.547299811392856,C2_14,good
1.615220466953294,C2_14,good
0.55,C2_14,bad
0.55,RD_7,bad
0.55,RD_7,bad
0.55,RD_7,bad
3.5723017750386643,RD_14,good
2.6932824774945616,RD_14,good
0.55,RD_14,bad
53.853753828653076,BO_8,good
0.55,BO_8,bad
0.55,BO_8,bad
0.55,BO_15,bad
19.294039240002586,BO_15,good
39.2131161747596,BO_15,good
2.7727492350027014,C2_8,good
18.820267407679495,C2_8,good
3.229650722889181,C2_8,good
0.55,C2_15,bad
1.3794970063855467,C2_15,good
1.3745867861108823,C2_15,good
2.0907840836987543,RD_8,good
13.218052257435083,RD_8,good
3.2235514201794784,RD_8,good
2.344627804323902,RD_15,good
3.9197906724893645,RD_15,good
7.6995942830958715,RD_15,good
0.55,BO_9,bad
0.55,BO_9,bad
0.55,BO_9,bad
114.36750990694864,BO_16,good
65.60689061795863,BO_16,good
42.918190846658334,BO_16,good
5.0119531985132815,C2_9,good
0.55,C2_9,bad
1.7577812064992893,C2_9,good
9.670147083408315,C2_16,good
4.406507301634229,C2_16,good
1.3383112361162335,C2_16,good
0.55,RD_9,bad
9.491742696632532,RD_9,good
0.55,RD_9,bad
2.555800956162654,RD_16,good
0.55,RD_16,bad
5.453507647671286,RD_16,good
0.55,BO_11,bad
0.55,BO_11,bad
0.55,BO_11,bad
20.819372798645087,BO_17,good
100.12079966529303,BO_17,good
42.709436626137666,BO_17,good
6.963642456746734,C2_11,good
2.505960993191821,C2_11,good
8.304673483153906,C2_11,good
1.6954059890535536,C2_17,good
7.664821092272591,C2_17,good
11.940437508905633,C2_17,good
0.55,RD_11,bad
4.7340459035311255,RD_11,good
2.3847189923007073,RD_11,good
0.55,RD_17,bad
3.2188359479069892,RD_17,good
3.076845553905384,RD_17,good
0.55,BO_12,bad
0.55,BO_12,bad
23.00828797985413,BO_12,good
47.08824951995495,BO_18,good
48.414176074255074,BO_18,good
62.23027440238771,BO_18,good
2.238648597952646,C2_12,good
0.55,C2_12,bad
2.5490288238111156,C2_12,good
0.55,C2_18,bad
0.9879766963791418,C2_18,bad
8.443855153208924,C2_18,good
0.55,RD_12,bad
1.6990611621834646,RD_12,good
0.55,RD_12,bad
0.0198283740028009,RD_18,bad
0.55,RD_18,bad
0.55,RD_18,bad
0.55,BO_13,bad
0.55,BO_13,bad
0.55,BO_13,bad
23.723058507443557,BO_19,good
93.3897571939571,BO_19,good
0.55,BO_19,bad
8.204420453735542,C2_13,good
0.55,C2_13,bad
0.55,C2_13,bad
0.55,C2_19,bad
0.55,C2_19,bad
0.55,C2_19,bad
0.55,RD_13,bad
4.811226035772274,RD_13,good
6.164128125958284,RD_13,good
9.188535277362694,RD_19,good
0.55,RD_19,bad
