"","day","copies_mL","site","date"
"1",2,0.333333333333333,"BO","2022-02-16"
"2",2,0.333333333333333,"BO","2022-02-16"
"3",2,0.333333333333333,"BO","2022-02-16"
"4",6,0.333333333333333,"BO","2022-06-13"
"5",6,0.333333333333333,"BO","2022-06-13"
"6",6,0.333333333333333,"BO","2022-06-13"
"7",2,0.333333333333333,"C2","2022-02-16"
"8",2,0.333333333333333,"C2","2022-02-16"
"9",2,0.333333333333333,"C2","2022-02-16"
"10",6,0.333333333333333,"C2","2022-06-13"
"11",6,0.333333333333333,"C2","2022-06-13"
"12",6,0.333333333333333,"C2","2022-06-13"
"13",2,0.333333333333333,"RD","2022-02-16"
"14",2,0.333333333333333,"RD","2022-02-16"
"15",2,0.333333333333333,"RD","2022-02-16"
"16",6,0.333333333333333,"RD","2022-06-13"
"17",6,0.333333333333333,"RD","2022-06-13"
"18",6,0.333333333333333,"RD","2022-06-13"
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",3,0.333333333333333,"BO","2022-03-09"
"22",3,0.333333333333333,"BO","2022-03-09"
"23",3,0.333333333333333,"BO","2022-03-09"
"24",8,1.11111111111111,"BO","2022-08-09"
"25",8,1.11111111111111,"BO","2022-08-09"
"26",8,1.11111111111111,"BO","2022-08-09"
"27",3,0.333333333333333,"C2","2022-03-09"
"28",3,0.333333333333333,"C2","2022-03-09"
"29",3,0.333333333333333,"C2","2022-03-09"
"30",8,0.333333333333333,"C2","2022-08-09"
"31",8,0.333333333333333,"C2","2022-08-09"
"32",8,0.333333333333333,"C2","2022-08-09"
"33",3,0.333333333333333,"RD","2022-03-09"
"34",3,0.333333333333333,"RD","2022-03-09"
"35",3,0.333333333333333,"RD","2022-03-09"
"36",8,41.5616813202993,"RD","2022-08-09"
"37",8,45.6641398094562,"RD","2022-08-09"
"38",8,54.0701023976034,"RD","2022-08-09"
"39",NA,NA,NA,NA
"40",4,0.333333333333333,"BO","2022-04-20"
"41",4,0.333333333333333,"BO","2022-04-20"
"42",4,0.333333333333333,"BO","2022-04-20"
"43",9,0.740740740740741,"BO","2022-09-13"
"44",9,0.740740740740741,"BO","2022-09-13"
"45",9,0.740740740740741,"BO","2022-09-13"
"46",4,0.333333333333333,"C2","2022-04-20"
"47",4,0.333333333333333,"C2","2022-04-20"
"48",4,0.333333333333333,"C2","2022-04-20"
