date,site,copies_mL,copies_uL1
2022-07-07,BO,3.54,3.54
2022-07-07,C2,3.54,3.54
2022-07-07,RD,3.54,3.54
2022-07-08,BO,3.54,3.54
2022-07-08,C2,3.54,3.54
2022-07-08,RD,3.54,3.54
2022-07-09,BO,3.54,3.54
2022-07-09,C2,5.588250773027673,5.588250773027673
2022-07-09,RD,3.54,3.54
2022-07-11,BO,3.54,3.54
2022-07-11,C2,16.319692698249547,16.319692698249547
2022-07-11,RD,3.54,3.54
2022-07-12,BO,7.08,3.54
2022-07-12,C2,3.54,3.54
2022-07-12,RD,3.54,3.54
2022-07-13,BO,7.08,3.54
2022-07-13,C2,3.54,3.54
2022-07-13,RD,3.54,3.54
2022-07-14,BO,7.08,3.54
2022-07-14,C2,5.187072743642171,5.187072743642171
2022-07-14,RD,3.54,3.54
2022-07-15,BO,7.08,3.54
2022-07-15,C2,3.54,3.54
2022-07-15,RD,3.54,3.54
2022-07-16,BO,11.8,3.54
2022-07-16,C2,3.54,3.54
2022-07-16,RD,3.54,3.54
2022-07-17,BO,11.8,3.54
2022-07-17,C2,3.54,3.54
2022-07-17,RD,3.54,3.54
2022-07-18,BO,11.8,3.54
2022-07-18,C2,5.091857141226748,5.091857141226748
2022-07-18,RD,3.54,3.54
2022-07-19,BO,11.8,3.54
2022-07-19,C2,3.54,3.54
2022-07-19,RD,3.54,3.54
2022-02-16,BO,3.54,3.54
2022-02-16,C2,3.54,3.54
2022-02-16,RD,3.54,3.54
2022-03-09,BO,3.54,3.54
2022-03-09,C2,3.54,3.54
2022-03-09,RD,3.54,3.54
2022-04-20,BO,3.54,3.54
2022-04-20,C2,3.54,3.54
2022-04-20,RD,3.54,3.54
2022-05-11,BO,3.54,3.54
2022-05-11,C2,3.54,3.54
2022-05-11,RD,3.54,3.54
2022-05-20,BO,3.54,3.54
2022-05-20,C2,3.54,3.54
2022-05-20,RD,3.54,3.54
2022-05-24,BO,3.54,3.54
2022-05-24,C2,3.54,3.54
2022-05-24,RD,3.54,3.54
2022-06-14,BO,3.54,3.54
2022-06-14,C2,3.54,3.54
2022-06-14,RD,3.54,3.54
2022-08-09,BO,11.8,3.54
2022-08-09,C2,3.54,3.54
2022-08-09,RD,3.54,3.54
2022-09-13,BO,7.866666666666667,3.54
2022-09-13,C2,3.54,3.54
2022-09-13,RD,3.54,3.54
2022-10-18,BO,5.9,3.54
2022-10-18,C2,3.54,3.54
2022-10-18,RD,3.54,3.54
2022-11-15,BO,72.8974418271284,21.86923254813852
2022-11-15,C2,36.82599297635477,36.82599297635477
2022-11-15,RD,3.54,3.54
2022-12-14,BO,5.9,3.54
2022-12-14,C2,3.54,3.54
2022-12-14,RD,3.54,3.54
