date,copies_mL,site
2022-07-11,5.7,C2
2022-07-12,26.00207347909106,C2
2022-07-13,5.7,C2
2022-07-14,5.7,C2
2022-07-15,37.78110840112015,C2
2022-07-16,5.7,C2
2022-07-17,5.7,C2
2022-07-18,5.7,C2
2022-07-19,5.7,C2
2022-07-07,5.7,C2
2022-07-08,5.7,C2
2022-07-09,5.7,C2
2022-07-11,5.7,RD
2022-07-12,5.7,RD
2022-07-13,5.7,RD
2022-07-14,5.7,RD
2022-07-15,5.7,RD
2022-07-16,5.7,RD
2022-07-17,33.05752961405113,RD
2022-07-18,5.7,RD
2022-07-19,32.924298424706905,RD
2022-07-07,5.7,RD
2022-07-08,5.7,RD
2022-07-09,5.7,RD
2022-07-11,285,BO
2022-07-12,570,BO
2022-07-13,570,BO
2022-07-14,1329.101807128137,BO
2022-07-15,1706.172083610361,BO
2022-07-16,5108.065635145911,BO
2022-07-17,7554.677484565291,BO
2022-07-18,1692.6028882046026,BO
2022-07-19,950,BO
2022-07-07,285,BO
2022-07-08,1313.9178582555414,BO
2022-07-09,784.3936149932385,BO
2022-10-18,961.7854642208666,BO
2022-11-15,19,BO
2022-12-14,9.5,BO
2022-02-16,7.666280902187254,BO
2022-03-09,5.7,BO
2022-04-20,5.7,BO
2022-05-11,5.7,BO
2022-05-20,34.4037122131012,BO
2022-05-24,93.4747619903548,BO
2022-06-14,38.12771204636585,BO
2022-08-09,19,BO
2022-09-13,30.887092107102905,BO
2022-10-18,5.7,C2
2022-11-15,5.7,C2
2022-12-14,5.7,C2
2022-02-16,5.7,C2
2022-03-09,5.7,C2
2022-04-20,5.7,C2
2022-05-11,5.7,C2
2022-05-20,5.7,C2
2022-05-24,5.7,C2
2022-06-14,5.7,C2
2022-08-09,5.7,C2
2022-09-13,5.7,C2
2022-10-18,5.7,RD
2022-11-15,5.7,RD
2022-12-14,14.737006020040614,RD
2022-02-16,5.7,RD
2022-03-09,5.7,RD
2022-04-20,5.7,RD
2022-05-11,5.7,RD
2022-05-20,5.7,RD
2022-05-24,5.7,RD
2022-06-14,5.7,RD
2022-08-09,5.7,RD
2022-09-13,5.7,RD
