date,copies_mL,site,copies_uL
2022-02-16,1.5,BO,1.5
2022-02-16,1.5,C2,1.5
2022-02-16,1.5,RD,1.5
2022-03-09,1.5,BO,1.5
2022-03-09,1.5,C2,1.5
2022-03-09,1.5,RD,1.5
2022-04-20,1.5,BO,1.5
2022-04-20,1.5,C2,1.5
2022-04-20,1.5,RD,1.5
2022-06-13,1.5,BO,1.5
2022-06-13,1.5,C2,1.5
2022-06-13,1.5,RD,1.5
2022-08-09,5,BO,1.5
2022-08-09,1.5,C2,1.5
2022-08-09,47.098641175786284,RD,47.098641175786284
2022-09-13,3.3333333333333335,BO,1.5
2022-09-13,1.5,C2,1.5
2022-09-13,1.5,RD,1.5
2022-10-18,2.5,BO,1.5
2022-10-18,7.155484675478661,C2,7.155484675478661
2022-10-18,1.5,RD,1.5
2022-11-15,5,BO,1.5
2022-11-15,1.5,C2,1.5
2022-11-15,1.5,RD,1.5
2022-12-14,2.5,BO,1.5
2022-12-14,1.5,C2,1.5
2022-12-14,1.5,RD,1.5
2022-05-11,1.5,BO,1.5
2022-05-11,1.5,C2,1.5
2022-05-11,1.5,RD,1.5
2022-05-20,1.5,BO,1.5
2022-05-20,1.5,C2,1.5
2022-05-20,1.5,RD,1.5
2022-05-24,1.5,BO,1.5
2022-05-24,1.5,C2,1.5
2022-05-24,1.5,RD,1.5
