date,copies_mL,site,copies_uL
2022-07-11,15,BO,1.5
2022-07-12,30,BO,1.5
2022-07-13,30,BO,1.5
2022-07-14,40.50662619570248,BO,2.0253313097851238
2022-07-15,41.78506454153311,BO,2.0892532270766555
2022-07-16,206.38202904774596,BO,6.191460871432379
2022-07-17,148.91688545502842,BO,4.467506563650852
2022-07-18,146.04879629314607,BO,4.381463888794381
2022-07-19,119.80533073514547,BO,3.594159922054364
2022-07-07,28.017994518759863,BO,2.8017994518759863
2022-07-08,24.959376063514743,BO,2.4959376063514744
2022-07-09,15,BO,1.5
2022-07-11,4.741198872194622,C2,4.741198872194622
2022-07-12,1.5,C2,1.5
2022-07-13,3.2790056815932065,C2,3.2790056815932065
2022-07-14,1.5,C2,1.5
2022-07-15,1.5,C2,1.5
2022-07-16,4.410181773622929,C2,4.410181773622929
2022-07-17,5.945905166993952,C2,5.945905166993952
2022-07-18,3.3455153203358123,C2,3.3455153203358123
2022-07-19,1.5,C2,1.5
2022-07-07,1.5,C2,1.5
2022-07-08,6.227852057688748,C2,6.227852057688748
2022-07-09,2.392209221809245,C2,2.392209221809245
2022-07-11,2.315012750980868,RD,2.315012750980868
2022-07-12,1.5,RD,1.5
2022-07-13,3.548709489369599,RD,3.548709489369599
2022-07-14,1.5,RD,1.5
2022-07-15,3.7276069321070104,RD,3.7276069321070104
2022-07-16,2.514863235464246,RD,2.514863235464246
2022-07-17,1.5,RD,1.5
2022-07-18,1.5,RD,1.5
2022-07-19,4.57855636556779,RD,4.57855636556779
2022-07-07,1.5,RD,1.5
2022-07-08,4.671681182620857,RD,4.671681182620857
2022-07-09,3.636595193509037,RD,3.636595193509037
