date,hf_copies_mL,copies_uL,type,site
2022-02-16,7.064993433641263,7.064993433641263,Monthly,BO
2022-03-09,5.019442488150916,5.019442488150916,Monthly,BO
2022-04-20,72948.97751256541,72948.97751256541,Monthly,BO
2022-05-11,1427457.6423733311,1427457.6423733311,Monthly,BO
2022-05-20,6150507.129585119,6150507.129585119,Monthly,BO
2022-05-24,11612477.68721342,11612477.68721342,Monthly,BO
2022-06-14,1.5,1.5,Monthly,BO
2022-07-07,1.5,1.5,Daily ,BO
2022-07-08,1.5,1.5,Daily ,BO
2022-07-09,1.5,1.5,Daily ,BO
2022-07-11,1.5,1.5,Daily ,BO
2022-07-12,3,1.5,Daily ,BO
2022-07-13,24712.19075261026,12356.09537630513,Daily ,BO
2022-07-14,3,1.5,Daily ,BO
2022-07-15,3,1.5,Daily ,BO
2022-07-16,120322.50885640792,36096.75265692237,Daily ,BO
2022-07-17,26018.269370235357,7805.480811070607,Daily ,BO
2022-07-18,7466524.693944716,2239957.408183415,Daily ,BO
2022-07-19,1378068.6035874593,413420.5810762377,Daily ,BO
2022-08-09,23.586801032319823,7.076040309695947,Monthly,BO
2022-09-13,3.3333333333333335,1.5,Monthly,BO
2022-10-18,7219770.016659418,4331862.0099956505,Monthly,BO
2022-11-15,78829.53643329725,23648.860929989172,Monthly,BO
2022-12-14,19557237.50244479,11734342.501466872,Monthly,BO
