site,date,tot_bacteria
BO,2022-07-07,148442822.71131885
BO,2022-07-08,56902268.3337005
BO,2022-07-09,43870819.483581096
BO,2022-07-11,18766206.15125849
BO,2022-07-12,23973917.0523809
BO,2022-07-13,41979732.17619453
BO,2022-07-14,38754249.2022689
BO,2022-07-15,21819867.037604015
BO,2022-07-16,254367643.32171193
BO,2022-07-17,77076254.4977984
BO,2022-07-18,103714640.53377946
BO,2022-07-19,124358514.10086125
BO,NA,NA
C2,2022-07-07,7817031.800302413
C2,2022-07-08,3917428.4050959195
C2,2022-07-09,2094030.699564865
C2,2022-07-11,4470057.088349779
C2,2022-07-12,3154227.9608857897
C2,2022-07-13,3489243.706804555
C2,2022-07-14,4046775.529887941
C2,2022-07-15,196303.53118679344
C2,2022-07-16,3764018.915344822
C2,2022-07-17,5545171.478677835
C2,2022-07-18,313032.7275156978
C2,2022-07-19,14707635.623660209
C2,NA,44.46165652820437
RD,2022-07-07,1124263.4261201376
RD,2022-07-08,263448.16298128036
RD,2022-07-09,375864.41155848105
RD,2022-07-11,56445.30323523291
RD,2022-07-12,392385.7236363864
RD,2022-07-13,1131655.1196091138
RD,2022-07-14,702502.4208656391
RD,2022-07-15,4241821.211675523
RD,2022-07-16,4527439.784565554
RD,2022-07-17,2766258.740415602
RD,2022-07-18,881591.0888222017
RD,2022-07-19,6952752.457288479
RD,NA,31.199184174655432
