site,date,tot_bacteria
BO,2022-02-16,13952952.730111504
BO,2022-03-09,3399926.4372146437
BO,2022-04-20,9900162.431658518
BO,2022-05-11,85690487.09011896
BO,2022-05-20,16094432.338719113
BO,2022-05-24,48854811.30016413
BO,2022-06-14,84455480.36303687
BO,2022-08-09,161089852.28416467
BO,2022-09-13,167576401.4882409
BO,2022-10-18,85175251.766327
BO,2022-11-15,27652139.84563492
BO,2022-12-14,28516943.615080103
C2,2022-02-16,216062.2474707772
C2,2022-03-09,593692.6941380284
C2,2022-04-20,245372.58435241602
C2,2022-05-11,283988.0819441478
C2,2022-05-20,1091546.752288243
C2,2022-05-24,1682712.6711492504
C2,2022-06-14,2907571.3006253014
C2,2022-08-09,18197932.64234622
C2,2022-09-13,6033864.00368678
C2,2022-10-18,4762871.472901202
C2,2022-11-15,636487.3791251678
C2,2022-12-14,16003221.289306754
RD,2022-02-16,1562844.2125498222
RD,2022-03-09,794692.1578604395
RD,2022-04-20,4719805.456172336
RD,2022-05-11,532655.2641090307
RD,2022-05-20,3688637.803442241
RD,2022-05-24,4594058.707390904
RD,2022-06-14,4314046.952353008
RD,2022-08-09,4389786.678188591
RD,2022-09-13,1743688.3730793574
RD,2022-10-18,4685156.69660814
RD,2022-11-15,7224854.019298389
RD,2022-12-14,42180.6992763163
