"","date","site","copies_mL","copies_uL1"
"1",2022-07-07,"BO",3.54,3.54
"2",2022-07-07,"C2",3.54,3.54
"3",2022-07-07,"RD",3.54,3.54
"4",2022-07-08,"BO",3.54,3.54
"5",2022-07-08,"C2",3.54,3.54
"6",2022-07-08,"RD",3.54,3.54
"7",2022-07-09,"BO",3.54,3.54
"8",2022-07-09,"C2",5.58825077302767,5.58825077302767
"9",2022-07-09,"RD",3.54,3.54
"10",2022-07-11,"BO",3.54,3.54
"11",2022-07-11,"C2",16.3196926982495,16.3196926982495
"12",2022-07-11,"RD",3.54,3.54
"13",2022-07-12,"BO",7.08,3.54
"14",2022-07-12,"C2",3.54,3.54
"15",2022-07-12,"RD",3.54,3.54
"16",2022-07-13,"BO",7.08,3.54
"17",2022-07-13,"C2",3.54,3.54
"18",2022-07-13,"RD",3.54,3.54
"19",2022-07-14,"BO",7.08,3.54
"20",2022-07-14,"C2",5.18707274364217,5.18707274364217
"21",2022-07-14,"RD",3.54,3.54
"22",2022-07-15,"BO",7.08,3.54
"23",2022-07-15,"C2",3.54,3.54
"24",2022-07-15,"RD",3.54,3.54
"25",2022-07-16,"BO",11.8,3.54
"26",2022-07-16,"C2",3.54,3.54
"27",2022-07-16,"RD",3.54,3.54
"28",2022-07-17,"BO",11.8,3.54
"29",2022-07-17,"C2",3.54,3.54
"30",2022-07-17,"RD",3.54,3.54
"31",2022-07-18,"BO",11.8,3.54
"32",2022-07-18,"C2",5.09185714122675,5.09185714122675
"33",2022-07-18,"RD",3.54,3.54
"34",2022-07-19,"BO",11.8,3.54
"35",2022-07-19,"C2",3.54,3.54
"36",2022-07-19,"RD",3.54,3.54
