"","date","site","copies_mL","copies_uL1"
"1",2022-02-16,"BO",3.54,3.54
"2",2022-02-16,"C2",3.54,3.54
"3",2022-02-16,"RD",3.54,3.54
"4",2022-03-09,"BO",3.54,3.54
"5",2022-03-09,"C2",3.54,3.54
"6",2022-03-09,"RD",3.54,3.54
"7",2022-04-20,"BO",3.54,3.54
"8",2022-04-20,"C2",3.54,3.54
"9",2022-04-20,"RD",3.54,3.54
"10",2022-05-11,"BO",3.54,3.54
"11",2022-05-11,"C2",3.54,3.54
"12",2022-05-11,"RD",3.54,3.54
"13",2022-05-20,"BO",3.54,3.54
"14",2022-05-20,"C2",3.54,3.54
"15",2022-05-20,"RD",3.54,3.54
"16",2022-05-24,"BO",3.54,3.54
"17",2022-05-24,"C2",3.54,3.54
"18",2022-05-24,"RD",3.54,3.54
"19",2022-06-14,"BO",3.54,3.54
"20",2022-06-14,"C2",3.54,3.54
"21",2022-06-14,"RD",3.54,3.54
"22",2022-08-09,"BO",11.8,3.54
"23",2022-08-09,"C2",3.54,3.54
"24",2022-08-09,"RD",3.54,3.54
"25",2022-09-13,"BO",7.86666666666667,3.54
"26",2022-09-13,"C2",3.54,3.54
"27",2022-09-13,"RD",3.54,3.54
"28",2022-10-18,"BO",5.9,3.54
"29",2022-10-18,"C2",3.54,3.54
"30",2022-10-18,"RD",3.54,3.54
"31",2022-11-15,"BO",72.8974418271284,21.8692325481385
"32",2022-11-15,"C2",36.8259929763548,36.8259929763548
"33",2022-11-15,"RD",3.54,3.54
"34",2022-12-14,"BO",5.9,3.54
"35",2022-12-14,"C2",3.54,3.54
"36",2022-12-14,"RD",3.54,3.54
