"","date","copies_mL","site"
"1","2022-07-11",4.72363419433902,"BO"
"2","2022-07-12",0,"BO"
"3","2022-07-13",0,"BO"
"4","2022-07-14",4776.84717658366,"BO"
"5","2022-07-15",0,"BO"
"6","2022-07-16",9283.42939244893,"BO"
"7","2022-07-17",21679.2573023214,"BO"
"8","2022-07-18",0,"BO"
"9","2022-07-19",20116.1229373776,"BO"
"10","2022-07-07",165.267657826346,"BO"
"11","2022-07-08",17707.882693039,"BO"
"12","2022-07-09",4105.70250906733,"BO"
"13","2022-07-11",0,"C2"
"14","2022-07-12",222.020734790911,"C2"
"15","2022-07-13",0,"C2"
"16","2022-07-14",0,"C2"
"17","2022-07-15",339.811084011201,"C2"
"18","2022-07-16",4.49465062020826,"C2"
"19","2022-07-17",3.74905337840202,"C2"
"20","2022-07-18",0.951023287217615,"C2"
"21","2022-07-19",0,"C2"
"22","2022-07-07",0,"C2"
"23","2022-07-08",0,"C2"
"24","2022-07-09",0,"C2"
"25","2022-07-11",0,"RD"
"26","2022-07-12",0,"RD"
"27","2022-07-13",0,"RD"
"28","2022-07-14",0,"RD"
"29","2022-07-15",3.00194444071788,"RD"
"30","2022-07-16",0,"RD"
"31","2022-07-17",292.575296140511,"RD"
"32","2022-07-18",0,"RD"
"33","2022-07-19",291.242984247069,"RD"
"34","2022-07-07",0,"RD"
"35","2022-07-08",0,"RD"
"36","2022-07-09",0,"RD"
