"","date","...1","copies_mL","Temperature","Salinity","DO_mgL","pH","Chl_a","DOC","TDN","TOC","TN","Ammonium","NO2NO3","Nitrite","Orthophosphate","Silicate","DIN","DON","DIN_DIP","cfu_tot","cfu_gre","cfu_yel","hf_copies_mL","type","Vv","Vp","Va","Vc","tot_bacteria","tss","VAI","dust","dust_lag"
"1",2022-07-07,39,110.458416531895,29.3,35.51,5.87,7.87,2.82,144.95,17,161.35,23.85,0.2945,0.145,0.108,0.364,13.7675,0.4395,16.5605,1.2116612633854,546.666666666667,320,226.666666666667,NA,NA,0.458333333333333,0.71055926631519,0.38404756534644,5.7,853960.292347463,43,5.0302164232288e-05,0.1,0.14
"2",2022-07-08,42,667.440960731971,29.5,36.74,5.93,8.03,2.72,304.35,12.25,509.6,17.4,0.3145,0.1415,0.07,0.451,10.7395,0.456,11.794,1.00963732200456,340,240,100,NA,NA,5.1478854892537,1.98799664487965,3.54166666666667,5.7,75141.0632996252,64.5333333333332,0.00345430796717623,0.1,0.1
"3",2022-07-09,45,810.838155157402,29.3,35.48,6.03,8.04,3.83,270.85,11.1,306,16.55,1.2025,0.1625,0.0875,0.403,10.6395,1.365,9.735,3.38477970957226,400,273.333333333333,126.666666666667,NA,NA,2.94215074906459,2.92277077834666,2.37734426605076,5.7,165968.258756234,27.1176470588234,0.00189991719857117,0.13,0.1
"4",2022-07-11,48,173.847659413386,29.6,36.7,5.93,8.11,3.47,155.5,9.45,197.45,17.4,0.4235,0.1665,0.123,0.3465,9.2635,0.59,8.86,1.703611898017,260,140,120,NA,NA,2.1302124710644,1.17534709401152,3.54166666666667,5.7,26355.4135484546,74.5833333333333,0.00256521958879184,0.09,0.13
"5",2022-07-12,51,11770.2706550064,29.6,35.35,5.83,7.89,3.72,125.85,10.5,137.7,19.8,0.863,0.154,0.084,0.426,5.5995,1.017,9.483,2.3741380834512,673.333333333333,253.333333333333,420,NA,NA,0.777516989495407,1.54708179831504,0.500599203330518,5.7,207312.554675467,110.083333333333,0.0220793549339664,0.06,0.09
"6",2022-07-13,54,12901.106386623,28.5,36.44,6.1,8.22,5.13,140.85,16.5,204.5,28.6,1.1575,0.2945,0.226,0.558,0.4585,1.452,15.048,2.60224940006361,60,40,20,NA,NA,3.20148726714738,1.38712208247838,1.63159626210131,5.7,815723.068734389,65.1999999999999,0.00615049043042916,0.2,0.06
"7",2022-07-14,57,24476.5981571358,27.8,36.41,6.46,7.79,4.595,99.4,13,176.3,28.55,1.8725,0.131,0.052,0.3345,0.1505,2.0035,10.9965,5.99852577430456,340,160,180,NA,NA,1.8932178479259,0.123849340900389,0.522883036314967,5.7,246094.776906562,46.7,0.0386789072923822,0.17,0.2
"8",2022-07-15,60,27580.5862160399,27.3,35.25,5.95,8.08,5.32,129.35,9.8,229.5,17.05,2.2355,0.172,0.1425,0.428,2.4435,2.4075,7.3925,5.62100262123198,1550,760,790,NA,NA,3.87889243330809,1.45855197773271,0.396790020466511,4.10019444407179,1335455.64241676,84.5,0.00803155356702799,0.17,0.17
"9",2022-07-16,63,17966.1159996938,26.7,36.29,6.04,7.83,3.69,108.15,12.4,244.4,28.05,1.532125,0.187875,0.126125,0.436625,2.163,1.72,10.68,3.93666620720889,1093.33333333333,373.333333333333,720,NA,NA,2.37758572328721,1.85810263861055,1.0304216233159,5.7,2021661.75286391,104.625,0.00345598015042437,0.57,0.17
"10",2022-07-17,66,17272.3176107653,27.3,36.73,5.95,7.78,4.75,117.55,13.55,195.9,27.1,1.067,0.1575,0.04,0.4795,8.8415,1.2245,12.3255,2.57639138083443,1503.33333333333,580,923.333333333333,NA,NA,1.90157819494788,0.281655058977013,0.241361435665644,33.0575296140511,1317416.90016767,123.142857142857,0.00509862322498794,0.55,0.57
"11",2022-07-18,69,37287.4030747411,28.1,36.79,5.82,7.6,5.77,199.35,16.05,591.5,25.4,1.571,0.2355,0.1495,0.5805,14.568,1.8065,14.2435,3.10979765866413,960,613.333333333333,346.666666666667,NA,NA,0.311063437223,1.80744426396817,2.55673034985889,5.7,1141470.94910382,90.625,0.0127034829600112,0.55,0.55
"12",2022-07-19,72,26846.0294894139,28.3,36.85,5.81,7.63,7.375,96.05,10.2,160.35,17.6,1.446,0.1525,0.061,0.3755,13.274,1.5985,8.6015,5.44105691056911,1160,793.333333333333,366.666666666667,NA,NA,4.05772303223446,0.146980297076703,1.75027613002754,32.9242984247069,1674680.39831089,124.571428571429,0.00623409851201853,0.17,0.55
