"","date","site","Type","copies_mL"
"1","2022-02-16","BO","Monthly",2570.63951250451
"2","2022-02-16","C2","Monthly",40.686073732383
"3","2022-02-16","RD","Monthly",2656.20244485524
"4","2022-03-09","BO","Monthly",1203.54468726857
"5","2022-03-09","C2","Monthly",519.39589198143
"6","2022-03-09","RD","Monthly",210.04105221223
"7","2022-04-20","BO","Monthly",6672.14305151421
"8","2022-04-20","C2","Monthly",114.221257356361
"9","2022-04-20","RD","Monthly",13663.9894571544
"10","2022-05-11","BO","Monthly",7143.42921437924
"11","2022-05-11","C2","Monthly",352.539441385157
"12","2022-05-11","RD","Monthly",490.140545926227
"13","2022-05-20","BO","Monthly",1379.6875285641
"14","2022-05-20","C2","Monthly",811.048036141769
"15","2022-05-20","RD","Monthly",2490.43753220898
"16","2022-05-24","BO","Monthly",2077.6014406434
"17","2022-05-24","C2","Monthly",626.389293519317
"18","2022-05-24","RD","Monthly",8156.75040421881
"19","2022-06-14","BO","Monthly",9174.25046808863
"20","2022-06-14","C2","Monthly",1717.3539804878
"21","2022-06-14","RD","Monthly",5717.78095359885
"22","2022-08-09","BO","Monthly",1995.78010539855
"23","2022-08-09","C2","Monthly",4950.34470271618
"24","2022-08-09","RD","Monthly",9413.66744509335
"25","2022-09-13","BO","Monthly",2749.93031945169
"26","2022-09-13","C2","Monthly",2488.35552417835
"27","2022-09-13","RD","Monthly",10381.3212690992
"28","2022-10-18","BO","Monthly",22100.3337824706
"29","2022-10-18","C2","Monthly",4225.14863713546
"30","2022-10-18","RD","Monthly",8402.94091654301
"31","2022-11-15","BO","Monthly",10203.4124876404
"32","2022-11-15","C2","Monthly",683.306020110939
"33","2022-11-15","RD","Monthly",7635.54118449387
"34","2022-12-14","BO","Monthly",5510.61949181175
"35","2022-12-14","C2","Monthly",6689.36228925086
"36","2022-12-14","RD","Monthly",130.014521252176
"37","2022-07-07","BO","Daily",6365.57902015401
"38","2022-07-07","C2","Daily",5414.39119392003
"39","2022-07-07","RD","Daily",110.458416531895
"40","2022-07-08","BO","Daily",8396.58643046235
"41","2022-07-08","C2","Daily",3572.60251734271
"42","2022-07-08","RD","Daily",667.440960731971
"43","2022-07-09","BO","Daily",7273.2062792551
"44","2022-07-09","C2","Daily",1088.44959084762
"45","2022-07-09","RD","Daily",810.838155157402
"46","2022-07-11","BO","Daily",11468.6951479198
"47","2022-07-11","C2","Daily",1651.79253084125
"48","2022-07-11","RD","Daily",173.847659413386
"49","2022-07-12","BO","Daily",4740.09904041086
"50","2022-07-12","C2","Daily",3585.76351859162
"51","2022-07-12","RD","Daily",11770.2706550064
"52","2022-07-13","BO","Daily",7561.15233038067
"53","2022-07-13","C2","Daily",4196.86695287671
"54","2022-07-13","RD","Daily",12901.106386623
"55","2022-07-14","BO","Daily",21454.0456972746
"56","2022-07-14","C2","Daily",2690.51797441087
"57","2022-07-14","RD","Daily",24476.5981571358
"58","2022-07-15","BO","Daily",8646.41466549436
"59","2022-07-15","C2","Daily",2288.78192095476
"60","2022-07-15","RD","Daily",27580.5862160399
"61","2022-07-16","BO","Daily",8111.82480352096
"62","2022-07-16","C2","Daily",5164.04077112232
"63","2022-07-16","RD","Daily",17966.1159996938
"64","2022-07-17","BO","Daily",17266.1273127805
"65","2022-07-17","C2","Daily",2094.12677012578
"66","2022-07-17","RD","Daily",17272.3176107653
"67","2022-07-18","BO","Daily",12553.5210897053
"68","2022-07-18","C2","Daily",7196.14047517868
"69","2022-07-18","RD","Daily",37287.4030747411
"70","2022-07-19","BO","Daily",17833.5621055813
"71","2022-07-19","C2","Daily",7144.40110035979
"72","2022-07-19","RD","Daily",26846.0294894139
