"","date","copies_mL","site"
"1","2022-07-11",1.25107177422479,"BO"
"2","2022-07-12",0,"BO"
"3","2022-07-13",3.26329563186979,"BO"
"4","2022-07-14",0,"BO"
"5","2022-07-15",0,"BO"
"6","2022-07-16",0,"BO"
"7","2022-07-17",0,"BO"
"8","2022-07-18",0,"BO"
"9","2022-07-19",0,"BO"
"10","2022-07-07",0,"BO"
"11","2022-07-08",0,"BO"
"12","2022-07-09",0,"BO"
"13","2022-07-11",10.5026116833726,"C2"
"14","2022-07-12",9.79344108273877,"C2"
"15","2022-07-13",0,"C2"
"16","2022-07-14",2.62166931925338,"C2"
"17","2022-07-15",0,"C2"
"18","2022-07-16",2.12484340460422,"C2"
"19","2022-07-17",1.85948699637273,"C2"
"20","2022-07-18",1.79605007877813,"C2"
"21","2022-07-19",0,"C2"
"22","2022-07-07",5.49476647398896,"C2"
"23","2022-07-08",0,"C2"
"24","2022-07-09",0,"C2"
"25","2022-07-11",0,"RD"
"26","2022-07-12",23.1842985662993,"RD"
"27","2022-07-13",9.25700218106525,"RD"
"28","2022-07-14",7.53339440471332,"RD"
"29","2022-07-15",1.29410016542416,"RD"
"30","2022-07-16",0,"RD"
"31","2022-07-17",34.9361703184811,"RD"
"32","2022-07-18",0,"RD"
"33","2022-07-19",2.68844633140552,"RD"
"34","2022-07-07",0,"RD"
"35","2022-07-08",0,"RD"
"36","2022-07-09",0,"RD"
