"","date","copies_mL","site","copies_uL"
"1","2022-07-11",285,"BO",5.7
"2","2022-07-12",570,"BO",5.7
"3","2022-07-13",570,"BO",5.7
"4","2022-07-14",1329.10180712814,"BO",13.2910180712814
"5","2022-07-15",1706.17208361036,"BO",17.0617208361036
"6","2022-07-16",5108.06563514591,"BO",30.6483938108755
"7","2022-07-17",7554.67748456529,"BO",45.3280649073917
"8","2022-07-18",1692.6028882046,"BO",10.1556173292276
"9","2022-07-19",950,"BO",5.7
"10","2022-07-07",285,"BO",5.7
"11","2022-07-08",1313.91785825554,"BO",26.2783571651108
"12","2022-07-09",784.393614993239,"BO",15.6878722998648
