"","date","copies_mL","site","copies_uL"
"1","2022-07-11",57,"BO",5.7
"2","2022-07-12",114,"BO",5.7
"3","2022-07-13",114,"BO",5.7
"4","2022-07-14",553.684717658366,"BO",27.6842358829183
"5","2022-07-15",114,"BO",5.7
"6","2022-07-16",1055.00960591156,"BO",31.6502881773468
"7","2022-07-17",2231.25906356547,"BO",66.9377719069642
"8","2022-07-18",190,"BO",5.7
"9","2022-07-19",2099.94360921888,"BO",62.9983082765663
"10","2022-07-07",57,"BO",5.7
"11","2022-07-08",1770.7882693039,"BO",177.07882693039
"12","2022-07-09",448.570250906733,"BO",44.8570250906733
"13","2022-07-11",5.7,"C2",5.7
"14","2022-07-12",26.0020734790911,"C2",26.0020734790911
"15","2022-07-13",5.7,"C2",5.7
"16","2022-07-14",5.7,"C2",5.7
"17","2022-07-15",37.7811084011202,"C2",37.7811084011202
"18","2022-07-16",5.7,"C2",5.7
"19","2022-07-17",5.7,"C2",5.7
"20","2022-07-18",5.7,"C2",5.7
"21","2022-07-19",5.7,"C2",5.7
"22","2022-07-07",5.7,"C2",5.7
"23","2022-07-08",5.7,"C2",5.7
"24","2022-07-09",5.7,"C2",5.7
"25","2022-07-11",5.7,"RD",5.7
"26","2022-07-12",5.7,"RD",5.7
"27","2022-07-13",5.7,"RD",5.7
"28","2022-07-14",5.7,"RD",5.7
"29","2022-07-15",5.7,"RD",5.7
"30","2022-07-16",5.7,"RD",5.7
"31","2022-07-17",33.0575296140511,"RD",33.0575296140511
"32","2022-07-18",5.7,"RD",5.7
"33","2022-07-19",32.9242984247069,"RD",32.9242984247069
"34","2022-07-07",5.7,"RD",5.7
"35","2022-07-08",5.7,"RD",5.7
"36","2022-07-09",5.7,"RD",5.7
