"","date","copies_mL","site","copies_uL"
"1","2022-07-11",570,"BO",5.7
"2","2022-07-12",1140,"BO",5.7
"3","2022-07-13",1140,"BO",5.7
"4","2022-07-14",4935.50903564068,"BO",24.6775451782034
"5","2022-07-15",1140,"BO",5.7
"6","2022-07-16",9523.55062167686,"BO",28.5706518650306
"7","2022-07-17",5030.67289133108,"BO",15.0920186739932
"8","2022-07-18",1900,"BO",5.7
"9","2022-07-19",1900,"BO",5.7
"10","2022-07-07",570,"BO",5.7
"11","2022-07-08",2760.24441092818,"BO",27.6024441092818
"12","2022-07-09",570,"BO",5.7
