"","date","copies_mL","site","copies_uL"
"1","2022-10-18",961.785464220867,"BO",577.07127853252
"2","2022-11-15",19,"BO",5.7
"3","2022-12-14",9.5,"BO",5.7
"4","2022-02-16",7.66628090218725,"BO",7.66628090218725
"5","2022-03-09",5.7,"BO",5.7
"6","2022-04-20",5.7,"BO",5.7
"7","2022-05-11",5.7,"BO",5.7
"8","2022-05-20",34.4037122131012,"BO",34.4037122131012
"9","2022-05-24",93.4747619903548,"BO",93.4747619903548
"10","2022-06-14",38.1277120463659,"BO",38.1277120463659
"11","2022-08-09",19,"BO",5.7
"12","2022-09-13",30.8870921071029,"BO",13.8991914481963
"13","2022-10-18",5.7,"C2",5.7
"14","2022-11-15",5.7,"C2",5.7
"15","2022-12-14",5.7,"C2",5.7
"16","2022-02-16",5.7,"C2",5.7
"17","2022-03-09",5.7,"C2",5.7
"18","2022-04-20",5.7,"C2",5.7
"19","2022-05-11",5.7,"C2",5.7
"20","2022-05-20",5.7,"C2",5.7
"21","2022-05-24",5.7,"C2",5.7
"22","2022-06-14",5.7,"C2",5.7
"23","2022-08-09",5.7,"C2",5.7
"24","2022-09-13",5.7,"C2",5.7
"25","2022-10-18",5.7,"RD",5.7
"26","2022-11-15",5.7,"RD",5.7
"27","2022-12-14",14.7370060200406,"RD",14.7370060200406
"28","2022-02-16",5.7,"RD",5.7
"29","2022-03-09",5.7,"RD",5.7
"30","2022-04-20",5.7,"RD",5.7
"31","2022-05-11",5.7,"RD",5.7
"32","2022-05-20",5.7,"RD",5.7
"33","2022-05-24",5.7,"RD",5.7
"34","2022-06-14",5.7,"RD",5.7
"35","2022-08-09",5.7,"RD",5.7
"36","2022-09-13",5.7,"RD",5.7
