"","date","copies_mL","site","copies_uL"
"1","2022-02-16",1.5,"BO",1.5
"2","2022-02-16",1.5,"C2",1.5
"3","2022-02-16",1.5,"RD",1.5
"4","2022-03-09",1.5,"BO",1.5
"5","2022-03-09",1.5,"C2",1.5
"6","2022-03-09",1.5,"RD",1.5
"7","2022-04-20",1.5,"BO",1.5
"8","2022-04-20",1.5,"C2",1.5
"9","2022-04-20",1.5,"RD",1.5
"10","2022-06-13",1.5,"BO",1.5
"11","2022-06-13",1.5,"C2",1.5
"12","2022-06-13",1.5,"RD",1.5
"13","2022-08-09",5,"BO",1.5
"14","2022-08-09",1.5,"C2",1.5
"15","2022-08-09",47.0986411757863,"RD",47.0986411757863
"16","2022-09-13",3.33333333333333,"BO",1.5
"17","2022-09-13",1.5,"C2",1.5
"18","2022-09-13",1.5,"RD",1.5
"19","2022-10-18",2.5,"BO",1.5
"20","2022-10-18",7.15548467547866,"C2",7.15548467547866
"21","2022-10-18",1.5,"RD",1.5
"22","2022-11-15",5,"BO",1.5
"23","2022-11-15",1.5,"C2",1.5
"24","2022-11-15",1.5,"RD",1.5
"25","2022-12-14",2.5,"BO",1.5
"26","2022-12-14",1.5,"C2",1.5
"27","2022-12-14",1.5,"RD",1.5
"28","2022-05-11",1.5,"BO",1.5
"29","2022-05-11",1.5,"C2",1.5
"30","2022-05-11",1.5,"RD",1.5
"31","2022-05-20",1.5,"BO",1.5
"32","2022-05-20",1.5,"C2",1.5
"33","2022-05-20",1.5,"RD",1.5
"34","2022-05-24",1.5,"BO",1.5
"35","2022-05-24",1.5,"C2",1.5
"36","2022-05-24",1.5,"RD",1.5
"37",NA,NA,NA,307554.338426607
