Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
BO,2/16/22,2/17/22,100µLA,10,1,11,1,0.1,110,g,100,10,,
BO,2/16/22,2/17/22,100µLB,8,4,12,1,0.1,120,g,80,40,,
BO,2/16/22,2/17/22,100µLC,12,2,14,1,0.1,140,g,120,20,,
BO,2/16/22,2/17/22,10+90 µLA,0,1,1,10,0.1,100,,0,100,,
BO,2/16/22,2/17/22,10 +90 µlB,1,0,1,10,0.1,100,,100,0,,
BO,2/16/22,2/17/22,10+90  µlc,0,0,0,10,0.1,0,,0,0,,
Canal 2,2/16/22,2/17/22,100µLA,7,3,10,1,0.1,100,g,70,30,,
Canal 2,2/16/22,2/17/22,100µLB,15,3,18,1,0.1,180,g,150,30,,
Canal 2,2/16/22,2/17/22,100µLC,12,6,18,1,0.1,180,g,120,60,,
Canal 2,2/16/22,2/17/22,10 +90 µLA,0,0,0,10,0.1,0,,0,0,,
Canal 2,2/16/22,2/17/22,10+90  µlB,0,0,0,10,0.1,0,,0,0,,
Canal 2,2/16/22,2/17/22,10+90  µlc,0,0,0,10,0.1,0,,0,0,,
PCS,2/16/22,2/17/22,100µLA,3,0,3,1,0.1,30,g,30,0,,
PCS,2/16/22,2/17/22,100µLB,12,0,12,1,0.1,120,g,120,0,,
PCS,2/16/22,2/17/22,100µLC,5,0,5,1,0.1,50,g,50,0,,
PCS,2/16/22,2/17/22,10+90  µLA,3,0,3,10,0.1,300,,300,0,,
PCS,2/16/22,2/17/22,10+90  µlB,0,0,0,10,0.1,0,,0,0,,
PCS,2/16/22,2/17/22,10+90  µlc,0,0,0,10,0.1,0,,0,0,,
Milli Q,2/16/22,2/17/22,100µLA,0,0,0,1,0.1,0,,0,0,1XPBS was not included as the number of plates were less ,
