Date,Time,Site,Rep,Level,Conductivity,Salinity,DO_mgL,DO_perc,pH,Temperature,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonia,NO2NO3,Nitrite,Orthophosphate,Silicate,Notes
2022-02-16,12:47,BO,A,Surface,35044,23.88,7.81,98.7,8.02,19.9,0.5,0.1,27.58,2406.9,103.8,2509,141.7,7.61,62.4,2.381,12.157,61.232,* Secchi Disk visible on seafloor
2022-02-16,12:47,BO,B,Surface,-,-,-,-,-,-,-,-,27.08,1658.7,104.3,2511.3,146.1,7.586,62.138,2.381,12.157,61.33,-
2022-02-16,10:51,C2,A,Surface,37523,29.12,7.92,96.5,8.12,16.3,1.2,*1.2,7.78,1968.2,29.5,2182.2,34,0.375,0.19,0.126,0.112,30.386,-
2022-02-16,10:51,C2,B,Surface,-,-,-,-,-,-,-,-,7.4,1465.9,28.8,1968.4,36.1,0.39,0.188,0.134,0.135,30.229,-
2022-02-16,9:58,PCS,A,Surface,37278,29.45,8.56,103.1,8.06,15.6,0.1,*0.1,3.55,198.4,14.5,227.4,22,0.772,0.158,0.051,0.329,7.91,* Secchi Disk visible on seafloor
2022-02-16,9:58,PCS,B,Surface,-,-,-,-,-,-,-,-,3.25,212.1,14.2,232.3,20.4,0.773,0.193,0.043,0.293,7.748,-
2022-03-09,12:40,BO,A,Surface,34442,29.06,10.25,117.2,8.27,12.7,0.6,0.4,8.64,367.6,44.3,432.5,57.9,5.454,7.11,0.745,2.228,47.293,-
2022-03-09,12:40,BO,B,Surface,-,-,-,-,-,-,-,-,8.72,328.8,42.3,436.2,58,5.429,7.103,0.716,2.278,47.271,-
2022-03-09,12:40,BO,A,0.5,34446,29.07,10.04,118.6,8.27,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,12:40,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,12:40,BO,A,0.6,34480,29.08,9.41,107.2,8.27,12.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,12:40,BO,B,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,A,Surface,37608,29.4,4.75,57.8,8.17,16,1.3,1.2,13.81,303.4,34.7,337,41.8,2.35,1.564,0.254,0.302,4.657,-
2022-03-09,10:46,C2,B,Surface,-,-,-,-,-,-,-,-,13.27,327.1,33.8,347.3,37.7,2.303,1.549,0.255,0.296,4.638,-
2022-03-09,10:46,C2,A,0.5,37727,29.52,4.75,58.4,8.17,16.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,A,1,37764,29.52,4.7,57.4,8.17,16.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,A,1.3,37770,29.52,4.6,56.1,8.17,16.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:46,C2,B,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:17,RD6,A,Surface,34574,28.66,9.61,109.3,8.15,13.5,0.5,0.4,13.9,192.9,18.5,212,29.1,0.369,0.267,0.189,0.425,3.095,PCS sample site moved to RD6 for better GOM sample
2022-03-09,10:17,RD6,B,Surface,-,-,-,-,-,-,-,-,16.39,206.8,13.1,254.8,19.5,0.266,0.204,0.176,0.272,2.821,-
2022-03-09,10:17,RD6,A,0.5,34607,28.2,9.46,108.7,8.18,13.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-03-09,10:17,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,12:40,BO,A,Surface,47543,31.58,6.43,92.6,8.04,24.1,1,0.2,21.96,334.8,29.3,464.9,58.5,3.622,0.444,0.351,0.717,36.318,-
2022-04-20,12:40,BO,B,Surface,-,-,-,-,-,-,-,-,21.1,253.7,26,536.6,69.5,3.724,0.343,0.328,0.738,36.09,-
2022-04-20,12:40,BO,A,0.5,47525,31.57,6.3,90.6,8.05,28.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,12:40,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,12:40,BO,A,1,87513,31.55,6.16,88.2,8.06,24.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,12:40,BO,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,A,Surface,49721,32.46,4.4,64.4,8.04,25.1,1.5,1.3,8.03,334.5,36.8,412.5,49.3,2.311,1.226,0.306,0.383,61.356,-
2022-04-20,10:50,C2,B,Surface,-,-,-,-,-,-,-,-,8.17,356.9,39.6,417.6,48.8,2.256,1.227,0.264,0.413,61.466,-
2022-04-20,10:50,C2,A,0.5,49746,32.46,4.29,60,8.04,25.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,A,1,49724,32.46,3.95,58.2,8.04,25.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,A,1.5,49726,32.46,3.89,52.1,8.03,25.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:50,C2,B,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:02,RD6,A,Surface,46215,30.94,6.75,96,8.12,23.5,0.5,0.2,10.58,132.6,16.3,197.5,27,1.098,0.141,0.141,0.325,2.073,-
2022-04-20,10:02,RD6,B,Surface,-,-,-,-,-,-,-,-,11.18,125.5,16,177.9,23.5,1.009,0.131,0.131,0.266,1.817,-
2022-04-20,10:02,RD6,A,0.5,485970,30.16,6.92,95.2,8.12,23.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-04-20,10:02,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,12:08,BO,A,Surface,52513,32.18,7.03,107.8,8.35,28.3,0.6,0.2,34.74,976.4,33.5,1217.7,82.4,0.572,0.223,0.037,1.236,59.233,-
2022-05-11,12:08,BO,B,Surface,-,-,-,-,-,-,-,-,36,978.3,33.9,1161.2,83.4,0.561,0.229,0.042,1.175,59.184,-
2022-05-11,12:08,BO,A,0.5,52524,32.18,6.95,105.9,8.36,28.3,,,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,12:08,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,A,Surface,58118,35.46,4.62,74.5,8.17,29.1,1.4,1.3,10.14,701.5,43,765,51.6,0.353,0.262,0.187,0.054,27.666,-
2022-05-11,10:29,C2,B,Surface,-,-,-,-,-,-,-,-,10.5,679.3,38.7,725.3,44.4,0.348,0.262,0.164,0.065,27.763,-
2022-05-11,10:29,C2,A,0.5,58169,35.48,4.39,68.3,8.17,29.2,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,A,1,58180,35.47,4.13,69.7,8.17,29.2,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,A,1.5,58179,35.47,4.01,63.1,8.17,29.2,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,10:29,C2,B,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,9:51,RD6,A,Surface,49433,30.88,6.27,94.4,8.11,27,0.6,0.5,2.87,298.1,10.9,334.6,13.7,0.24,0.109,0.099,0.113,2.199,-
2022-05-11,9:51,RD6,B,Surface,-,-,-,-,-,-,-,-,3.32,309.6,12.7,428.9,15.9,0.248,0.125,0.104,0.079,2.337,-
2022-05-11,9:51,RD6,A,0.5,49441,30.83,6.27,93.7,8.11,27.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-11,9:51,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,10:42,BO,A,Surface,36590,22.38,7.36,102.9,8.41,26.5,0.5,0.1,14.72,846.4,138.9,1461.8,255.9,1.024,85.145,0.223,25.23,194.208,-
2022-05-20,10:42,BO,B,Surface,-,-,-,-,-,-,-,-,15.84,897.8,147.1,1428.8,257.9,1.042,85.729,0.219,25.008,194.799,-
2022-05-20,10:42,BO,A,0.5,36597,22.42,7.33,103.5,8.41,26.4,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,10:42,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,A,Surface,59272,36.76,4.57,72.2,8.25,28.5,1.3,1.1,11.59,668.9,46.6,720.5,60.7,0.384,0.201,0.132,0.071,32.51,-
2022-05-20,9:22,C2,B,Surface,-,-,-,-,-,-,-,-,11.36,715.2,48.1,754.5,61.1,0.388,0.27,0.219,0.043,32.305,-
2022-05-20,9:22,C2,A,0.5,59293,36.76,4.33,68,8.23,28.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,A,1,59291,36.76,4.07,64.5,8.22,28.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,A,1.5,59298,36.76,3.86,62.6,8.21,28.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,9:22,C2,B,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,8:48,RD6,A,Surface,50997,33.74,6.46,94.3,8.05,24.9,0.5,0.4,58.83,188,10.2,202.8,20.7,0.736,0.139,0.118,0.248,1.365,-
2022-05-20,8:48,RD6,B,Surface,-,-,-,-,-,-,-,-,64.57,177.8,9.4,216.8,23.2,0.648,0.131,0.059,0.192,1.196,-
2022-05-20,8:48,RD6,A,0.5,51315,33.7,6.47,94.7,8.06,24.9,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-20,8:48,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,12:14,BO,A,Surface,37139,23.66,8.04,110.1,8.7,24.7,0.7,0.2,42.53,577.8,48.4,982.6,134,0.954,0.185,0.019,3.613,121.856,-
2022-05-24,12:14,BO,B,Surface,-,-,-,-,-,-,-,-,51.54,585,52.5,966.6,124.6,0.945,0.151,0.027,3.688,121.795,-
2022-05-24,12:14,BO,A,0.5,37360,23.81,8.08,101.9,8.68,27.4,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,12:14,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,12:14,BO,A,0.7,38781,24.97,7.07,98.1,8.6,24.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,12:14,BO,B,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,A,Surface,57979,36.68,4.28,65,8.21,27.4,1.5,1.3,11.69,569.3,52,NC,NC,1.892,0.648,0.213,0.229,58.88,TOC Bottle empty
2022-05-24,10:20,C2,B,Surface,-,-,-,-,-,-,-,-,10.21,646.6,65.8,NC,NC,1.897,0.648,0.208,0.218,58.982,TOC Bottle empty
2022-05-24,10:20,C2,A,0.5,58081,36.69,3.22,50.2,8.22,27.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,A,1,58273,36.78,3.1,48.3,8.21,27.7,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,A,1.5,58648,36.84,2.71,42.4,8.19,27.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,10:20,C2,B,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,9:41,RD6,A,Surface,50185,32.62,6.55,95.4,8.12,25.3,0.5,0.2,14.89,127,15,220.1,37.9,0.857,0.166,0.073,0.157,0.546,-
2022-05-24,10:41,RD6,B,Surface,-,-,-,-,-,-,-,-,14.5,125.1,15.7,201.3,30.9,0.789,0.141,0.028,0.124,0.783,-
2022-05-24,11:41,RD6,A,0.5,49718,32.54,6.42,92.2,8.12,25.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-05-24,12:41,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,10:56,BO,A,Surface,49387,30.41,6.43,96.7,8.32,27.8,0.5,0.1,29.27,726.8,80,1432.4,190.1,9.667,14.041,0.652,5.559,110.182,-
2022-06-14,10:56,BO,B,Surface,-,-,-,-,-,-,-,-,29.2,758.7,77.8,1345.1,180.5,9.647,14.074,0.64,5.651,110.177,-
2022-06-14,10:56,BO,A,0.5,49523,30.49,6.3,94.6,8.31,27.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,10:56,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,A,Surface,62617,37.7,3.81,62.6,8.16,30.3,1.3,1.2,7.89,667.4,51,715.7,62.9,0.768,0.118,0.118,0.063,123.952,-
2022-06-14,9:29,C2,B,Surface,-,-,-,-,-,-,-,-,10.36,631.8,49.3,691.8,66.3,0.758,0.104,0.104,0.045,123.185,-
2022-06-14,9:29,C2,A,0.5,62617,37.7,3.58,59.4,8.16,30.3,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,A,1,62633,37.7,3.51,56.4,8.16,30.3,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,A,1.3,62631,37.7,3.01,50.1,8.15,30.3,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,9:29,C2,B,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,8:41,RD6,A,Surface,55137,34.65,5.88,93.7,8.12,27.5,0.5,0.2,15.13,176.1,10.1,325.5,19.4,0.455,0.149,0.031,0.233,8.46,-
2022-06-14,8:41,RD6,B,Surface,-,-,-,-,-,-,-,-,14.03,124.7,9,191.5,19.9,0.322,0.144,0.032,0.187,8.132,-
2022-06-14,8:41,RD6,A,0.5,55200,34.57,6.05,93.9,8.11,27.5,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-14,8:41,RD6,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-28,10:09,BO,A,Surface,62246,38.48,4.77,76.5,8.33,29,0.5,0.3,-,-,-,-,-,-,-,-,-,-,Samples collected for DUST Treatment Porject
2022-06-28,10:09,BO,B,Surface,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-28,10:09,BO,A,0.5,62275,38.49,4.17,68.1,8.33,29,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-28,10:09,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-06-28,10:09,RD6,A,Surface,59348,36.58,6.15,97.7,8.03,28.9,0.6,*0.6,-,-,-,-,-,-,-,-,-,-,Samples collected for DUST Treatment Porject
