date,ABF,dust,ust,smoke,SS Total AOT,hr,
2022020100,0.1,0.03,0.02,0.1,0.24,0,
2022020106,0.04,0.01,0.01,0.03,0.09,6,
2022020112,0.04,0.01,0.01,0.02,0.09,12,
2022020118,0.03,0.01,0,0.02,0.06,18,
2022020200,0.02,0.01,0,0.01,0.05,0,
2022020206,0.04,0.03,0.01,0.02,0.1,6,
2022020212,0.09,0.02,0.03,0.05,0.19,12,
2022020218,0.1,0,0.04,0.05,0.19,18,
2022020300,0.13,0,0.05,0.03,0.22,0,
2022020306,0.22,0.01,0.07,0.04,0.34,6,
2022020312,0.2,0.01,0.06,0.03,0.29,12,
2022020318,0.14,0,0.04,0.02,0.2,18,
