,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,,Unkn,7,NaN,NaN
,A02,FAM,,Unkn,7,NaN,NaN
,A03,FAM,,Unkn,7,NaN,NaN
,A05,FAM,,Unkn,14,NaN,NaN
,A06,FAM,,Unkn,14,NaN,NaN
,A07,FAM,,Unkn,14,NaN,NaN
,A10,FAM,,Unkn,Feb,NaN,NaN
,A11,FAM,,Unkn,Feb,NaN,NaN
,A13,FAM,,Unkn,Jun,NaN,NaN
,A14,FAM,,Unkn,Jun,NaN,NaN
,A15,FAM,,Unkn,Jun,NaN,NaN
,C01,FAM,,Unkn,8,NaN,NaN
,C02,FAM,,Unkn,8,NaN,NaN
,C03,FAM,,Unkn,8,NaN,NaN
,C05,FAM,,Unkn,15,NaN,NaN
,C06,FAM,,Unkn,15,NaN,NaN
,C07,FAM,,Unkn,15,NaN,NaN
,C09,FAM,,Unkn,Mar,NaN,NaN
,C11,FAM,,Unkn,Mar,NaN,NaN
,C13,FAM,,Unkn,Aug,NaN,NaN
,E01,FAM,,Unkn,9,NaN,NaN
,E02,FAM,,Unkn,9,NaN,NaN
,E03,FAM,,Unkn,9,NaN,NaN
,E05,FAM,,Unkn,16,NaN,NaN
,E07,FAM,,Unkn,16,NaN,NaN
,E09,FAM,,Unkn,Apr,NaN,NaN
,E11,FAM,,Unkn,Apr,NaN,NaN
,E13,FAM,,Unkn,Sept,NaN,NaN
,E14,FAM,,Unkn,Sept,NaN,NaN
,E15,FAM,,Unkn,Sept,NaN,NaN
,G01,FAM,,Unkn,11,NaN,NaN
,G02,FAM,,Unkn,11,NaN,NaN
,G03,FAM,,Unkn,11,NaN,NaN
,G05,FAM,,Unkn,17,NaN,NaN
,G06,FAM,,Unkn,17,NaN,NaN
,G09,FAM,,Unkn,May_11,NaN,NaN
,G15,FAM,,Unkn,Oct,NaN,NaN
,I01,FAM,,Unkn,12,NaN,NaN
,I02,FAM,,Unkn,12,NaN,NaN
,I03,FAM,,Unkn,12,NaN,NaN
,I05,FAM,,Unkn,18,NaN,NaN
,K01,FAM,,Unkn,13,NaN,NaN
,K03,FAM,,Unkn,13,NaN,NaN
,P22,FAM,,NTC,NTC,NaN,NaN
,P23,FAM,,NTC,NTC,NaN,NaN
,P24,FAM,,NTC,NTC,NaN,NaN
,K09,FAM,,Unkn,May_24,14.5209411612123,NaN
,K13,FAM,,Unkn,Dec,14.5682928992499,NaN
,I10,FAM,,Unkn,May_20,15.6130283317581,NaN
,G13,FAM,,Unkn,Oct,16.2503318321069,NaN
,I06,FAM,,Unkn,18,16.8641545441056,NaN
,A22,FAM,,Pos Ctrl,Pos,17.6241424392258,NaN
,A23,FAM,,Pos Ctrl,Pos,17.7897112686044,NaN
,A24,FAM,,Pos Ctrl,Pos,17.8977139864782,NaN
,G14,FAM,,Unkn,Oct,18.0547376698891,NaN
,G11,FAM,,Unkn,May_11,18.2555996518366,NaN
,I09,FAM,,Unkn,May_20,18.5033113523831,NaN
,G10,FAM,,Unkn,May_11,18.654635978322,NaN
,K14,FAM,,Unkn,Dec,19.7569713123174,NaN
,K06,FAM,,Unkn,19,19.9905506216055,NaN
,K15,FAM,,Unkn,Dec,20.0520754442164,NaN
,I11,FAM,,Unkn,May_20,20.8459017885739,NaN
,K07,FAM,,Unkn,19,21.112203067758,NaN
,E10,FAM,,Unkn,Apr,21.6463247247559,NaN
,K05,FAM,,Unkn,19,21.7087673274227,NaN
,I07,FAM,,Unkn,18,22.2321976103108,NaN
,E06,FAM,,Unkn,16,22.6351076736183,NaN
,I14,FAM,,Unkn,Nov,23.230193065502,NaN
,K02,FAM,,Unkn,13,24.1418216325951,NaN
,G07,FAM,,Unkn,17,24.7874103802289,NaN
,K10,FAM,,Unkn,May_24,33.3919109327562,NaN
,I15,FAM,,Unkn,Nov,34.2947642564724,NaN
,A09,FAM,,Unkn,Feb,34.8497966556438,NaN
,I13,FAM,,Unkn,Nov,35.244666632099,NaN
,C10,FAM,,Unkn,Mar,35.4279550295165,NaN
,K11,FAM,,Unkn,May_24,35.6259675127154,NaN
,C15,FAM,,Unkn,Aug,35.6534770988229,NaN
,C14,FAM,,Unkn,Aug,35.7693833642798,NaN
