Target,Cq,SQ
hf183,13.94380084,4500000
hf183,13.9263706,4500000
hf183,14.00149794,4500000
hf183,13.94539389,4500000
hf183,14.00010952,4500000
hf183,16.54436481,450000
hf183,16.68649042,450000
hf183,16.53913024,450000
hf183,16.53738954,450000
hf183,16.58593271,450000
hf183,19.94916539,45000
hf183,19.95699584,45000
hf183,19.9732692,45000
hf183,19.75366986,45000
hf183,20.08209997,45000
hf183,23.17413821,4500
hf183,23.24026421,4500
hf183,23.37752963,4500
hf183,23.11096805,4500
hf183,23.12351317,4500
hf183,26.47460202,450
hf183,26.52412259,450
hf183,26.25135849,450
hf183,26.20976997,450
hf183,26.46256041,450
hf183,29.69336073,45
hf183,29.7519849,45
hf183,29.8405673,45
hf183,29.63474678,45
hf183,29.88281649,45
hf183,30.12547339,4.5
hf183,32.69878038,4.5
hf183,33.00340334,4.5
hf183,32.37897793,4.5
hf183,32.9034093,4.5
hf183,34.19273489,0.45
hf183,34.92924667,0.45
hf183,35.25898697,0.45
hf183,34.50336759,0.45
hf183,35.91197921,0.45
hf183,NaN,0.045
hf183,NaN,0.045
hf183,NaN,0.045
hf183,NaN,0.045
hf183,37.03743817,0.045
