Target,Cq,SQ
Bact,15.3947192,3710000
Bact,15.3392208,3710000
Bact,15.50380377,3710000
Bact,15.25083121,3710000
Bact,15.6475872,3710000
Bact,19.27594678,371000
Bact,19.13007187,371000
Bact,19.20904037,371000
Bact,18.8905434,371000
Bact,19.43144397,371000
Bact,23.12774156,37100
Bact,22.79785603,37100
Bact,22.64229197,37100
Bact,22.55161336,37100
Bact,23.18452252,37100
Bact,26.60750086,3710
Bact,26.4017524,3710
Bact,26.39856225,3710
Bact,26.4435796,3710
Bact,26.6504768,3710
Bact,30.22968358,371
Bact,30.33772392,371
Bact,30.25344746,371
Bact,30.14893475,371
Bact,30.28182619,371
Bact,33.22911826,37.1
Bact,33.33486427,37.1
Bact,33.00901818,37.1
Bact,33.18517841,37.1
Bact,33.48793357,37.1
Bact,NaN,3.71
Bact,NaN,3.71
Bact,NaN,3.71
Bact,NaN,3.71
Bact,NaN,3.71
Bact,NaN,0.371
Bact,NaN,0.371
Bact,NaN,0.371
Bact,NaN,0.371
Bact,NaN,0.371
