Target,Cq,SQ
VA,15.51313319,2640000
VA,15.54075534,2640000
VA,15.43844064,2640000
VA,15.14341883,2640000
VA,14.34633345,2640000
VA,19.01714733,264000
VA,19.12085378,264000
VA,18.80023169,264000
VA,18.63942029,264000
VA,18.09327948,264000
VA,23.09126507,26400
VA,23.23026923,26400
VA,23.11724439,26400
VA,23.08459255,26400
VA,22.86859328,26400
VA,26.48841856,2640
VA,26.62474273,2640
VA,26.25667678,2640
VA,26.08423063,2640
VA,25.8923007,2640
VA,29.91392389,264
VA,29.64582501,264
VA,29.79275333,264
VA,30.1361258,264
VA,29.40538267,264
VA,33.34083787,26.4
VA,33.67430628,26.4
VA,33.39109699,26.4
VA,34.09012348,26.4
VA,33.69275639,26.4
VA,37.81880099,2.64
VA,36.94577706,2.64
VA,36.22993559,2.64
VA,36.08334057,2.64
VA,NaN,2.64
VA,NaN,0.264
VA,NaN,0.264
VA,NaN,0.264
VA,NaN,0.264
VA,37.21175162,0.264
