Target,Cq,SQ
VC ,22.91534566,3710000
VC ,22.73907599,3710000
VC ,22.39177793,3710000
VC ,21.40909839,3710000
VC ,20.00046023,3710000
VC ,26.11742562,371000
VC ,26.03527913,371000
VC ,25.87514709,371000
VC ,24.64027327,371000
VC ,23.47716456,371000
VC ,28.76771031,37100
VC ,28.69053808,37100
VC ,28.63384328,37100
VC ,28.31950707,37100
VC ,27.51303257,37100
VC ,32.47432239,3710
VC ,32.10764392,3710
VC ,32.25835771,3710
VC ,31.56442334,3710
VC ,30.80414492,3710
VC ,36.22686797,371
VC ,35.7164275,371
VC ,35.97150779,371
VC ,35.80486128,371
VC ,34.35870606,371
VC ,39.64275782,37.1
VC ,43.22881379,37.1
VC ,40.11367851,37.1
VC ,38.59229345,37.1
VC ,37.94945531,37.1
VC ,NaN,3.71
VC ,NaN,3.71
VC ,NaN,3.71
VC ,40.47868861,3.71
VC ,NaN,3.71
VC ,NaN,0.371
VC ,NaN,0.371
VC ,NaN,0.371
VC ,NaN,0.371
VC ,NaN,0.371
