Target,Cq,SQ
VV,16.15429751,3710000
VV,16.14272325,3710000
VV,16.10398085,3710000
VV,16.13221263,3710000
VV,15.96488295,3710000
VV,19.41633095,371000
VV,19.39478799,371000
VV,19.38398156,371000
VV,19.256135,371000
VV,19.24772289,371000
VV,22.61534175,37100
VV,22.53611065,37100
VV,22.64679511,37100
VV,22.40715672,37100
VV,22.2700972,37100
VV,26.01719027,3710
VV,25.55042152,3710
VV,25.71522703,3710
VV,25.68920255,3710
VV,NaN,3710
VV,29.06099841,371
VV,28.98961754,371
VV,29.0404813,371
VV,28.80610391,371
VV,28.57668563,371
VV,32.0584026,37.1
VV,32.11024983,37.1
VV,31.78236825,37.1
VV,31.98424473,37.1
VV,32.26267685,37.1
VV,35.53637473,3.71
VV,36.10194034,3.71
VV,35.22439282,3.71
VV,35.42518441,3.71
VV,34.59012437,3.71
VV,38.11366589,0.371
VV,37.13349678,0.371
VV,38.09981452,0.371
VV,NaN,0.371
VV,NaN,0.371
